subset,class,spec,role,key_level,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Tank,2,1729,1729,1564,72464,70738,98581,0.04,96.1,292.4,142,66.9,27.5,5.6,3006.0
all,DeathKnight,Blood,Tank,3,319,319,311,70341,69173,93681,0.07,93.1,291.6,5,80.0,20.0,0.0,3093.0
all,DeathKnight,Blood,Tank,4,732,732,705,75457,74198,99154,0.03,97.4,292.3,40,85.0,15.0,0.0,3090.0
all,DeathKnight,Blood,Tank,5,1499,1499,1384,84306,82599,112390,0.05,95.7,294.0,92,63.0,34.8,2.2,2905.0
all,DeathKnight,Blood,Tank,6,990,988,883,86817,84805,114212,0.03,97.7,294.2,49,75.5,22.4,2.0,2904.0
all,DeathKnight,Blood,Tank,7,721,721,683,102013,98716,135483,0.05,95.6,296.5,34,47.1,47.1,5.9,2951.0
all,DeathKnight,Blood,Tank,8,715,715,680,113007,112306,143742,0.04,95.7,297.6,35,45.7,48.6,5.7,2949.0
all,DeathKnight,Blood,Tank,9,998,998,910,114300,112110,147925,0.05,95.3,298.9,32,43.8,40.6,15.6,2899.0
all,DeathKnight,Blood,Tank,10,7095,7095,2865,123213,122287,157337,0.07,94.0,301.1,281,53.7,14.2,32.0,2851.0
all,DeathKnight,Blood,Tank,11,6695,6695,3778,117932,116240,154045,0.23,85.2,299.8,156,39.7,31.4,28.8,2944.0
all,DeathKnight,Blood,Tank,12,6694,6693,3597,120189,119098,153322,0.15,89.1,303.8,142,42.3,33.8,23.9,3044.0
all,DeathKnight,Blood,Tank,13,6197,6196,3015,124227,123811,155017,0.1,91.7,306.4,243,33.3,47.3,19.3,3107.0
all,DeathKnight,Blood,Tank,14,4914,4914,1988,131018,130327,161588,0.18,85.7,308.0,324,25.6,52.5,21.9,3142.0
all,DeathKnight,Blood,Tank,15,2040,2040,763,143219,143164,176405,0.2,85.5,309.4,167,19.2,49.1,31.7,3224.0
all,DeathKnight,Blood,Tank,16,704,704,230,159596,160696,194924,0.19,84.7,310.7,72,6.9,33.3,59.7,3255.0
all,DeathKnight,Blood,Tank,17,220,220,61,177118,176929,213238,0.2,85.5,311.6,4,0.0,0.0,100.0,3281.0
all,DeathKnight,Blood,Tank,18,51,51,17,193938,195124,232138,0.16,90.2,312.4,0,,,,
all,DeathKnight,Frost,DPS,2,218,218,201,101900,101954,143800,0.14,88.5,290.7,16,56.2,37.5,6.2,3299.0
all,DeathKnight,Frost,DPS,3,39,39,39,94005,94442,124443,0.15,87.2,290.0,2,100.0,0.0,0.0,
all,DeathKnight,Frost,DPS,4,81,81,80,115193,113848,151587,0.09,92.6,294.0,4,25.0,75.0,0.0,2235.0
all,DeathKnight,Frost,DPS,5,168,168,160,126094,122724,163892,0.09,92.9,293.4,12,66.7,16.7,16.7,2868.0
all,DeathKnight,Frost,DPS,6,107,107,101,137699,133141,179492,0.12,88.8,295.6,7,57.1,28.6,14.3,
all,DeathKnight,Frost,DPS,7,64,64,62,157967,156534,197456,0.16,85.9,296.6,5,40.0,40.0,20.0,2522.0
all,DeathKnight,Frost,DPS,8,62,61,59,186596,186670,225508,0.08,91.9,297.6,1,0.0,0.0,100.0,2976.0
all,DeathKnight,Frost,DPS,9,67,66,64,179009,177745,224212,0.18,85.1,296.4,2,50.0,50.0,0.0,2953.0
all,DeathKnight,Frost,DPS,10,559,552,284,193146,192183,242890,0.29,75.8,299.1,18,38.9,16.7,44.4,2864.0
all,DeathKnight,Frost,DPS,11,447,446,299,177484,180387,223449,0.84,54.6,297.1,4,25.0,50.0,25.0,2880.0
all,DeathKnight,Frost,DPS,12,328,328,210,180996,180863,226820,0.65,58.8,300.9,9,22.2,33.3,44.4,3054.0
all,DeathKnight,Frost,DPS,13,256,256,150,194569,192910,234847,0.45,65.2,303.5,4,25.0,25.0,50.0,3088.0
all,DeathKnight,Frost,DPS,14,196,196,94,206370,207676,244188,0.56,57.1,306.1,24,8.3,58.3,33.3,3070.0
all,DeathKnight,Frost,DPS,15,54,54,24,214732,218292,250788,0.65,55.6,307.2,9,0.0,44.4,55.6,3010.0
all,DeathKnight,Frost,DPS,16,12,12,5,229323,229770,271326,0.42,75.0,310.0,2,0.0,0.0,100.0,3333.0
all,DeathKnight,Frost,DPS,17,3,3,2,257668,271729,271904,1.0,66.7,307.3,0,,,,3277.0
all,DeathKnight,Frost,DPS,18,1,1,1,240128,240128,240128,0.0,100.0,310.0,1,0.0,0.0,100.0,3277.0
all,DeathKnight,Unholy,DPS,2,560,553,510,110148,108910,146507,0.15,87.1,292.5,54,68.5,29.6,1.9,
all,DeathKnight,Unholy,DPS,3,115,115,113,111062,110427,144959,0.15,87.8,291.8,3,66.7,33.3,0.0,2916.0
all,DeathKnight,Unholy,DPS,4,230,227,224,120614,117566,159865,0.16,86.1,292.8,15,73.3,26.7,0.0,2726.0
all,DeathKnight,Unholy,DPS,5,455,446,424,136039,133117,176846,0.13,87.7,294.6,25,72.0,24.0,4.0,2761.0
all,DeathKnight,Unholy,DPS,6,318,310,289,140324,139542,183028,0.11,89.0,295.5,23,56.5,30.4,13.0,2916.0
all,DeathKnight,Unholy,DPS,7,232,228,212,173417,172457,222821,0.15,86.6,296.3,10,80.0,20.0,0.0,2894.0
all,DeathKnight,Unholy,DPS,8,234,231,219,191005,189364,235524,0.2,82.5,297.3,12,41.7,50.0,8.3,2942.0
all,DeathKnight,Unholy,DPS,9,319,311,300,189329,188825,235163,0.17,84.3,297.8,7,28.6,42.9,28.6,2860.0
all,DeathKnight,Unholy,DPS,10,2119,2082,1035,205140,202751,259917,0.24,79.4,299.4,87,29.9,12.6,57.5,2848.0
all,DeathKnight,Unholy,DPS,11,2051,2015,1216,193057,190588,249702,0.6,64.0,297.8,34,20.6,20.6,58.8,2889.0
all,DeathKnight,Unholy,DPS,12,1705,1685,1037,196617,197517,246019,0.48,68.6,300.3,40,30.0,30.0,40.0,3011.0
all,DeathKnight,Unholy,DPS,13,1541,1531,821,209254,209502,254784,0.39,67.9,303.4,52,21.2,36.5,42.3,3103.0
all,DeathKnight,Unholy,DPS,14,1258,1248,538,219097,219986,265260,0.6,56.8,305.2,109,19.3,31.2,49.5,3173.0
all,DeathKnight,Unholy,DPS,15,419,410,183,233963,234290,286314,0.6,59.4,306.2,51,11.8,13.7,74.5,3228.0
all,DeathKnight,Unholy,DPS,16,72,72,36,247558,248808,297370,0.58,56.9,306.9,7,28.6,28.6,42.9,3292.0
all,DeathKnight,Unholy,DPS,17,1,1,1,318785,318785,318785,0.0,100.0,307.0,0,,,,
all,DemonHunter,Devourer,DPS,2,620,612,547,109243,107818,150352,0.28,76.3,291.0,54,72.2,18.5,9.3,
all,DemonHunter,Devourer,DPS,3,117,115,116,116206,114421,150192,0.31,76.1,291.2,3,66.7,0.0,33.3,3065.0
all,DemonHunter,Devourer,DPS,4,280,278,274,114125,112710,148716,0.24,80.0,291.4,18,88.9,11.1,0.0,
all,DemonHunter,Devourer,DPS,5,568,558,514,135676,134244,176637,0.35,72.9,293.9,32,71.9,18.8,9.4,
all,DemonHunter,Devourer,DPS,6,344,340,308,143554,141364,184929,0.23,81.1,295.9,20,55.0,30.0,15.0,3065.0
all,DemonHunter,Devourer,DPS,7,259,255,237,170669,171322,212849,0.37,69.9,297.0,3,100.0,0.0,0.0,2926.0
all,DemonHunter,Devourer,DPS,8,298,292,274,186581,184016,228489,0.41,68.1,297.8,16,31.2,43.8,25.0,2884.0
all,DemonHunter,Devourer,DPS,9,413,405,373,189491,188393,231914,0.41,66.1,299.0,13,38.5,38.5,23.1,2913.0
all,DemonHunter,Devourer,DPS,10,3412,3327,1382,207339,207720,255882,0.47,64.5,301.3,99,26.3,18.2,55.6,2863.0
all,DemonHunter,Devourer,DPS,11,2685,2643,1541,192799,192491,240468,1.05,45.0,299.0,57,35.1,19.3,45.6,2917.0
all,DemonHunter,Devourer,DPS,12,2187,2168,1198,195933,196700,240919,0.78,51.3,302.0,48,31.2,27.1,41.7,3055.0
all,DemonHunter,Devourer,DPS,13,1934,1923,930,204507,205668,244590,0.76,47.9,304.2,80,20.0,42.5,37.5,3099.0
all,DemonHunter,Devourer,DPS,14,1543,1538,614,214045,214962,252582,1.02,40.9,305.4,121,24.8,34.7,40.5,3137.0
all,DemonHunter,Devourer,DPS,15,574,570,239,228523,232780,273322,0.92,42.2,306.6,71,26.8,29.6,43.7,3217.0
all,DemonHunter,Devourer,DPS,16,135,134,63,251495,253987,298121,0.97,39.3,307.5,18,22.2,11.1,66.7,3286.0
all,DemonHunter,Devourer,DPS,17,13,13,6,256249,258142,299762,0.69,61.5,308.0,0,,,,3380.0
all,DemonHunter,Devourer,DPS,18,1,1,1,257821,257821,257821,1.0,0.0,310.0,0,,,,
all,DemonHunter,Havoc,DPS,2,448,438,397,106496,103348,143161,0.18,84.2,291.7,41,73.2,26.8,0.0,
all,DemonHunter,Havoc,DPS,3,74,74,73,114073,114253,144989,0.24,78.4,291.7,0,,,,
all,DemonHunter,Havoc,DPS,4,152,151,150,118449,117518,152024,0.18,82.9,292.4,10,70.0,30.0,0.0,2712.0
all,DemonHunter,Havoc,DPS,5,337,333,311,131421,130505,173116,0.22,81.0,292.6,21,71.4,28.6,0.0,
all,DemonHunter,Havoc,DPS,6,168,167,155,140624,140892,180345,0.25,82.7,294.8,14,64.3,35.7,0.0,2630.0
all,DemonHunter,Havoc,DPS,7,117,117,113,160963,164739,204451,0.27,76.1,295.6,3,100.0,0.0,0.0,2887.0
all,DemonHunter,Havoc,DPS,8,128,128,119,184435,185402,233530,0.33,68.8,296.7,4,75.0,25.0,0.0,2902.0
all,DemonHunter,Havoc,DPS,9,159,159,155,182147,181543,225877,0.26,76.1,298.2,10,60.0,30.0,10.0,2872.0
all,DemonHunter,Havoc,DPS,10,811,805,447,197601,198383,245542,0.38,70.7,299.6,46,32.6,26.1,41.3,2800.0
all,DemonHunter,Havoc,DPS,11,778,775,511,188509,189112,237482,0.83,50.6,297.9,19,36.8,36.8,26.3,2889.0
all,DemonHunter,Havoc,DPS,12,598,596,360,186339,186904,228333,0.68,60.7,300.6,17,41.2,23.5,35.3,3002.0
all,DemonHunter,Havoc,DPS,13,539,537,298,196935,199203,236504,0.55,60.3,303.2,17,35.3,52.9,11.8,3056.0
all,DemonHunter,Havoc,DPS,14,372,370,167,202209,203888,239365,0.83,47.0,304.7,24,29.2,25.0,45.8,3128.0
all,DemonHunter,Havoc,DPS,15,91,91,54,221731,219676,276833,0.82,49.5,306.1,8,25.0,0.0,75.0,3134.0
all,DemonHunter,Havoc,DPS,16,16,16,7,233291,232421,271037,0.75,56.2,306.2,0,,,,
all,DemonHunter,Havoc,DPS,17,5,5,1,257676,254124,299535,0.6,40.0,308.6,0,,,,
all,DemonHunter,Vengeance,Tank,2,470,470,432,66883,65228,91197,0.07,94.5,290.7,57,73.7,22.8,3.5,2975.0
all,DemonHunter,Vengeance,Tank,3,84,84,83,63003,62154,85390,0.08,94.0,290.0,0,,,,3210.0
all,DemonHunter,Vengeance,Tank,4,191,191,183,71074,68796,94865,0.05,95.8,291.1,12,66.7,25.0,8.3,3126.0
all,DemonHunter,Vengeance,Tank,5,333,333,313,75999,75244,98805,0.07,94.3,292.6,27,74.1,25.9,0.0,2911.0
all,DemonHunter,Vengeance,Tank,6,208,208,185,78490,76238,103879,0.05,96.2,293.9,16,81.2,12.5,6.2,3210.0
all,DemonHunter,Vengeance,Tank,7,166,166,139,97335,96004,127981,0.02,98.8,295.7,12,41.7,41.7,16.7,2796.0
all,DemonHunter,Vengeance,Tank,8,175,175,168,104335,103016,132608,0.06,94.9,296.6,7,57.1,28.6,14.3,2886.0
all,DemonHunter,Vengeance,Tank,9,225,225,202,106833,105160,137861,0.05,95.1,298.3,13,30.8,53.8,15.4,2881.0
all,DemonHunter,Vengeance,Tank,10,1668,1668,750,117591,115502,150586,0.07,93.3,300.9,107,43.0,15.0,42.1,2820.0
all,DemonHunter,Vengeance,Tank,11,1093,1093,669,111890,109383,146185,0.3,83.9,299.2,48,31.2,22.9,45.8,2931.0
all,DemonHunter,Vengeance,Tank,12,658,658,389,112304,112278,142143,0.21,86.5,302.5,25,60.0,20.0,20.0,3039.0
all,DemonHunter,Vengeance,Tank,13,460,460,248,116889,116300,146655,0.16,87.2,306.0,24,16.7,45.8,37.5,3103.0
all,DemonHunter,Vengeance,Tank,14,308,308,130,121434,119512,149054,0.3,81.2,307.5,18,33.3,22.2,44.4,3153.0
all,DemonHunter,Vengeance,Tank,15,104,104,42,132487,131358,159335,0.15,87.5,308.5,19,36.8,57.9,5.3,3231.0
all,DemonHunter,Vengeance,Tank,16,13,13,8,140801,135409,158200,0.23,84.6,308.8,3,33.3,33.3,33.3,3200.0
all,DemonHunter,Vengeance,Tank,17,3,3,1,162402,161422,176288,0.0,100.0,303.3,0,,,,
all,Druid,Balance,DPS,2,802,790,730,105348,104233,141501,0.19,84.4,290.8,64,65.6,34.4,0.0,2903.0
all,Druid,Balance,DPS,3,150,147,147,105648,102134,140037,0.29,77.3,290.2,0,,,,
all,Druid,Balance,DPS,4,316,315,307,114173,112754,145076,0.22,82.0,291.8,19,47.4,52.6,0.0,
all,Druid,Balance,DPS,5,601,596,557,128323,125482,165101,0.23,81.5,293.3,33,66.7,33.3,0.0,2917.0
all,Druid,Balance,DPS,6,402,397,372,135757,132306,176874,0.18,83.6,294.9,26,61.5,26.9,11.5,2712.0
all,Druid,Balance,DPS,7,285,284,263,162711,163170,202680,0.26,78.6,295.3,9,66.7,22.2,11.1,2899.0
all,Druid,Balance,DPS,8,298,296,275,176531,176206,219151,0.3,75.8,297.0,10,80.0,20.0,0.0,2872.0
all,Druid,Balance,DPS,9,398,393,378,185799,183554,232774,0.31,74.9,298.6,15,33.3,33.3,33.3,2859.0
all,Druid,Balance,DPS,10,3077,3040,1324,198685,198431,250177,0.38,71.1,300.8,151,29.8,15.2,55.0,2816.0
all,Druid,Balance,DPS,11,2382,2366,1411,184705,183162,234136,0.88,53.0,298.7,55,34.5,30.9,34.5,2866.0
all,Druid,Balance,DPS,12,1920,1912,1092,185146,185463,229298,0.8,54.6,301.6,38,23.7,39.5,36.8,2985.0
all,Druid,Balance,DPS,13,1447,1446,805,194709,195071,233772,0.75,50.8,304.7,63,25.4,38.1,36.5,3068.0
all,Druid,Balance,DPS,14,976,975,427,205490,206443,245579,1.02,41.6,306.3,80,18.8,26.2,55.0,3139.0
all,Druid,Balance,DPS,15,328,328,142,216730,217708,260341,1.04,40.2,307.6,55,16.4,12.7,70.9,3184.0
all,Druid,Balance,DPS,16,54,54,26,239008,236091,282646,0.94,48.1,308.4,10,0.0,10.0,90.0,3139.0
all,Druid,Balance,DPS,17,6,6,1,257840,260445,299066,0.83,16.7,308.3,0,,,,
all,Druid,Balance,DPS,18,1,1,1,249467,249467,249467,2.0,0.0,309.0,0,,,,
all,Druid,Feral,DPS,2,248,248,219,111044,108698,150856,0.21,82.3,290.9,33,81.8,15.2,3.0,
all,Druid,Feral,DPS,3,35,34,35,116567,115962,148519,0.26,80.0,291.0,3,66.7,33.3,0.0,
all,Druid,Feral,DPS,4,103,103,96,125998,121863,164897,0.28,76.7,292.8,3,100.0,0.0,0.0,2919.0
all,Druid,Feral,DPS,5,190,190,175,136374,132776,180842,0.25,78.9,293.9,16,75.0,18.8,6.2,
all,Druid,Feral,DPS,6,126,126,106,142269,138246,197208,0.21,82.5,295.4,11,72.7,27.3,0.0,2986.0
all,Druid,Feral,DPS,7,72,72,70,174329,171590,219693,0.26,77.8,295.3,2,100.0,0.0,0.0,2937.0
all,Druid,Feral,DPS,8,92,92,88,184903,182952,236897,0.33,73.9,296.1,3,66.7,0.0,33.3,2834.0
all,Druid,Feral,DPS,9,75,75,72,196622,191608,252596,0.25,74.7,298.3,1,0.0,100.0,0.0,3030.0
all,Druid,Feral,DPS,10,474,472,257,201719,203154,255091,0.41,68.4,299.5,22,36.4,27.3,36.4,2900.0
all,Druid,Feral,DPS,11,477,476,298,198145,197193,256088,0.78,53.9,298.6,10,70.0,20.0,10.0,3041.0
all,Druid,Feral,DPS,12,473,468,268,200184,199604,252445,0.78,52.9,301.0,10,50.0,40.0,10.0,3089.0
all,Druid,Feral,DPS,13,448,447,229,207122,207286,255210,0.77,49.3,302.8,15,46.7,26.7,26.7,3160.0
all,Druid,Feral,DPS,14,406,406,172,217499,218830,263602,1.01,40.4,304.4,45,48.9,42.2,8.9,3190.0
all,Druid,Feral,DPS,15,193,192,77,232112,229069,286100,0.95,45.6,304.5,30,23.3,46.7,30.0,3333.0
all,Druid,Feral,DPS,16,82,82,26,258807,263832,306555,0.61,54.9,305.2,17,41.2,11.8,47.1,3395.0
all,Druid,Feral,DPS,17,24,24,12,262523,268065,298574,0.54,66.7,305.6,5,40.0,0.0,60.0,3378.0
all,Druid,Feral,DPS,18,4,4,3,278955,279965,290048,0.5,75.0,304.8,1,0.0,0.0,100.0,3357.0
all,Druid,Guardian,Tank,2,699,699,639,62812,61489,85103,0.05,95.1,292.3,63,77.8,20.6,1.6,2876.0
all,Druid,Guardian,Tank,3,129,129,129,58944,58823,79489,0.09,92.2,292.1,2,50.0,50.0,0.0,
all,Druid,Guardian,Tank,4,300,300,296,64905,63475,84318,0.05,95.0,292.6,18,55.6,38.9,5.6,2810.0
all,Druid,Guardian,Tank,5,536,536,507,70162,68864,93815,0.1,91.0,293.8,32,78.1,18.8,3.1,2740.0
all,Druid,Guardian,Tank,6,333,333,305,73767,71789,96798,0.04,96.1,294.9,30,60.0,33.3,6.7,2543.0
all,Druid,Guardian,Tank,7,216,216,204,87604,85452,111972,0.06,94.0,295.3,10,60.0,30.0,10.0,3001.0
all,Druid,Guardian,Tank,8,223,223,208,95421,93716,126404,0.08,92.4,297.6,9,44.4,44.4,11.1,2928.0
all,Druid,Guardian,Tank,9,280,280,263,95666,91434,124864,0.06,94.6,297.8,8,62.5,12.5,25.0,2926.0
all,Druid,Guardian,Tank,10,2128,2128,878,106068,103896,138544,0.1,91.2,300.4,105,43.8,12.4,43.8,2828.0
all,Druid,Guardian,Tank,11,1660,1660,988,98699,96230,128811,0.29,81.4,298.1,37,37.8,27.0,35.1,2870.0
all,Druid,Guardian,Tank,12,1197,1197,733,100429,100045,128774,0.22,83.5,301.4,39,43.6,20.5,35.9,3058.0
all,Druid,Guardian,Tank,13,994,994,491,105549,105280,133612,0.15,87.0,304.5,60,46.7,38.3,15.0,3132.0
all,Druid,Guardian,Tank,14,793,793,322,111576,110592,140104,0.23,81.0,305.9,64,45.3,35.9,18.8,3173.0
all,Druid,Guardian,Tank,15,242,242,112,118775,118926,149244,0.27,79.3,307.2,30,33.3,26.7,40.0,3230.0
all,Druid,Guardian,Tank,16,54,54,27,135675,137812,172012,0.15,85.2,309.3,6,16.7,16.7,66.7,3338.0
all,Druid,Guardian,Tank,17,8,8,3,154712,161537,183542,0.12,87.5,312.9,2,0.0,0.0,100.0,3424.0
all,Druid,Restoration,Healer,2,462,462,421,9460,7440,18502,0.24,81.2,289.5,45,80.0,20.0,0.0,
all,Druid,Restoration,Healer,3,94,94,93,8800,7520,15939,0.27,79.8,288.9,1,100.0,0.0,0.0,
all,Druid,Restoration,Healer,4,177,177,172,10583,8416,20467,0.3,75.1,290.4,10,80.0,20.0,0.0,
all,Druid,Restoration,Healer,5,326,326,313,10326,7533,19137,0.29,75.5,291.8,19,84.2,15.8,0.0,2842.0
all,Druid,Restoration,Healer,6,186,186,168,10700,8944,19953,0.23,80.6,293.2,8,62.5,37.5,0.0,
all,Druid,Restoration,Healer,7,130,130,124,14883,11096,33722,0.37,68.5,293.9,6,50.0,16.7,33.3,2718.0
all,Druid,Restoration,Healer,8,115,115,111,14312,10803,26095,0.28,74.8,295.8,4,50.0,50.0,0.0,2835.0
all,Druid,Restoration,Healer,9,151,151,139,12821,9944,23332,0.39,69.5,297.8,6,100.0,0.0,0.0,2857.0
all,Druid,Restoration,Healer,10,1163,1163,582,18329,13344,39074,0.42,67.8,299.1,50,42.0,24.0,34.0,2818.0
all,Druid,Restoration,Healer,11,819,819,528,15011,10984,28356,0.99,46.3,297.2,22,63.6,18.2,18.2,2842.0
all,Druid,Restoration,Healer,12,348,348,215,16466,13100,26797,0.9,51.7,300.4,10,50.0,40.0,10.0,2956.0
all,Druid,Restoration,Healer,13,211,211,122,15695,12798,25294,0.76,47.4,303.1,11,27.3,27.3,45.5,2983.0
all,Druid,Restoration,Healer,14,104,104,57,15934,12890,22049,1.12,34.6,304.3,6,50.0,50.0,0.0,2992.0
all,Druid,Restoration,Healer,15,20,20,14,13226,13836,18774,1.25,30.0,305.2,3,0.0,33.3,66.7,2964.0
all,Evoker,Augmentation,DPS,2,83,83,76,83359,82888,108950,0.07,94.0,288.7,6,100.0,0.0,0.0,
all,Evoker,Augmentation,DPS,3,14,14,14,81422,83051,100917,0.43,71.4,287.4,1,100.0,0.0,0.0,
all,Evoker,Augmentation,DPS,4,34,34,33,94553,95970,113081,0.06,94.1,291.7,2,50.0,50.0,0.0,
all,Evoker,Augmentation,DPS,5,51,51,49,101322,103554,126126,0.18,88.2,291.7,6,83.3,16.7,0.0,
all,Evoker,Augmentation,DPS,6,35,35,32,110205,111726,130092,0.14,88.6,294.3,4,50.0,50.0,0.0,
all,Evoker,Augmentation,DPS,7,22,22,21,137116,131666,167457,0.14,90.9,294.6,0,,,,2808.0
all,Evoker,Augmentation,DPS,8,14,14,14,156321,152258,177023,0.29,71.4,294.8,0,,,,
all,Evoker,Augmentation,DPS,9,40,40,36,145339,146564,168636,0.18,85.0,295.8,0,,,,2979.0
all,Evoker,Augmentation,DPS,10,376,376,191,168292,166000,210938,0.22,82.7,297.7,3,66.7,0.0,33.3,2764.0
all,Evoker,Augmentation,DPS,11,223,223,155,148910,147314,185985,1.07,48.9,295.9,1,100.0,0.0,0.0,2826.0
all,Evoker,Augmentation,DPS,12,106,106,77,160675,161062,202048,0.6,67.9,299.3,0,,,,3071.0
all,Evoker,Augmentation,DPS,13,65,65,36,169227,171522,195623,0.43,63.1,302.9,1,0.0,0.0,100.0,3121.0
all,Evoker,Augmentation,DPS,14,38,38,20,183772,188207,214674,0.89,60.5,303.9,1,0.0,0.0,100.0,3177.0
all,Evoker,Augmentation,DPS,15,15,15,5,200334,200650,222780,0.33,73.3,306.1,1,0.0,0.0,100.0,3226.0
all,Evoker,Augmentation,DPS,16,6,6,2,202380,214656,231952,0.83,33.3,304.8,1,0.0,0.0,100.0,3226.0
all,Evoker,Devastation,DPS,2,293,290,252,120502,118568,161627,0.2,82.6,291.1,28,75.0,21.4,3.6,
all,Evoker,Devastation,DPS,3,51,51,48,123712,123918,155733,0.27,74.5,292.7,3,66.7,33.3,0.0,
all,Evoker,Devastation,DPS,4,108,108,105,132124,130276,163714,0.29,73.1,293.5,9,88.9,11.1,0.0,3081.0
all,Evoker,Devastation,DPS,5,208,207,199,141298,139110,186764,0.27,76.9,294.1,13,61.5,30.8,7.7,
all,Evoker,Devastation,DPS,6,127,126,116,149012,145463,193083,0.24,79.5,296.3,7,85.7,14.3,0.0,
all,Evoker,Devastation,DPS,7,90,88,88,176689,177781,213377,0.42,65.6,297.4,5,60.0,20.0,20.0,3081.0
all,Evoker,Devastation,DPS,8,122,120,112,187125,186039,230352,0.36,74.6,296.8,1,100.0,0.0,0.0,2762.0
all,Evoker,Devastation,DPS,9,142,137,137,194123,192614,235255,0.34,73.9,298.8,6,33.3,0.0,66.7,2768.0
all,Evoker,Devastation,DPS,10,2086,2027,727,210284,210133,258313,0.43,68.3,300.9,100,20.0,18.0,62.0,2772.0
all,Evoker,Devastation,DPS,11,1042,1022,568,193570,191424,243841,1.08,44.3,298.4,15,53.3,26.7,20.0,2811.0
all,Evoker,Devastation,DPS,12,512,509,305,195305,194944,237850,1.06,47.5,301.5,9,11.1,11.1,77.8,2925.0
all,Evoker,Devastation,DPS,13,302,300,168,208204,209634,250510,0.74,47.7,305.1,17,5.9,47.1,47.1,3026.0
all,Evoker,Devastation,DPS,14,151,151,85,204303,207720,245437,1.13,41.1,305.6,12,25.0,16.7,58.3,3067.0
all,Evoker,Devastation,DPS,15,54,54,24,228789,229490,278583,1.13,40.7,307.5,1,0.0,100.0,0.0,3268.0
all,Evoker,Devastation,DPS,16,9,9,3,244291,251267,272358,0.33,66.7,310.7,0,,,,3377.0
all,Evoker,Devastation,DPS,17,3,3,2,248651,242066,268545,1.33,33.3,312.3,1,0.0,0.0,100.0,3377.0
all,Evoker,Preservation,Healer,2,348,348,313,26540,24498,43011,0.32,75.9,290.8,30,60.0,33.3,6.7,
all,Evoker,Preservation,Healer,3,54,54,54,22170,22330,36627,0.46,64.8,290.1,0,,,,
all,Evoker,Preservation,Healer,4,137,137,134,25966,25667,41430,0.31,73.7,291.5,5,100.0,0.0,0.0,
all,Evoker,Preservation,Healer,5,274,274,258,28563,26904,43153,0.34,75.5,292.8,19,52.6,47.4,0.0,2748.0
all,Evoker,Preservation,Healer,6,139,139,133,26631,25124,42032,0.31,76.3,292.2,9,88.9,11.1,0.0,2091.0
all,Evoker,Preservation,Healer,7,101,101,94,32077,32290,44893,0.41,70.3,295.1,2,100.0,0.0,0.0,2618.0
all,Evoker,Preservation,Healer,8,124,124,117,35204,34621,50936,0.41,67.7,295.5,6,33.3,33.3,33.3,2767.0
all,Evoker,Preservation,Healer,9,188,188,172,38502,37042,56872,0.45,66.0,298.7,7,0.0,71.4,28.6,2847.0
all,Evoker,Preservation,Healer,10,1930,1930,755,42551,40630,59802,0.48,65.0,300.8,91,27.5,25.3,47.3,2763.0
all,Evoker,Preservation,Healer,11,991,991,626,36931,35020,53518,1.21,44.9,298.5,17,17.6,29.4,52.9,2827.0
all,Evoker,Preservation,Healer,12,638,638,353,45115,42837,65813,0.97,47.6,302.2,14,35.7,28.6,35.7,2967.0
all,Evoker,Preservation,Healer,13,377,377,192,48483,47409,64498,0.84,46.2,305.4,23,4.3,47.8,47.8,3064.0
all,Evoker,Preservation,Healer,14,262,262,110,52326,52566,69676,1.1,37.8,306.7,19,31.6,42.1,26.3,3127.0
all,Evoker,Preservation,Healer,15,114,114,45,57654,58536,75607,1.25,37.7,307.7,17,17.6,35.3,47.1,3085.0
all,Evoker,Preservation,Healer,16,29,29,15,59103,56369,80816,1.38,24.1,308.1,3,0.0,0.0,100.0,
all,Evoker,Preservation,Healer,17,6,6,1,76373,75410,82812,0.33,66.7,309.7,0,,,,
all,Evoker,Preservation,Healer,18,1,1,1,81222,81222,81222,0.0,100.0,311.0,0,,,,
all,Hunter,BeastMastery,DPS,2,1425,1358,1287,113130,110834,148086,0.26,79.2,291.4,134,74.6,20.9,4.5,2858.0
all,Hunter,BeastMastery,DPS,3,269,263,266,115533,115266,147785,0.32,74.3,291.8,7,100.0,0.0,0.0,
all,Hunter,BeastMastery,DPS,4,623,603,603,122508,120626,152767,0.29,80.1,292.9,39,69.2,30.8,0.0,2881.0
all,Hunter,BeastMastery,DPS,5,1066,1035,986,134151,133345,168560,0.26,78.6,293.9,69,60.9,31.9,7.2,2801.0
all,Hunter,BeastMastery,DPS,6,694,679,618,143994,143033,180641,0.22,80.7,295.9,42,57.1,40.5,2.4,
all,Hunter,BeastMastery,DPS,7,384,373,358,163057,161286,200994,0.32,74.0,297.0,23,39.1,34.8,26.1,2812.0
all,Hunter,BeastMastery,DPS,8,326,321,309,173345,172796,209772,0.33,72.7,297.9,18,33.3,44.4,22.2,2836.0
all,Hunter,BeastMastery,DPS,9,402,396,382,173699,173754,211671,0.34,72.6,298.4,13,38.5,23.1,38.5,2820.0
