run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer,set_pieces,player_rating
68782,139263,DeathKnight,Blood,San'layn,Tank,EU,Altar of Fangs,13,1,1566.3,108987,0,299.0,2026-08-22,0,-1,1587.0,11.8,,
68782,68201,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,Altar of Fangs,13,1,1566.3,49243,1,302.0,2026-08-22,0,-1,1587.0,11.8,,
68782,68203,Warlock,Destruction,Diabolist,DPS,EU,Altar of Fangs,13,1,1566.3,270182,0,309.0,2026-08-22,0,-1,1587.0,11.8,,
68782,38824,Mage,Arcane,Sunfury,DPS,EU,Altar of Fangs,13,1,1566.3,257311,1,306.0,2026-08-22,0,-1,1587.0,11.8,,
68782,139264,Paladin,Retribution,Templar,DPS,EU,Altar of Fangs,13,1,1566.3,199490,0,308.0,2026-08-22,0,-1,1587.0,11.8,,
81809,100387,Paladin,Protection,Lightsmith,Tank,EU,The Blinding Vale,12,1,1430.7,137893,0,305.0,2026-08-22,0,-1,1422.0,21.0,,
81809,146381,Shaman,Restoration,Totemic,Healer,EU,The Blinding Vale,12,1,1430.7,37488,0,303.0,2026-08-22,0,-1,1422.0,21.0,,
81809,100389,Druid,Balance,Elune's Chosen,DPS,EU,The Blinding Vale,12,1,1430.7,221938,0,305.0,2026-08-22,0,-1,1422.0,21.0,,
81809,106159,Rogue,Assassination,Deathstalker,DPS,EU,The Blinding Vale,12,1,1430.7,229366,0,299.0,2026-08-22,0,-1,1422.0,21.0,,
81809,135257,Monk,Windwalker,Shado-Pan,DPS,EU,The Blinding Vale,12,1,1430.7,177376,0,300.0,2026-08-22,0,-1,1422.0,21.0,,
47449,100247,Paladin,Protection,Lightsmith,Tank,EU,Ruby Life Pools,13,1,1472.1,81561,1,308.0,2026-08-22,0,-1,,,,
47449,73888,Shaman,Restoration,Totemic,Healer,EU,Ruby Life Pools,13,1,1472.1,40968,1,307.0,2026-08-22,0,-1,,,,
47449,27932,DeathKnight,Frost,Deathbringer,DPS,EU,Ruby Life Pools,13,1,1472.1,191368,1,303.0,2026-08-22,0,-1,,,,
47449,12633,Mage,Arcane,Sunfury,DPS,EU,Ruby Life Pools,13,1,1472.1,226183,2,305.0,2026-08-22,0,-1,,,,
47449,84514,Warrior,Arms,Slayer,DPS,EU,Ruby Life Pools,13,1,1472.1,208034,1,304.0,2026-08-22,0,-1,,,,
39392,62321,Warrior,Protection,Mountain Thane,Tank,EU,Altar of Fangs,10,1,1108.0,124593,0,303.0,2026-08-20,0,-1,1100.0,38.9,,
39392,20599,Shaman,Restoration,Totemic,Healer,EU,Altar of Fangs,10,1,1108.0,41220,0,305.0,2026-08-20,0,-1,1100.0,38.9,,2887
39392,20600,Warlock,Demonology,Diabolist,DPS,EU,Altar of Fangs,10,1,1108.0,235861,0,300.0,2026-08-20,0,-1,1100.0,38.9,,3007
39392,20601,Rogue,Assassination,Deathstalker,DPS,EU,Altar of Fangs,10,1,1108.0,272863,0,302.0,2026-08-20,0,-1,1100.0,38.9,,3214
39392,20714,Paladin,Retribution,Templar,DPS,EU,Altar of Fangs,10,1,1108.0,258652,0,306.0,2026-08-20,0,-1,1100.0,38.9,,2964
33789,17628,DeathKnight,Blood,San'layn,Tank,EU,Kings' Rest,11,1,1379.1,140009,0,305.0,2026-08-20,0,-1,1400.0,29.3,,2883
33789,73169,Priest,Holy,Oracle,Healer,EU,Kings' Rest,11,1,1379.1,21778,0,294.0,2026-08-20,0,-1,1400.0,29.3,,
33789,73170,Hunter,BeastMastery,Pack Leader,DPS,EU,Kings' Rest,11,1,1379.1,131022,3,295.0,2026-08-20,0,-1,1400.0,29.3,,
33789,18193,Rogue,Outlaw,Trickster,DPS,EU,Kings' Rest,11,1,1379.1,127853,1,299.0,2026-08-20,0,-1,1400.0,29.3,,
33789,73171,Warrior,Arms,Slayer,DPS,EU,Kings' Rest,11,1,1379.1,162126,1,298.0,2026-08-20,0,-1,1400.0,29.3,,
8700,17604,DeathKnight,Blood,San'layn,Tank,EU,Ruby Life Pools,11,1,1296.6,116949,2,292.0,2026-08-19,0,-1,1343.0,20.1,,
8700,13038,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,Ruby Life Pools,11,1,1296.6,43004,2,292.0,2026-08-19,0,-1,1343.0,20.1,,2905
8700,13041,DemonHunter,Devourer,Void-Scarred,DPS,EU,Ruby Life Pools,11,1,1296.6,200236,2,293.0,2026-08-19,0,-1,1343.0,20.1,,3305
8700,13040,Hunter,Marksmanship,Sentinel,DPS,EU,Ruby Life Pools,11,1,1296.6,183423,3,294.0,2026-08-19,0,-1,1343.0,20.1,,2957
8700,13039,DemonHunter,Devourer,Annihilator,DPS,EU,Ruby Life Pools,11,1,1296.6,214249,2,293.0,2026-08-19,0,-1,1343.0,20.1,,2952
49032,36833,Warrior,Protection,Mountain Thane,Tank,EU,Ruby Life Pools,10,1,1017.5,147213,0,305.0,2026-08-22,0,-1,1014.0,39.6,,
49032,103762,Shaman,Restoration,Totemic,Healer,EU,Ruby Life Pools,10,1,1017.5,23595,0,301.0,2026-08-22,0,-1,1014.0,39.6,,
49032,103763,Warrior,Fury,Slayer,DPS,EU,Ruby Life Pools,10,1,1017.5,224290,0,295.0,2026-08-22,0,-1,1014.0,39.6,,
49032,36836,Warlock,Demonology,Diabolist,DPS,EU,Ruby Life Pools,10,1,1017.5,203400,1,307.0,2026-08-22,0,-1,1014.0,39.6,,
49032,68352,Paladin,Retribution,Herald of the Sun,DPS,EU,Ruby Life Pools,10,1,1017.5,289519,0,311.0,2026-08-22,0,-1,1014.0,39.6,,
76033,49319,DeathKnight,Blood,San'layn,Tank,US,Voidscar Arena,13,1,1528.7,77796,0,303.0,2026-08-21,0,-1,1535.0,14.7,,
76033,8620,Evoker,Preservation,Flameshaper,Healer,US,Voidscar Arena,13,1,1528.7,46056,0,298.0,2026-08-21,0,-1,1535.0,14.7,,
76033,5733,DeathKnight,Unholy,Rider of the Apocalypse,DPS,US,Voidscar Arena,13,1,1528.7,191736,0,306.0,2026-08-21,0,-1,1535.0,14.7,,
76033,18951,Mage,Arcane,Sunfury,DPS,US,Voidscar Arena,13,1,1528.7,199511,1,301.0,2026-08-21,0,-1,1535.0,14.7,,
76033,70786,Warrior,Arms,Slayer,DPS,US,Voidscar Arena,13,1,1528.7,196231,0,306.0,2026-08-21,0,-1,1535.0,14.7,,
85012,149975,Paladin,Protection,Templar,Tank,US,Kings' Rest,2,1,1138.4,56862,0,301.0,2026-08-23,0,-1,1130.0,42.9,2,
85012,149976,Paladin,Holy,Herald of the Sun,Healer,US,Kings' Rest,2,1,1138.4,14291,0,280.0,2026-08-23,0,-1,1130.0,42.9,0,
85012,149977,Hunter,Marksmanship,Sentinel,DPS,US,Kings' Rest,2,1,1138.4,68835,0,289.0,2026-08-23,0,-1,1130.0,42.9,1,
85012,149978,Druid,Feral,Druid of the Claw,DPS,US,Kings' Rest,2,1,1138.4,85591,0,290.0,2026-08-23,0,-1,1130.0,42.9,0,
85012,149979,Shaman,Elemental,Farseer,DPS,US,Kings' Rest,2,1,1138.4,79074,0,280.0,2026-08-23,0,-1,1130.0,42.9,,
40343,45320,Paladin,Protection,Lightsmith,Tank,EU,Voidscar Arena,12,1,1369.7,105513,0,296.0,2026-08-20,0,-1,1361.0,24.4,,
40343,20878,Shaman,Restoration,Totemic,Healer,EU,Voidscar Arena,12,1,1369.7,28591,0,302.0,2026-08-20,0,-1,1361.0,24.4,,
40343,45324,Rogue,Assassination,Deathstalker,DPS,EU,Voidscar Arena,12,1,1369.7,254418,0,291.0,2026-08-20,0,-1,1361.0,24.4,,
40343,18870,DeathKnight,Unholy,Rider of the Apocalypse,DPS,EU,Voidscar Arena,12,1,1369.7,191634,0,299.0,2026-08-20,0,-1,1361.0,24.4,,
40343,53660,DemonHunter,Havoc,Fel-Scarred,DPS,EU,Voidscar Arena,12,1,1369.7,224741,0,302.0,2026-08-20,0,-1,1361.0,24.4,,
35778,53116,Paladin,Protection,Unknown,Tank,EU,Ruby Life Pools,12,1,1251.5,116544,2,309.0,2026-08-21,0,-1,1349.0,19.7,,
35778,20521,Shaman,Restoration,Unknown,Healer,EU,Ruby Life Pools,12,1,1251.5,31867,1,302.0,2026-08-21,0,-1,1349.0,19.7,,
35778,53118,Shaman,Elemental,Unknown,DPS,EU,Ruby Life Pools,12,1,1251.5,254916,3,310.0,2026-08-21,0,-1,1349.0,19.7,,
35778,53120,Hunter,Marksmanship,Unknown,DPS,EU,Ruby Life Pools,12,1,1251.5,238195,1,311.0,2026-08-21,0,-1,1349.0,19.7,,
35778,16123,DemonHunter,Havoc,Unknown,DPS,EU,Ruby Life Pools,12,1,1251.5,213440,0,304.0,2026-08-21,0,-1,1349.0,19.7,,
35381,76468,DeathKnight,Blood,San'layn,Tank,EU,Temple of Sethraliss,10,1,1152.2,129344,0,299.0,2026-08-20,0,-1,1144.0,40.4,,
35381,76469,Paladin,Holy,Lightsmith,Healer,EU,Temple of Sethraliss,10,1,1152.2,47460,0,299.0,2026-08-20,0,-1,1144.0,40.4,,
35381,76470,DemonHunter,Havoc,Fel-Scarred,DPS,EU,Temple of Sethraliss,10,1,1152.2,195555,0,300.0,2026-08-20,0,-1,1144.0,40.4,,
35381,76471,Mage,Arcane,Sunfury,DPS,EU,Temple of Sethraliss,10,1,1152.2,189738,0,297.0,2026-08-20,0,-1,1144.0,40.4,,
35381,13550,Druid,Balance,Elune's Chosen,DPS,EU,Temple of Sethraliss,10,1,1152.2,237284,0,304.0,2026-08-20,0,-1,1144.0,40.4,,
59885,93044,DemonHunter,Vengeance,Annihilator,Tank,US,Voidscar Arena,10,1,1028.3,122620,0,306.0,2026-08-23,0,-1,1019.0,43.4,,
59885,128196,Shaman,Restoration,Totemic,Healer,US,Voidscar Arena,10,1,1028.3,20547,0,303.0,2026-08-23,0,-1,1019.0,43.4,,
59885,4072,Druid,Balance,Elune's Chosen,DPS,US,Voidscar Arena,10,1,1028.3,214675,0,311.0,2026-08-23,0,-1,1019.0,43.4,,
59885,10988,Rogue,Subtlety,Deathstalker,DPS,US,Voidscar Arena,10,1,1028.3,254561,0,306.0,2026-08-23,0,-1,1019.0,43.4,,
59885,128197,Warlock,Demonology,Diabolist,DPS,US,Voidscar Arena,10,1,1028.3,244157,0,308.0,2026-08-23,0,-1,1019.0,43.4,,
62161,133573,DeathKnight,Blood,Deathbringer,Tank,US,Murder Row,7,1,1218.8,63660,0,290.0,2026-08-23,0,-1,1210.0,40.7,,
62161,115139,Priest,Holy,Oracle,Healer,US,Murder Row,7,1,1218.8,44621,0,305.0,2026-08-23,0,-1,1210.0,40.7,,
62161,112217,Shaman,Elemental,Farseer,DPS,US,Murder Row,7,1,1218.8,200382,0,305.0,2026-08-23,0,-1,1210.0,40.7,,
62161,133574,Mage,Arcane,Sunfury,DPS,US,Murder Row,7,1,1218.8,162255,0,298.0,2026-08-23,0,-1,1210.0,40.7,,
62161,40418,Druid,Balance,Elune's Chosen,DPS,US,Murder Row,7,1,1218.8,167105,0,307.0,2026-08-23,0,-1,1210.0,40.7,,
84859,149061,DemonHunter,Vengeance,Annihilator,Tank,EU,Kings' Rest,5,1,1037.1,51751,0,301.0,2026-08-23,0,-1,1029.0,48.0,2,
84859,149062,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,Kings' Rest,5,1,1037.1,24259,0,290.0,2026-08-23,0,-1,1029.0,48.0,0,
84859,149718,Warlock,Demonology,Diabolist,DPS,EU,Kings' Rest,5,1,1037.1,119663,0,290.0,2026-08-23,0,-1,1029.0,48.0,0,
84859,134230,Mage,Arcane,Sunfury,DPS,EU,Kings' Rest,5,1,1037.1,99184,0,292.0,2026-08-23,0,-1,1029.0,48.0,0,
84859,149639,Hunter,BeastMastery,Pack Leader,DPS,EU,Kings' Rest,5,1,1037.1,108819,0,292.0,2026-08-23,0,-1,1029.0,48.0,1,
14481,29451,Paladin,Protection,Templar,Tank,EU,The Blinding Vale,8,1,1079.9,81803,0,291.0,2026-08-19,0,-1,1081.0,39.9,,
14481,29452,Shaman,Restoration,Totemic,Healer,EU,The Blinding Vale,8,1,1079.9,31208,0,291.0,2026-08-19,0,-1,1081.0,39.9,,
14481,29453,Hunter,BeastMastery,Pack Leader,DPS,EU,The Blinding Vale,8,1,1079.9,187608,1,292.0,2026-08-19,0,-1,1081.0,39.9,,
14481,22887,Warrior,Arms,Slayer,DPS,EU,The Blinding Vale,8,1,1079.9,208500,0,295.0,2026-08-19,0,-1,1081.0,39.9,,
14481,29454,DemonHunter,Devourer,Annihilator,DPS,EU,The Blinding Vale,8,1,1079.9,217693,1,292.0,2026-08-19,0,-1,1081.0,39.9,,
17103,14506,DeathKnight,Blood,San'layn,Tank,US,Den of Nalorakk,10,1,1147.6,125355,0,303.0,2026-08-19,0,-1,1149.0,40.2,,2713
17103,14507,Paladin,Holy,Herald of the Sun,Healer,US,Den of Nalorakk,10,1,1147.6,10750,0,301.0,2026-08-19,0,-1,1149.0,40.2,,2762
17103,14508,Rogue,Subtlety,Deathstalker,DPS,US,Den of Nalorakk,10,1,1147.6,226032,0,303.0,2026-08-19,0,-1,1149.0,40.2,,2715
17103,37813,Warrior,Arms,Slayer,DPS,US,Den of Nalorakk,10,1,1147.6,174858,2,298.0,2026-08-19,0,-1,1149.0,40.2,,
17103,1015,Shaman,Elemental,Farseer,DPS,US,Den of Nalorakk,10,1,1147.6,214956,0,301.0,2026-08-19,0,-1,1149.0,40.2,,2726
26482,58586,Paladin,Protection,Lightsmith,Tank,EU,Den of Nalorakk,4,1,998.3,73469,0,295.0,2026-08-20,0,-1,989.0,48.5,,
26482,58587,Paladin,Holy,Herald of the Sun,Healer,EU,Den of Nalorakk,4,1,998.3,13470,0,291.0,2026-08-20,0,-1,989.0,48.5,,
26482,58588,DeathKnight,Frost,Deathbringer,DPS,EU,Den of Nalorakk,4,1,998.3,109200,0,296.0,2026-08-20,0,-1,989.0,48.5,,
26482,58589,Warlock,Destruction,Diabolist,DPS,EU,Den of Nalorakk,4,1,998.3,130674,0,289.0,2026-08-20,0,-1,989.0,48.5,,
26482,58590,Shaman,Elemental,Farseer,DPS,EU,Den of Nalorakk,4,1,998.3,121242,0,294.0,2026-08-20,0,-1,989.0,48.5,,
23210,160,DeathKnight,Blood,San'layn,Tank,US,Altar of Fangs,10,1,1213.7,159566,0,308.0,2026-08-20,0,-1,1205.0,33.1,,3127
23210,17847,Shaman,Restoration,Totemic,Healer,US,Altar of Fangs,10,1,1213.7,25216,0,300.0,2026-08-20,0,-1,1205.0,33.1,,
23210,51340,Warlock,Destruction,Diabolist,DPS,US,Altar of Fangs,10,1,1213.7,192291,0,300.0,2026-08-20,0,-1,1205.0,33.1,,
23210,37273,Shaman,Elemental,Farseer,DPS,US,Altar of Fangs,10,1,1213.7,250214,0,300.0,2026-08-20,0,-1,1205.0,33.1,,
23210,164,Mage,Arcane,Sunfury,DPS,US,Altar of Fangs,10,1,1213.7,214917,0,307.0,2026-08-20,0,-1,1205.0,33.1,,3127
28533,16340,Paladin,Protection,Lightsmith,Tank,US,Ruby Life Pools,11,1,1166.7,119559,0,296.0,2026-08-20,0,-1,1178.0,29.9,,
28533,16341,Shaman,Restoration,Totemic,Healer,US,Ruby Life Pools,11,1,1166.7,26909,0,296.0,2026-08-20,0,-1,1178.0,29.9,,
28533,16342,Monk,Windwalker,Conduit of the Celestials,DPS,US,Ruby Life Pools,11,1,1166.7,164150,2,293.0,2026-08-20,0,-1,1178.0,29.9,,
28533,7054,Warrior,Arms,Slayer,DPS,US,Ruby Life Pools,11,1,1166.7,236033,2,298.0,2026-08-20,0,-1,1178.0,29.9,,
28533,16343,DemonHunter,Havoc,Fel-Scarred,DPS,US,Ruby Life Pools,11,1,1166.7,277983,0,300.0,2026-08-20,0,-1,1178.0,29.9,,
15492,32882,DeathKnight,Blood,Deathbringer,Tank,EU,Kings' Rest,4,1,1135.0,61541,0,293.0,2026-08-19,0,-1,1127.0,43.1,,
