run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
27678,63970,Warrior,Arms,Slayer,DPS,EU,Altar of Fangs,10,1,1647.1,141561,2,290.0,2026-08-19,0,-1,1699.0,5.6
27679,63971,Druid,Guardian,Elune's Chosen,Tank,US,Altar of Fangs,2,1,1109.1,67438,0,291.0,2026-08-18,0,-1,1101.0,38.9
27679,63972,Paladin,Holy,Herald of the Sun,Healer,US,Altar of Fangs,2,1,1109.1,12625,0,286.0,2026-08-18,0,-1,1101.0,38.9
27679,63973,Hunter,BeastMastery,Pack Leader,DPS,US,Altar of Fangs,2,1,1109.1,114098,0,290.0,2026-08-18,0,-1,1101.0,38.9
27679,7710,Druid,Balance,Elune's Chosen,DPS,US,Altar of Fangs,2,1,1109.1,126385,0,295.0,2026-08-18,0,-1,1101.0,38.9
27679,63974,Warlock,Demonology,Diabolist,DPS,US,Altar of Fangs,2,1,1109.1,114639,0,291.0,2026-08-18,0,-1,1101.0,38.9
27681,62810,DeathKnight,Blood,San'layn,Tank,EU,Murder Row,5,1,1110.4,64164,0,286.0,2026-08-19,0,-1,1102.0,46.0
27681,33994,Druid,Restoration,Wildstalker,Healer,EU,Murder Row,5,1,1110.4,7832,0,294.0,2026-08-19,0,-1,1102.0,46.0
27681,63977,Shaman,Elemental,Farseer,DPS,EU,Murder Row,5,1,1110.4,147807,0,293.0,2026-08-19,0,-1,1102.0,46.0
27681,63978,Monk,Windwalker,Shado-Pan,DPS,EU,Murder Row,5,1,1110.4,103300,0,294.0,2026-08-19,0,-1,1102.0,46.0
27681,63979,Shaman,Elemental,Farseer,DPS,EU,Murder Row,5,1,1110.4,137612,0,293.0,2026-08-19,0,-1,1102.0,46.0
27682,63980,Paladin,Protection,Templar,Tank,EU,Altar of Fangs,5,1,1187.5,64510,0,277.0,2026-08-19,0,-1,1179.0,34.5
27682,63981,Paladin,Holy,Herald of the Sun,Healer,EU,Altar of Fangs,5,1,1187.5,21390,0,293.0,2026-08-19,0,-1,1179.0,34.5
27682,63982,Warrior,Arms,Slayer,DPS,EU,Altar of Fangs,5,1,1187.5,164487,0,292.0,2026-08-19,0,-1,1179.0,34.5
27682,33328,DeathKnight,Unholy,San'layn,DPS,EU,Altar of Fangs,5,1,1187.5,124108,0,293.0,2026-08-19,0,-1,1179.0,34.5
27682,63983,Hunter,BeastMastery,Pack Leader,DPS,EU,Altar of Fangs,5,1,1187.5,103209,0,282.0,2026-08-19,0,-1,1179.0,34.5
27683,6532,DeathKnight,Blood,San'layn,Tank,US,Altar of Fangs,11,1,1671.0,145039,1,299.0,2026-08-19,0,-1,1728.0,4.0
27683,9870,Shaman,Restoration,Totemic,Healer,US,Altar of Fangs,11,1,1671.0,30111,2,295.0,2026-08-19,0,-1,1728.0,4.0
27683,41837,Mage,Arcane,Sunfury,DPS,US,Altar of Fangs,11,1,1671.0,209736,2,300.0,2026-08-19,0,-1,1728.0,4.0
27683,41835,Warlock,Affliction,Soul Harvester,DPS,US,Altar of Fangs,11,1,1671.0,184766,4,297.0,2026-08-19,0,-1,1728.0,4.0
27683,63984,Paladin,Retribution,Templar,DPS,US,Altar of Fangs,11,1,1671.0,194138,4,297.0,2026-08-19,0,-1,1728.0,4.0
27684,63985,Druid,Guardian,Elune's Chosen,Tank,EU,The Blinding Vale,8,1,1447.9,82031,0,296.0,2026-08-19,0,-1,1475.0,18.1
27684,63986,Evoker,Preservation,Flameshaper,Healer,EU,The Blinding Vale,8,1,1447.9,34026,2,289.0,2026-08-19,0,-1,1475.0,18.1
27684,63987,Shaman,Elemental,Farseer,DPS,EU,The Blinding Vale,8,1,1447.9,172421,3,294.0,2026-08-19,0,-1,1475.0,18.1
27684,63988,Priest,Shadow,Archon,DPS,EU,The Blinding Vale,8,1,1447.9,153887,2,293.0,2026-08-19,0,-1,1475.0,18.1
27684,63989,Evoker,Augmentation,Scalecommander,DPS,EU,The Blinding Vale,8,1,1447.9,135307,0,293.0,2026-08-19,0,-1,1475.0,18.1
27685,63990,DeathKnight,Blood,San'layn,Tank,EU,The Blinding Vale,10,0,1904.3,101886,4,295.0,2026-08-19,0,-1,2050.0,-13.9
27685,63991,Shaman,Restoration,Totemic,Healer,EU,The Blinding Vale,10,0,1904.3,19039,6,296.0,2026-08-19,0,-1,2050.0,-13.9
27685,63992,Monk,Windwalker,Shado-Pan,DPS,EU,The Blinding Vale,10,0,1904.3,147740,7,291.0,2026-08-19,0,-1,2050.0,-13.9
27685,31920,Shaman,Elemental,Farseer,DPS,EU,The Blinding Vale,10,0,1904.3,189644,6,291.0,2026-08-19,0,-1,2050.0,-13.9
27685,63993,Warrior,Arms,Slayer,DPS,EU,The Blinding Vale,10,0,1904.3,138208,8,293.0,2026-08-19,0,-1,2050.0,-13.9
27686,63994,DeathKnight,Blood,Deathbringer,Tank,US,Kings' Rest,9,1,1722.0,63018,1,285.0,2026-08-19,0,-1,1768.0,10.7
27686,26012,Priest,Discipline,Oracle,Healer,US,Kings' Rest,9,1,1722.0,14302,3,292.0,2026-08-19,0,-1,1768.0,10.7
27686,63995,Shaman,Elemental,Farseer,DPS,US,Kings' Rest,9,1,1722.0,98644,1,287.0,2026-08-19,0,-1,1768.0,10.7
27686,63996,Rogue,Assassination,Deathstalker,DPS,US,Kings' Rest,9,1,1722.0,115456,3,293.0,2026-08-19,0,-1,1768.0,10.7
27686,63997,Warrior,Arms,Slayer,DPS,US,Kings' Rest,9,1,1722.0,82663,3,286.0,2026-08-19,0,-1,1768.0,10.7
27687,4122,DeathKnight,Blood,San'layn,Tank,US,Murder Row,11,1,1975.8,99891,1,304.0,2026-08-19,0,-1,2007.0,1.6
