subset,class,spec,role,reset_bucket,reset_start,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,Warlock,Destruction,DPS,0,2026-08-18,3554,3531,1935,168111,168938,233825,0.58,63.9,298.2,165,41.8,22.4,35.8,2863.0
all,Warrior,Arms,DPS,0,2026-08-18,37593,36636,11704,193956,196466,249219,0.77,52.8,301.5,1747,37.6,26.4,36.0,2987.0
all,Warrior,Fury,DPS,0,2026-08-18,2899,2890,1443,185537,189020,251415,0.55,63.0,299.7,184,37.0,34.8,28.3,3068.0
all,Warrior,Protection,Tank,0,2026-08-18,7147,7147,3108,110988,111473,148289,0.21,85.4,297.3,322,65.2,15.8,18.9,2903.0
timed,DeathKnight,Blood,Tank,0,2026-08-18,40739,40735,12554,117665,117520,155868,0.09,92.4,302.4,1790,41.5,36.2,22.3,2967.0
timed,DeathKnight,Frost,DPS,0,2026-08-18,2530,2520,1223,171559,176116,228738,0.33,74.5,298.6,118,33.9,36.4,29.7,2934.0
timed,DeathKnight,Unholy,DPS,0,2026-08-18,11080,10923,4238,191579,194323,251898,0.31,74.6,299.8,524,34.2,25.8,40.1,2953.0
timed,DemonHunter,Devourer,DPS,0,2026-08-18,14800,14594,4690,192046,195587,245401,0.61,57.4,300.8,648,36.0,27.2,36.9,2968.0
timed,DemonHunter,Havoc,DPS,0,2026-08-18,4640,4610,2160,174347,178932,231571,0.43,67.7,298.4,233,50.2,28.8,21.0,2906.0
timed,DemonHunter,Vengeance,Tank,0,2026-08-18,5981,5981,2540,105253,105559,142061,0.1,92.1,299.4,386,49.2,24.9,25.9,2917.0
timed,Druid,Balance,DPS,0,2026-08-18,12978,12885,4962,179404,182134,235530,0.5,64.7,300.0,622,35.4,26.7,37.9,2901.0
timed,Druid,Feral,DPS,0,2026-08-18,3405,3395,1255,189368,192903,254516,0.55,61.7,299.5,225,53.8,28.0,18.2,3109.0
timed,Druid,Guardian,Tank,0,2026-08-18,9472,9472,3808,95728,95195,130302,0.11,89.9,299.5,511,51.1,25.6,23.3,2937.0
timed,Druid,Restoration,Healer,0,2026-08-18,4177,4177,2189,14644,10987,26792,0.48,65.6,296.5,201,61.2,23.4,15.4,2858.0
timed,Evoker,Augmentation,DPS,0,2026-08-18,1056,1056,532,149614,151918,200409,0.29,78.0,296.7,27,66.7,14.8,18.5,2835.0
timed,Evoker,Devastation,DPS,0,2026-08-18,5114,5017,1847,192880,194432,248484,0.53,63.2,299.7,226,37.2,21.2,41.6,2815.0
timed,Evoker,Preservation,Healer,0,2026-08-18,5490,5490,2133,39988,38577,60042,0.59,60.4,299.6,256,33.6,32.0,34.4,2827.0
timed,Hunter,BeastMastery,DPS,0,2026-08-18,12439,12165,6381,164607,164482,218035,0.46,67.0,298.6,669,47.1,27.8,25.1,2857.0
timed,Hunter,Marksmanship,DPS,0,2026-08-18,6635,6527,2487,185019,188979,237783,0.46,66.7,301.2,333,27.6,15.6,56.8,2856.0
timed,Hunter,Survival,DPS,0,2026-08-18,1434,1426,762,157678,157384,213203,0.42,68.7,298.2,97,42.3,19.6,38.1,2958.0
timed,Mage,Arcane,DPS,0,2026-08-18,44238,42351,14323,201027,204754,260138,0.48,64.8,302.1,2246,26.0,32.6,41.4,2972.0
timed,Mage,Fire,DPS,0,2026-08-18,691,691,362,179374,185463,248488,0.31,78.4,296.4,25,64.0,8.0,28.0,2854.0
timed,Mage,Frost,DPS,0,2026-08-18,1487,1478,1091,136305,132169,192439,0.45,68.4,294.7,76,73.7,21.1,5.3,2788.0
timed,Monk,Brewmaster,Tank,0,2026-08-18,4732,4732,1846,94081,94424,124680,0.18,84.8,298.9,224,51.3,24.6,24.1,3045.0
timed,Monk,Mistweaver,Healer,0,2026-08-18,8020,8020,3370,42119,42604,55871,0.36,72.3,297.9,426,60.1,25.4,14.6,2908.0
timed,Monk,Windwalker,DPS,0,2026-08-18,7061,7026,2835,178337,178989,243220,0.51,63.7,300.6,422,36.3,25.4,38.4,2913.0
timed,Paladin,Holy,Healer,0,2026-08-18,27057,27051,9908,25341,21602,46523,0.43,67.7,299.9,1298,39.5,41.3,19.2,2959.0
timed,Paladin,Protection,Tank,0,2026-08-18,17080,17080,6992,96745,97140,127636,0.12,89.1,298.8,806,53.6,30.9,15.5,2960.0
timed,Paladin,Retribution,DPS,0,2026-08-18,15634,15304,7139,181847,184658,243432,0.45,66.7,300.0,880,40.5,29.7,29.9,2974.0
timed,Priest,Discipline,Healer,0,2026-08-18,5248,5248,2587,19026,17176,29887,0.44,68.7,297.2,223,58.7,27.4,13.9,2850.0
timed,Priest,Holy,Healer,0,2026-08-18,7757,7757,3528,23884,23216,38127,0.13,89.0,299.4,446,54.7,28.9,16.4,2900.0
timed,Priest,Shadow,DPS,0,2026-08-18,7763,7696,3199,179003,181994,236302,0.45,68.1,299.2,397,39.8,19.6,40.6,2883.0
timed,Rogue,Assassination,DPS,0,2026-08-18,6950,6928,2491,207258,212080,269415,0.53,64.0,300.4,357,36.7,23.2,40.1,3094.0
timed,Rogue,Outlaw,DPS,0,2026-08-18,4440,4419,1532,197731,201896,263143,0.5,65.9,298.7,199,46.7,17.1,36.2,3164.0
timed,Rogue,Subtlety,DPS,0,2026-08-18,9129,9007,3094,200141,202594,258728,0.4,71.8,300.7,474,33.8,15.2,51.1,2944.0
timed,Shaman,Elemental,DPS,0,2026-08-18,23129,22776,8209,200351,204330,263063,0.51,64.4,300.9,1099,37.1,27.0,35.9,2957.0
timed,Shaman,Enhancement,DPS,0,2026-08-18,5532,5508,2164,187008,190454,245771,0.57,60.9,299.4,350,33.1,30.6,36.3,2944.0
timed,Shaman,Restoration,Healer,0,2026-08-18,27211,27211,10375,26940,26599,38559,0.35,73.3,298.9,1323,42.9,36.1,21.1,3009.0
timed,Warlock,Affliction,DPS,0,2026-08-18,1203,1202,797,163481,156927,238560,0.35,74.3,297.7,78,35.9,28.2,35.9,2818.0
timed,Warlock,Demonology,DPS,0,2026-08-18,8926,8831,4061,194966,198807,257920,0.44,68.3,300.0,531,43.3,20.3,36.3,2838.0
timed,Warlock,Destruction,DPS,0,2026-08-18,3404,3382,1892,168890,170108,234470,0.46,66.5,298.3,164,42.1,22.0,36.0,2855.0
timed,Warrior,Arms,DPS,0,2026-08-18,36392,35467,11607,194537,197162,249517,0.69,54.3,301.5,1726,37.6,26.5,35.9,2984.0
timed,Warrior,Fury,DPS,0,2026-08-18,2803,2794,1427,185997,189660,251852,0.47,64.8,299.7,183,37.2,35.0,27.9,3068.0
timed,Warrior,Protection,Tank,0,2026-08-18,6956,6956,3066,111406,112086,148759,0.15,87.3,297.3,320,65.0,15.9,19.1,2900.0
