run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
188125,243508,Paladin,Holy,Lightsmith,Healer,CN,Altar of Fangs,12,1,1642.4,27838,1,297.0,2026-08-21,0,-1,1694.0,5.9
188125,245197,Rogue,Assassination,Deathstalker,DPS,CN,Altar of Fangs,12,1,1642.4,180708,2,296.0,2026-08-21,0,-1,1694.0,5.9
188125,245196,Shaman,Elemental,Farseer,DPS,CN,Altar of Fangs,12,1,1642.4,203240,1,302.0,2026-08-21,0,-1,1694.0,5.9
188125,243511,Mage,Arcane,Sunfury,DPS,CN,Altar of Fangs,12,1,1642.4,196521,0,302.0,2026-08-21,0,-1,1694.0,5.9
188128,134575,Druid,Guardian,Elune's Chosen,Tank,EU,Murder Row,8,1,1511.3,72816,0,290.0,2026-08-21,0,-1,1518.0,25.6
188128,142444,Shaman,Restoration,Totemic,Healer,EU,Murder Row,8,1,1511.3,21845,0,295.0,2026-08-21,0,-1,1518.0,25.6
188128,246493,Mage,Arcane,Sunfury,DPS,EU,Murder Row,8,1,1511.3,136639,1,301.0,2026-08-21,0,-1,1518.0,25.6
188128,121282,Priest,Shadow,Voidweaver,DPS,EU,Murder Row,8,1,1511.3,116331,2,297.0,2026-08-21,0,-1,1518.0,25.6
188128,64900,Monk,Windwalker,Shado-Pan,DPS,EU,Murder Row,8,1,1511.3,158760,0,300.0,2026-08-21,0,-1,1518.0,25.6
188130,10755,Druid,Guardian,Elune's Chosen,Tank,US,The Blinding Vale,10,1,1316.2,117937,0,308.0,2026-08-21,0,-1,1313.0,27.1
188130,23666,Paladin,Holy,Herald of the Sun,Healer,US,The Blinding Vale,10,1,1316.2,25905,0,312.0,2026-08-21,0,-1,1313.0,27.1
188130,145684,Warrior,Arms,Slayer,DPS,US,The Blinding Vale,10,1,1316.2,207693,0,303.0,2026-08-21,0,-1,1313.0,27.1
188130,9095,DemonHunter,Devourer,Void-Scarred,DPS,US,The Blinding Vale,10,1,1316.2,220390,0,308.0,2026-08-21,0,-1,1313.0,27.1
188130,1930,Warrior,Arms,Slayer,DPS,US,The Blinding Vale,10,1,1316.2,234017,1,301.0,2026-08-21,0,-1,1313.0,27.1
188149,246513,Druid,Guardian,Elune's Chosen,Tank,CN,Voidscar Arena,10,1,1330.7,75430,0,299.0,2026-08-21,0,-1,1327.0,26.3
188149,246514,Shaman,Restoration,Totemic,Healer,CN,Voidscar Arena,10,1,1330.7,24005,0,295.0,2026-08-21,0,-1,1327.0,26.3
188149,246515,Hunter,Marksmanship,Sentinel,DPS,CN,Voidscar Arena,10,1,1330.7,189193,0,307.0,2026-08-21,0,-1,1327.0,26.3
188149,53560,Mage,Arcane,Sunfury,DPS,CN,Voidscar Arena,10,1,1330.7,170141,1,300.0,2026-08-21,0,-1,1327.0,26.3
188149,246516,Paladin,Retribution,Herald of the Sun,DPS,CN,Voidscar Arena,10,1,1330.7,203938,0,301.0,2026-08-21,0,-1,1327.0,26.3
188150,30734,Paladin,Protection,Lightsmith,Tank,EU,Kings' Rest,10,1,1393.6,68208,0,303.0,2026-08-21,0,-1,1410.0,28.8
188150,183647,Evoker,Preservation,Flameshaper,Healer,EU,Kings' Rest,10,1,1393.6,45431,2,301.0,2026-08-21,0,-1,1410.0,28.8
188150,14955,DeathKnight,Unholy,Rider of the Apocalypse,DPS,EU,Kings' Rest,10,1,1393.6,142698,1,308.0,2026-08-21,0,-1,1410.0,28.8
188150,246517,Mage,Arcane,Sunfury,DPS,EU,Kings' Rest,10,1,1393.6,106534,1,298.0,2026-08-21,0,-1,1410.0,28.8
188150,15212,Shaman,Elemental,Farseer,DPS,EU,Kings' Rest,10,1,1393.6,157524,1,309.0,2026-08-21,0,-1,1410.0,28.8
188161,243922,Monk,Brewmaster,Master of Harmony,Tank,EU,Murder Row,10,1,1429.8,93777,1,292.0,2026-08-21,0,-1,1447.0,29.1
188161,243923,Evoker,Preservation,Flameshaper,Healer,EU,Murder Row,10,1,1429.8,30224,0,300.0,2026-08-21,0,-1,1447.0,29.1
188161,243924,Evoker,Devastation,Scalecommander,DPS,EU,Murder Row,10,1,1429.8,203300,1,299.0,2026-08-21,0,-1,1447.0,29.1
188161,244203,Monk,Windwalker,Shado-Pan,DPS,EU,Murder Row,10,1,1429.8,169315,1,294.0,2026-08-21,0,-1,1447.0,29.1
