subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,Rogue,Assassination,DPS,2026-08-23,1682,1680,978,211609,219293,276234,0.59,63.3,302.5,277,33.9,23.8,42.2,3157.0
all,Rogue,Assassination,DPS,2026-08-24,77,77,63,211843,219033,276618,0.36,70.1,302.9,67,41.8,20.9,37.3,2865.0
all,Rogue,Outlaw,DPS,2026-08-18,233,231,108,169167,172182,217152,1.24,47.2,292.4,0,,,,3030.0
all,Rogue,Outlaw,DPS,2026-08-19,979,975,480,184434,184428,240784,0.71,58.3,294.0,0,,,,3117.0
all,Rogue,Outlaw,DPS,2026-08-20,501,501,278,202119,205851,254677,0.51,65.5,297.7,0,,,,3193.0
all,Rogue,Outlaw,DPS,2026-08-21,776,776,384,206151,209290,263150,0.51,66.0,300.6,0,,,,3253.0
all,Rogue,Outlaw,DPS,2026-08-22,1170,1164,595,198168,205312,268439,0.5,66.8,300.5,1,0.0,0.0,100.0,3212.0
all,Rogue,Outlaw,DPS,2026-08-23,904,893,498,205293,212334,276020,0.5,67.3,301.9,170,45.9,15.3,38.8,3265.0
all,Rogue,Outlaw,DPS,2026-08-24,40,40,32,203174,222078,291269,0.25,75.0,301.4,32,46.9,25.0,28.1,3386.0
all,Rogue,Subtlety,DPS,2026-08-18,500,494,212,171873,171773,210902,0.94,56.0,293.7,0,,,,2896.0
all,Rogue,Subtlety,DPS,2026-08-19,2029,2002,993,180566,181868,228689,0.59,65.4,295.4,1,100.0,0.0,0.0,2927.0
all,Rogue,Subtlety,DPS,2026-08-20,1002,988,555,200520,204376,252861,0.34,75.3,299.7,2,100.0,0.0,0.0,2975.0
all,Rogue,Subtlety,DPS,2026-08-21,1622,1603,840,207333,209948,257823,0.41,71.2,302.9,2,100.0,0.0,0.0,2987.0
all,Rogue,Subtlety,DPS,2026-08-22,2291,2254,1199,207164,212439,266228,0.4,72.3,302.8,8,37.5,12.5,50.0,3066.0
all,Rogue,Subtlety,DPS,2026-08-23,1868,1846,1048,209623,215376,275099,0.38,72.3,303.9,382,30.6,16.0,53.4,2951.0
all,Rogue,Subtlety,DPS,2026-08-24,92,92,82,200000,210701,262396,0.35,71.7,303.0,84,42.9,11.9,45.2,2901.0
all,Shaman,Elemental,DPS,2026-08-18,829,816,398,165410,165426,203478,1.15,46.0,292.9,0,,,,2908.0
all,Shaman,Elemental,DPS,2026-08-19,3988,3934,2035,178674,180127,229380,0.77,55.9,294.3,3,100.0,0.0,0.0,2922.0
all,Shaman,Elemental,DPS,2026-08-20,2162,2139,1263,192572,196031,250012,0.49,67.3,298.2,2,100.0,0.0,0.0,3005.0
all,Shaman,Elemental,DPS,2026-08-21,4183,4137,2066,207122,210227,262586,0.55,63.5,302.3,15,66.7,33.3,0.0,3016.0
all,Shaman,Elemental,DPS,2026-08-22,6723,6619,3383,204518,211019,268558,0.56,63.8,302.6,16,68.8,18.8,12.5,3017.0
all,Shaman,Elemental,DPS,2026-08-23,5901,5781,3148,211060,217809,273695,0.53,64.6,304.3,897,36.5,27.3,36.2,3038.0
all,Shaman,Elemental,DPS,2026-08-24,215,214,182,200844,209136,273855,0.43,68.4,302.7,185,32.4,27.6,40.0,2993.0
all,Shaman,Enhancement,DPS,2026-08-18,286,286,136,164142,163912,203792,1.52,34.6,293.0,0,,,,2896.0
all,Shaman,Enhancement,DPS,2026-08-19,1289,1283,667,174387,176252,221880,0.86,51.3,295.2,1,0.0,100.0,0.0,2899.0
all,Shaman,Enhancement,DPS,2026-08-20,623,622,389,188170,190008,242648,0.54,62.0,299.0,3,100.0,0.0,0.0,2991.0
all,Shaman,Enhancement,DPS,2026-08-21,930,925,515,199363,202284,249457,0.58,60.6,301.9,0,,,,3004.0
all,Shaman,Enhancement,DPS,2026-08-22,1392,1381,802,189685,197494,253308,0.5,64.5,301.0,12,75.0,25.0,0.0,3029.0
all,Shaman,Enhancement,DPS,2026-08-23,1112,1111,710,189772,194785,256846,0.49,65.1,301.6,282,28.4,31.9,39.7,2996.0
all,Shaman,Enhancement,DPS,2026-08-24,59,59,56,182116,196581,249969,0.36,74.6,299.7,54,44.4,27.8,27.8,3034.0
all,Shaman,Restoration,Healer,2026-08-18,1345,1345,623,22498,21801,31482,0.96,51.4,292.6,0,,,,2886.0
all,Shaman,Restoration,Healer,2026-08-19,5795,5795,2994,23953,23642,32992,0.55,65.9,294.0,2,100.0,0.0,0.0,2964.0
all,Shaman,Restoration,Healer,2026-08-20,2862,2862,1696,26901,26744,38216,0.33,74.5,298.3,2,100.0,0.0,0.0,3070.0
all,Shaman,Restoration,Healer,2026-08-21,5017,5017,2696,28260,27947,39455,0.36,73.0,300.7,10,80.0,20.0,0.0,3117.0
all,Shaman,Restoration,Healer,2026-08-22,7304,7304,3999,27674,27646,39493,0.36,73.4,300.6,32,28.1,37.5,34.4,3105.0
all,Shaman,Restoration,Healer,2026-08-23,5609,5609,3476,28306,28313,40899,0.33,75.3,301.6,1057,42.9,35.6,21.6,3092.0
all,Shaman,Restoration,Healer,2026-08-24,270,270,219,28709,28672,41251,0.25,78.5,302.1,237,41.4,40.5,18.1,3068.0
all,Warlock,Affliction,DPS,2026-08-18,112,112,79,144741,146384,184057,1.13,47.3,292.8,0,,,,2822.0
all,Warlock,Affliction,DPS,2026-08-19,293,293,241,147602,143438,192945,0.6,62.8,293.9,0,,,,2812.0
all,Warlock,Affliction,DPS,2026-08-20,99,99,74,168598,169033,226463,0.32,73.7,298.1,0,,,,2846.0
all,Warlock,Affliction,DPS,2026-08-21,154,154,130,176169,174032,242654,0.31,77.3,300.2,0,,,,2904.0
all,Warlock,Affliction,DPS,2026-08-22,346,345,247,172806,164516,257735,0.31,76.3,299.8,0,,,,2751.0
all,Warlock,Affliction,DPS,2026-08-23,235,235,185,165006,158954,242638,0.22,82.6,299.7,63,31.7,28.6,39.7,2984.0
all,Warlock,Affliction,DPS,2026-08-24,15,15,15,162506,157758,246634,0.2,86.7,299.2,15,53.3,26.7,20.0,
all,Warlock,Demonology,DPS,2026-08-18,536,533,256,171368,173683,211206,1.44,39.0,293.7,0,,,,2774.0
all,Warlock,Demonology,DPS,2026-08-19,1833,1816,1050,177367,179817,226672,0.78,54.4,295.0,1,100.0,0.0,0.0,2814.0
all,Warlock,Demonology,DPS,2026-08-20,720,715,500,191530,196908,250583,0.4,71.0,298.5,2,100.0,0.0,0.0,2922.0
all,Warlock,Demonology,DPS,2026-08-21,1487,1473,878,206565,211658,260551,0.44,68.6,302.1,1,100.0,0.0,0.0,2958.0
all,Warlock,Demonology,DPS,2026-08-22,2562,2528,1565,199650,206684,267950,0.41,70.8,301.9,11,18.2,72.7,9.1,2886.0
all,Warlock,Demonology,DPS,2026-08-23,1998,1974,1363,199611,207282,266197,0.35,74.2,302.5,437,44.9,19.5,35.7,2880.0
all,Warlock,Demonology,DPS,2026-08-24,89,88,80,207326,213919,281331,0.28,80.9,303.0,82,35.4,18.3,46.3,2874.0
all,Warlock,Destruction,DPS,2026-08-18,281,279,159,154612,153781,189223,1.62,32.0,293.5,0,,,,2885.0
all,Warlock,Destruction,DPS,2026-08-19,929,926,597,158803,161038,207439,0.74,56.5,294.7,0,,,,2821.0
all,Warlock,Destruction,DPS,2026-08-20,326,324,247,165795,167115,225685,0.38,70.9,298.2,2,100.0,0.0,0.0,2817.0
all,Warlock,Destruction,DPS,2026-08-21,534,531,374,186656,193438,242499,0.4,70.2,301.5,0,,,,3007.0
all,Warlock,Destruction,DPS,2026-08-22,866,859,590,171737,176824,245314,0.43,69.6,300.0,7,28.6,57.1,14.3,2968.0
all,Warlock,Destruction,DPS,2026-08-23,583,577,442,168537,175358,246661,0.37,72.4,300.0,127,44.9,17.3,37.8,2873.0
all,Warlock,Destruction,DPS,2026-08-24,35,35,31,165370,180877,236679,0.4,74.3,302.2,29,27.6,37.9,34.5,
all,Warrior,Arms,DPS,2026-08-18,1625,1554,646,171623,171248,215300,1.53,32.4,293.1,2,100.0,0.0,0.0,2922.0
all,Warrior,Arms,DPS,2026-08-19,6697,6483,3233,176144,177355,224594,0.94,47.6,295.2,2,100.0,0.0,0.0,2937.0
all,Warrior,Arms,DPS,2026-08-20,3835,3713,2080,190863,194282,242768,0.65,56.6,299.8,8,87.5,12.5,0.0,3041.0
all,Warrior,Arms,DPS,2026-08-21,6866,6716,3361,200462,201846,250440,0.71,54.4,303.2,13,76.9,15.4,7.7,3041.0
all,Warrior,Arms,DPS,2026-08-22,10187,9965,4943,198926,203503,254707,0.7,55.1,303.7,29,41.4,31.0,27.6,3067.0
all,Warrior,Arms,DPS,2026-08-23,8069,7901,4332,202543,207395,259988,0.7,55.0,304.9,1417,37.7,26.2,36.1,3048.0
all,Warrior,Arms,DPS,2026-08-24,314,304,261,203046,206308,255606,0.68,52.2,305.4,276,32.6,28.3,39.1,3017.0
all,Warrior,Fury,DPS,2026-08-18,130,130,75,172318,176158,211222,1.24,41.5,294.0,0,,,,2854.0
all,Warrior,Fury,DPS,2026-08-19,583,583,360,171740,174243,223988,0.68,56.4,295.2,2,100.0,0.0,0.0,2987.0
all,Warrior,Fury,DPS,2026-08-20,281,279,184,190463,193689,252261,0.5,63.7,298.7,1,100.0,0.0,0.0,3254.0
all,Warrior,Fury,DPS,2026-08-21,478,477,287,199231,204240,253966,0.5,62.1,302.0,1,100.0,0.0,0.0,3159.0
all,Warrior,Fury,DPS,2026-08-22,787,783,541,182013,187899,254648,0.47,67.1,300.5,5,80.0,0.0,20.0,3137.0
all,Warrior,Fury,DPS,2026-08-23,606,604,408,191181,198380,260504,0.45,68.3,302.5,142,34.5,36.6,28.9,3226.0
all,Warrior,Fury,DPS,2026-08-24,34,34,30,220386,216288,295193,0.44,70.6,304.4,33,33.3,36.4,30.3,3424.0
all,Warrior,Protection,Tank,2026-08-18,488,488,193,106396,106760,133902,0.72,60.5,292.6,0,,,,2849.0
all,Warrior,Protection,Tank,2026-08-19,1723,1723,855,110620,110320,145457,0.33,78.6,294.1,2,100.0,0.0,0.0,2877.0
all,Warrior,Protection,Tank,2026-08-20,637,637,414,114353,114218,150901,0.15,89.5,297.0,0,,,,2952.0
all,Warrior,Protection,Tank,2026-08-21,1002,1002,613,117254,118204,154403,0.12,90.0,299.7,3,100.0,0.0,0.0,2977.0
all,Warrior,Protection,Tank,2026-08-22,1819,1819,1083,109881,110374,150897,0.12,89.8,298.8,6,100.0,0.0,0.0,2989.0
all,Warrior,Protection,Tank,2026-08-23,1410,1410,964,108779,110092,148072,0.1,91.0,299.2,252,64.3,15.9,19.8,2941.0
all,Warrior,Protection,Tank,2026-08-24,68,68,61,104855,104720,143732,0.09,92.6,297.6,59,62.7,18.6,18.6,2914.0
timed,DeathKnight,Blood,Tank,2026-08-18,1538,1538,694,101806,101608,128346,0.27,79.3,293.0,0,,,,2901.0
timed,DeathKnight,Blood,Tank,2026-08-19,7313,7313,3435,105646,105041,139176,0.14,88.3,295.6,5,100.0,0.0,0.0,2923.0
timed,DeathKnight,Blood,Tank,2026-08-20,4058,4058,2167,114919,115348,151392,0.06,94.6,300.3,5,100.0,0.0,0.0,3026.0
timed,DeathKnight,Blood,Tank,2026-08-21,7402,7402,3472,121354,121151,157084,0.08,93.0,304.2,12,41.7,58.3,0.0,3009.0
timed,DeathKnight,Blood,Tank,2026-08-22,11108,11104,5316,120716,121350,158971,0.07,94.0,304.6,27,48.1,44.4,7.4,3043.0
timed,DeathKnight,Blood,Tank,2026-08-23,8958,8958,4713,124562,125498,164676,0.06,94.4,306.1,1434,40.8,36.0,23.2,3061.0
timed,DeathKnight,Blood,Tank,2026-08-24,362,362,299,118933,121400,154871,0.04,96.1,304.8,307,42.3,36.8,20.8,3013.0
timed,DeathKnight,Frost,DPS,2026-08-18,199,199,83,162348,161447,199605,0.75,49.2,293.4,0,,,,2911.0
timed,DeathKnight,Frost,DPS,2026-08-19,628,626,375,163300,163082,217445,0.4,69.1,294.7,0,,,,2888.0
timed,DeathKnight,Frost,DPS,2026-08-20,228,227,153,171216,178849,226901,0.29,76.3,297.9,1,100.0,0.0,0.0,3010.0
timed,DeathKnight,Frost,DPS,2026-08-21,360,359,230,183540,187926,230667,0.29,75.8,301.2,0,,,,3038.0
timed,DeathKnight,Frost,DPS,2026-08-22,615,609,407,172378,180863,233677,0.24,80.0,299.9,0,,,,3020.0
timed,DeathKnight,Frost,DPS,2026-08-23,476,476,310,176531,182862,242994,0.22,82.8,302.2,96,32.3,35.4,32.3,2958.0
timed,DeathKnight,Frost,DPS,2026-08-24,24,24,22,168018,179083,219119,0.17,83.3,302.8,21,38.1,42.9,19.0,
timed,DeathKnight,Unholy,DPS,2026-08-18,582,576,302,165249,165534,200653,0.59,60.0,292.9,0,,,,2825.0
timed,DeathKnight,Unholy,DPS,2026-08-19,2353,2310,1203,172536,174299,219188,0.4,68.0,294.5,0,,,,2921.0
timed,DeathKnight,Unholy,DPS,2026-08-20,1074,1061,684,189295,194234,244993,0.24,79.9,298.3,0,,,,2991.0
timed,DeathKnight,Unholy,DPS,2026-08-21,2064,2041,1093,202401,205672,256804,0.28,75.9,301.7,0,,,,3030.0
timed,DeathKnight,Unholy,DPS,2026-08-22,2816,2775,1530,198238,205784,259138,0.28,76.9,302.2,9,44.4,44.4,11.1,3048.0
timed,DeathKnight,Unholy,DPS,2026-08-23,2087,2057,1294,201296,207025,265147,0.25,78.8,303.2,418,34.9,25.1,40.0,3086.0
timed,DeathKnight,Unholy,DPS,2026-08-24,104,103,86,203235,214717,266929,0.2,81.7,303.2,97,29.9,26.8,43.3,3076.0
timed,DemonHunter,Devourer,DPS,2026-08-18,763,725,325,172908,173378,212951,1.13,37.9,293.9,0,,,,2901.0
timed,DemonHunter,Devourer,DPS,2026-08-19,3243,3202,1504,180488,181680,227575,0.72,52.0,296.2,1,0.0,100.0,0.0,2933.0
timed,DemonHunter,Devourer,DPS,2026-08-20,1536,1516,868,191513,195423,242130,0.57,59.4,300.1,1,100.0,0.0,0.0,3004.0
timed,DemonHunter,Devourer,DPS,2026-08-21,2738,2704,1355,200078,203136,247907,0.57,59.0,302.9,4,75.0,25.0,0.0,3028.0
timed,DemonHunter,Devourer,DPS,2026-08-22,3718,3667,1913,195909,202208,252112,0.54,59.8,302.9,14,92.9,7.1,0.0,3045.0
timed,DemonHunter,Devourer,DPS,2026-08-23,2683,2661,1518,197915,205633,255159,0.49,62.9,303.8,524,35.9,27.1,37.0,3023.0
timed,DemonHunter,Devourer,DPS,2026-08-24,119,119,99,198756,202470,253187,0.43,65.5,305.4,104,26.9,29.8,43.3,3067.0
timed,DemonHunter,Havoc,DPS,2026-08-18,178,176,96,164073,164973,203136,0.79,51.1,292.4,0,,,,2803.0
timed,DemonHunter,Havoc,DPS,2026-08-19,1017,1012,577,166160,168812,216790,0.55,60.9,294.2,1,100.0,0.0,0.0,2880.0
timed,DemonHunter,Havoc,DPS,2026-08-20,466,464,320,175362,177297,231916,0.38,70.2,297.5,1,100.0,0.0,0.0,2995.0
timed,DemonHunter,Havoc,DPS,2026-08-21,766,763,451,187898,191860,238179,0.43,67.0,301.2,4,50.0,50.0,0.0,2973.0
timed,DemonHunter,Havoc,DPS,2026-08-22,1245,1236,803,175298,181623,237558,0.36,72.3,299.9,5,60.0,40.0,0.0,2966.0
timed,DemonHunter,Havoc,DPS,2026-08-23,930,921,649,171901,176984,236043,0.35,71.4,300.3,187,55.1,26.2,18.7,3008.0
timed,DemonHunter,Havoc,DPS,2026-08-24,38,38,32,184630,193733,251110,0.37,71.1,301.8,35,20.0,40.0,40.0,2922.0
timed,DemonHunter,Vengeance,Tank,2026-08-18,369,369,150,98880,97008,124686,0.28,80.8,292.9,2,100.0,0.0,0.0,2836.0
timed,DemonHunter,Vengeance,Tank,2026-08-19,1265,1265,660,100590,100532,132323,0.13,89.8,295.1,4,100.0,0.0,0.0,2892.0
timed,DemonHunter,Vengeance,Tank,2026-08-20,496,496,342,108737,108612,146395,0.08,93.8,299.2,0,,,,2970.0
timed,DemonHunter,Vengeance,Tank,2026-08-21,916,916,520,111376,112262,143715,0.08,93.0,302.3,5,100.0,0.0,0.0,2995.0
timed,DemonHunter,Vengeance,Tank,2026-08-22,1570,1570,950,107446,108310,145888,0.08,93.4,301.5,4,50.0,0.0,50.0,3023.0
timed,DemonHunter,Vengeance,Tank,2026-08-23,1304,1304,852,103157,104659,143429,0.07,94.5,300.6,315,47.9,25.4,26.7,3071.0
timed,DemonHunter,Vengeance,Tank,2026-08-24,61,61,53,108606,107928,154117,0.03,96.7,301.0,56,46.4,28.6,25.0,2986.0
timed,Druid,Balance,DPS,2026-08-18,675,664,312,159364,159929,198619,0.92,44.7,293.3,0,,,,2858.0
timed,Druid,Balance,DPS,2026-08-19,2909,2893,1515,164204,166296,210238,0.62,58.4,294.9,4,100.0,0.0,0.0,2875.0
timed,Druid,Balance,DPS,2026-08-20,1313,1301,793,179271,183451,230859,0.43,68.6,299.3,2,50.0,50.0,0.0,2958.0
timed,Druid,Balance,DPS,2026-08-21,2238,2223,1198,190063,192237,240114,0.46,66.8,302.4,2,0.0,100.0,0.0,2955.0
timed,Druid,Balance,DPS,2026-08-22,3295,3274,1858,183611,189810,242937,0.44,67.9,301.8,16,56.2,12.5,31.2,2939.0
timed,Druid,Balance,DPS,2026-08-23,2417,2400,1527,187287,194767,244581,0.41,69.5,303.2,477,33.3,26.4,40.3,2954.0
timed,Druid,Balance,DPS,2026-08-24,131,130,105,188220,196934,248136,0.51,67.9,303.4,121,38.8,28.9,32.2,3008.0
timed,Druid,Feral,DPS,2026-08-18,130,130,62,170946,170253,219722,0.75,50.8,293.6,0,,,,3063.0
timed,Druid,Feral,DPS,2026-08-19,625,620,339,176247,177233,232047,0.63,56.0,295.1,2,100.0,0.0,0.0,3067.0
timed,Druid,Feral,DPS,2026-08-20,372,371,211,192067,197109,244046,0.5,65.3,298.9,1,100.0,0.0,0.0,3116.0
timed,Druid,Feral,DPS,2026-08-21,561,560,288,198424,200365,255072,0.51,64.5,300.9,2,100.0,0.0,0.0,3135.0
timed,Druid,Feral,DPS,2026-08-22,922,920,502,188610,194762,255678,0.54,62.9,300.8,5,60.0,40.0,0.0,3106.0
timed,Druid,Feral,DPS,2026-08-23,751,750,417,195717,203939,270930,0.51,63.2,301.7,174,53.4,28.2,18.4,3254.0
timed,Druid,Feral,DPS,2026-08-24,44,44,35,199405,208235,268003,0.52,56.8,302.3,41,48.8,29.3,22.0,3155.0
timed,Druid,Guardian,Tank,2026-08-18,466,466,198,88363,87740,110183,0.3,76.8,293.4,0,,,,2830.0
timed,Druid,Guardian,Tank,2026-08-19,1881,1881,992,89236,88018,118610,0.16,86.0,295.1,0,,,,2892.0
timed,Druid,Guardian,Tank,2026-08-20,866,866,542,95563,95160,129682,0.1,91.0,298.9,1,100.0,0.0,0.0,3063.0
timed,Druid,Guardian,Tank,2026-08-21,1576,1576,877,100538,101102,130622,0.09,91.2,301.0,2,100.0,0.0,0.0,2969.0
timed,Druid,Guardian,Tank,2026-08-22,2563,2563,1434,96675,97262,134406,0.08,92.5,301.1,16,68.8,6.2,25.0,3075.0
timed,Druid,Guardian,Tank,2026-08-23,2009,2009,1209,98595,99004,135804,0.09,91.5,302.1,400,52.2,25.5,22.2,3022.0
timed,Druid,Guardian,Tank,2026-08-24,111,111,93,95912,93464,143071,0.08,93.7,302.4,92,41.3,30.4,28.3,3172.0
timed,Druid,Restoration,Healer,2026-08-18,265,265,126,11153,8905,21320,1.11,35.1,292.7,0,,,,2814.0
timed,Druid,Restoration,Healer,2026-08-19,1006,1006,592,13882,10815,26200,0.58,60.2,293.9,0,,,,2814.0
timed,Druid,Restoration,Healer,2026-08-20,360,360,273,13895,11158,24042,0.4,67.8,295.6,0,,,,2889.0
timed,Druid,Restoration,Healer,2026-08-21,594,594,403,16599,11543,37423,0.39,69.5,299.1,1,100.0,0.0,0.0,2965.0
timed,Druid,Restoration,Healer,2026-08-22,1124,1124,743,16033,11956,31355,0.4,69.5,297.7,1,100.0,0.0,0.0,2970.0
timed,Druid,Restoration,Healer,2026-08-23,791,791,581,13809,10176,25539,0.36,72.3,298.0,167,61.1,22.8,16.2,2926.0
timed,Druid,Restoration,Healer,2026-08-24,37,37,35,11875,9674,22180,0.19,83.8,294.8,32,59.4,28.1,12.5,2850.0
timed,Evoker,Augmentation,DPS,2026-08-18,131,131,63,141454,144813,172218,0.58,63.4,292.6,0,,,,2809.0
timed,Evoker,Augmentation,DPS,2026-08-19,347,347,214,143397,143200,181806,0.33,75.2,294.5,0,,,,2769.0
timed,Evoker,Augmentation,DPS,2026-08-20,124,124,83,152830,162706,203604,0.27,75.8,298.0,0,,,,3105.0
timed,Evoker,Augmentation,DPS,2026-08-21,134,134,85,168109,170161,215211,0.19,85.1,300.7,0,,,,3080.0
timed,Evoker,Augmentation,DPS,2026-08-22,207,207,130,153485,162807,212028,0.2,84.1,299.1,0,,,,2998.0
timed,Evoker,Augmentation,DPS,2026-08-23,110,110,87,145684,150668,218786,0.19,86.4,298.1,24,66.7,16.7,16.7,3105.0
timed,Evoker,Augmentation,DPS,2026-08-24,3,3,2,142841,116275,192149,0.0,100.0,292.0,3,66.7,0.0,33.3,
timed,Evoker,Devastation,DPS,2026-08-18,435,428,164,175511,175229,212519,1.14,37.7,293.7,2,100.0,0.0,0.0,2779.0
timed,Evoker,Devastation,DPS,2026-08-19,1368,1332,571,185688,187687,232676,0.7,53.1,295.6,0,,,,2803.0
timed,Evoker,Devastation,DPS,2026-08-20,477,471,300,192176,193115,250587,0.39,70.6,299.1,0,,,,2814.0
timed,Evoker,Devastation,DPS,2026-08-21,777,770,428,201824,205011,254210,0.4,69.4,302.7,1,0.0,100.0,0.0,2921.0
timed,Evoker,Devastation,DPS,2026-08-22,1145,1124,663,196735,203901,255938,0.4,70.0,301.8,3,33.3,33.3,33.3,2849.0
timed,Evoker,Devastation,DPS,2026-08-23,879,861,545,199812,207587,257826,0.36,72.2,303.5,192,37.5,21.4,41.1,2841.0
timed,Evoker,Devastation,DPS,2026-08-24,33,31,26,201140,215100,255593,0.18,84.8,305.2,28,32.1,17.9,50.0,2693.0
timed,Evoker,Preservation,Healer,2026-08-18,342,342,157,31715,31972,43329,1.1,38.3,293.2,0,,,,2762.0
timed,Evoker,Preservation,Healer,2026-08-19,1224,1224,596,34771,34106,49244,0.72,53.7,295.2,3,100.0,0.0,0.0,2794.0
timed,Evoker,Preservation,Healer,2026-08-20,536,536,320,38740,37450,55591,0.5,62.7,298.0,3,100.0,0.0,0.0,2893.0
timed,Evoker,Preservation,Healer,2026-08-21,821,821,471,43288,41855,63499,0.52,63.3,301.8,2,100.0,0.0,0.0,2896.0
timed,Evoker,Preservation,Healer,2026-08-22,1493,1493,791,43130,41948,64841,0.51,64.4,301.9,10,20.0,40.0,40.0,2902.0
timed,Evoker,Preservation,Healer,2026-08-23,1022,1022,642,42363,41455,64855,0.46,66.4,302.5,191,32.5,33.5,34.0,2863.0
timed,Evoker,Preservation,Healer,2026-08-24,52,52,42,41064,42162,56081,0.54,61.5,304.2,47,29.8,29.8,40.4,3074.0
timed,Hunter,BeastMastery,DPS,2026-08-18,708,677,336,157225,158134,188460,0.93,45.2,293.5,0,,,,2826.0
timed,Hunter,BeastMastery,DPS,2026-08-19,2845,2778,1720,157158,157535,199864,0.6,59.7,295.0,0,,,,2824.0
timed,Hunter,BeastMastery,DPS,2026-08-20,1017,1002,744,166136,166554,217376,0.39,70.1,298.3,2,100.0,0.0,0.0,2964.0
timed,Hunter,BeastMastery,DPS,2026-08-21,1822,1799,1206,175845,177907,223977,0.43,67.1,301.4,5,100.0,0.0,0.0,2915.0
timed,Hunter,BeastMastery,DPS,2026-08-22,3283,3217,2199,165717,165642,222614,0.38,71.7,300.1,17,58.8,23.5,17.6,2917.0
timed,Hunter,BeastMastery,DPS,2026-08-23,2638,2569,1963,164475,166336,225173,0.36,72.7,300.1,531,47.8,27.9,24.3,3007.0
timed,Hunter,BeastMastery,DPS,2026-08-24,126,123,110,173319,174143,242348,0.23,84.1,301.0,114,38.6,29.8,31.6,3187.0
timed,Hunter,Marksmanship,DPS,2026-08-18,337,335,153,159717,158409,197337,1.05,38.9,293.6,0,,,,2856.0
timed,Hunter,Marksmanship,DPS,2026-08-19,1433,1417,683,169216,170952,213088,0.61,59.5,295.7,3,100.0,0.0,0.0,2847.0
timed,Hunter,Marksmanship,DPS,2026-08-20,729,718,439,186045,190035,236666,0.39,71.3,300.3,2,100.0,0.0,0.0,2888.0
timed,Hunter,Marksmanship,DPS,2026-08-21,1188,1168,634,197092,200692,243920,0.4,69.7,303.7,1,100.0,0.0,0.0,2833.0
timed,Hunter,Marksmanship,DPS,2026-08-22,1651,1617,920,189942,197110,244493,0.37,71.2,303.6,1,100.0,0.0,0.0,2884.0
timed,Hunter,Marksmanship,DPS,2026-08-23,1243,1219,789,191691,200780,244133,0.36,71.0,304.4,277,25.6,15.5,58.8,2850.0
timed,Hunter,Marksmanship,DPS,2026-08-24,54,53,48,178749,183735,241549,0.39,72.2,303.7,49,28.6,18.4,53.1,2896.0
timed,Hunter,Survival,DPS,2026-08-18,102,102,63,150712,147346,192047,0.79,52.9,293.3,0,,,,2948.0
timed,Hunter,Survival,DPS,2026-08-19,372,371,248,148645,150998,186889,0.55,60.5,294.3,3,100.0,0.0,0.0,2931.0
timed,Hunter,Survival,DPS,2026-08-20,148,145,110,154455,153862,216732,0.34,74.3,297.7,0,,,,2956.0
timed,Hunter,Survival,DPS,2026-08-21,209,208,144,172105,173714,217299,0.33,71.8,301.7,1,100.0,0.0,0.0,2989.0
timed,Hunter,Survival,DPS,2026-08-22,326,326,225,157662,160002,216260,0.34,72.4,300.0,2,100.0,0.0,0.0,3037.0
timed,Hunter,Survival,DPS,2026-08-23,246,246,177,161695,158704,225126,0.28,76.4,300.4,60,45.0,16.7,38.3,2836.0
timed,Hunter,Survival,DPS,2026-08-24,31,28,23,175396,194919,225442,0.45,71.0,303.7,31,25.8,29.0,45.2,3340.0
timed,Mage,Arcane,DPS,2026-08-18,1525,1449,684,169272,168574,205647,0.96,43.3,293.1,0,,,,2905.0
timed,Mage,Arcane,DPS,2026-08-19,6779,6538,3423,174711,176658,223172,0.59,59.4,295.1,8,75.0,25.0,0.0,2921.0
timed,Mage,Arcane,DPS,2026-08-20,3902,3756,2249,193533,197224,249618,0.44,67.4,299.8,2,100.0,0.0,0.0,3025.0
timed,Mage,Arcane,DPS,2026-08-21,8165,7863,3941,209545,212925,259707,0.45,65.6,303.7,16,62.5,31.2,6.2,3049.0
timed,Mage,Arcane,DPS,2026-08-22,12831,12223,6277,206281,212237,265212,0.45,66.4,303.9,45,46.7,11.1,42.2,3053.0
timed,Mage,Arcane,DPS,2026-08-23,10605,10111,5757,211935,218685,269756,0.42,67.6,305.2,1782,25.0,33.3,41.8,3038.0
timed,Mage,Arcane,DPS,2026-08-24,431,411,370,208982,217246,266015,0.39,70.8,305.2,393,25.2,32.6,42.2,2990.0
timed,Mage,Fire,DPS,2026-08-18,39,39,19,170334,176238,204758,0.69,64.1,292.5,0,,,,2807.0
timed,Mage,Fire,DPS,2026-08-19,202,202,104,177626,182520,230364,0.45,71.3,294.4,0,,,,2863.0
timed,Mage,Fire,DPS,2026-08-20,71,71,41,191525,198074,253809,0.17,85.9,297.0,0,,,,2913.0
timed,Mage,Fire,DPS,2026-08-21,88,88,63,185571,195628,251915,0.15,87.5,297.6,0,,,,2873.0
timed,Mage,Fire,DPS,2026-08-22,179,179,135,175846,183294,247554,0.23,82.7,297.7,1,100.0,0.0,0.0,2842.0
