subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DemonHunter,Vengeance,Tank,2026-08-22,1591,1591,951,107572,108352,145877,0.09,92.5,301.5,4,50.0,0.0,50.0,3028.0
all,DemonHunter,Vengeance,Tank,2026-08-23,1315,1315,855,103385,104863,144058,0.07,94.3,300.7,316,47.8,25.6,26.6,3076.0
all,DemonHunter,Vengeance,Tank,2026-08-24,62,62,53,108823,108756,153763,0.03,96.8,301.2,57,45.6,29.8,24.6,2986.0
all,Druid,Balance,DPS,2026-08-18,786,772,357,156016,155808,193971,1.33,38.8,293.2,0,,,,2858.0
all,Druid,Balance,DPS,2026-08-19,3113,3096,1588,162574,164078,209066,0.8,54.8,294.9,4,100.0,0.0,0.0,2875.0
all,Druid,Balance,DPS,2026-08-20,1339,1327,804,178869,182848,230650,0.48,67.4,299.3,2,50.0,50.0,0.0,2960.0
all,Druid,Balance,DPS,2026-08-21,2266,2251,1199,190103,192270,240120,0.48,66.1,302.5,2,0.0,100.0,0.0,2959.0
all,Druid,Balance,DPS,2026-08-22,3359,3338,1868,183780,189825,242908,0.48,66.7,301.9,16,56.2,12.5,31.2,2944.0
all,Druid,Balance,DPS,2026-08-23,2449,2432,1530,187455,194730,244590,0.43,68.8,303.3,483,33.1,26.3,40.6,2954.0
all,Druid,Balance,DPS,2026-08-24,131,130,105,188220,196934,248136,0.51,67.9,303.4,121,38.8,28.9,32.2,3008.0
all,Druid,Feral,DPS,2026-08-18,153,153,73,167149,165430,216452,1.19,43.1,293.5,0,,,,3089.0
all,Druid,Feral,DPS,2026-08-19,663,658,351,174951,175598,230184,0.74,53.4,295.1,2,100.0,0.0,0.0,3072.0
all,Druid,Feral,DPS,2026-08-20,379,378,214,191743,196378,243707,0.53,64.6,298.8,1,100.0,0.0,0.0,3116.0
all,Druid,Feral,DPS,2026-08-21,573,572,288,198405,200387,254996,0.54,63.7,301.0,2,100.0,0.0,0.0,3131.0
all,Druid,Feral,DPS,2026-08-22,947,944,505,189066,195847,255849,0.59,61.4,300.9,5,60.0,40.0,0.0,3104.0
all,Druid,Feral,DPS,2026-08-23,763,762,418,196385,204262,271613,0.53,62.5,301.8,176,52.8,28.4,18.8,3254.0
all,Druid,Feral,DPS,2026-08-24,44,44,35,199405,208235,268003,0.52,56.8,302.3,41,48.8,29.3,22.0,3155.0
all,Druid,Guardian,Tank,2026-08-18,537,537,233,86719,86404,107947,0.53,68.3,293.3,0,,,,2837.0
all,Druid,Guardian,Tank,2026-08-19,2009,2009,1037,88462,87016,117759,0.25,81.5,295.1,0,,,,2894.0
all,Druid,Guardian,Tank,2026-08-20,886,886,550,95497,95225,129636,0.12,90.0,298.9,1,100.0,0.0,0.0,3066.0
all,Druid,Guardian,Tank,2026-08-21,1597,1597,879,100572,101152,130555,0.11,90.3,301.1,2,100.0,0.0,0.0,2968.0
all,Druid,Guardian,Tank,2026-08-22,2613,2613,1440,96783,97318,134406,0.09,91.6,301.1,16,68.8,6.2,25.0,3088.0
all,Druid,Guardian,Tank,2026-08-23,2038,2038,1213,98800,99188,135827,0.1,90.9,302.2,404,52.2,25.2,22.5,3025.0
all,Druid,Guardian,Tank,2026-08-24,112,112,94,96045,93783,142382,0.09,92.9,302.5,92,41.3,30.4,28.3,3172.0
all,Druid,Restoration,Healer,2026-08-18,312,312,145,10509,8265,20542,1.44,31.1,292.7,0,,,,2811.0
all,Druid,Restoration,Healer,2026-08-19,1058,1058,617,13572,10563,25773,0.71,57.4,294.0,0,,,,2814.0
all,Druid,Restoration,Healer,2026-08-20,366,366,276,13825,11074,23540,0.44,66.7,295.5,0,,,,2897.0
all,Druid,Restoration,Healer,2026-08-21,601,601,403,16520,11490,37200,0.42,68.7,299.2,1,100.0,0.0,0.0,2965.0
all,Druid,Restoration,Healer,2026-08-22,1136,1136,744,16023,12006,31030,0.41,69.0,297.7,1,100.0,0.0,0.0,2970.0
all,Druid,Restoration,Healer,2026-08-23,796,796,583,13810,10220,25452,0.36,72.0,298.1,167,61.1,22.8,16.2,2926.0
all,Druid,Restoration,Healer,2026-08-24,37,37,35,11875,9674,22180,0.19,83.8,294.8,32,59.4,28.1,12.5,2850.0
all,Evoker,Augmentation,DPS,2026-08-18,155,155,77,137930,135983,170549,1.04,54.2,292.7,0,,,,2809.0
all,Evoker,Augmentation,DPS,2026-08-19,373,373,231,141417,141724,180565,0.5,70.2,294.4,0,,,,2778.0
all,Evoker,Augmentation,DPS,2026-08-20,127,127,84,152675,160452,202942,0.32,74.0,297.9,0,,,,3105.0
all,Evoker,Augmentation,DPS,2026-08-21,139,139,86,167951,170029,214326,0.23,82.7,300.8,0,,,,3104.0
all,Evoker,Augmentation,DPS,2026-08-22,210,210,131,153739,162972,211674,0.26,82.9,299.2,0,,,,2998.0
all,Evoker,Augmentation,DPS,2026-08-23,115,115,89,146534,151718,219057,0.23,84.3,298.3,24,66.7,16.7,16.7,3105.0
all,Evoker,Augmentation,DPS,2026-08-24,3,3,2,142841,116275,192149,0.0,100.0,292.0,3,66.7,0.0,33.3,
all,Evoker,Devastation,DPS,2026-08-18,499,492,196,171242,171581,210388,1.5,33.1,293.6,2,100.0,0.0,0.0,2780.0
all,Evoker,Devastation,DPS,2026-08-19,1446,1410,600,183627,185256,232105,0.85,50.5,295.6,0,,,,2806.0
all,Evoker,Devastation,DPS,2026-08-20,491,484,307,191672,192433,249984,0.45,68.8,299.1,0,,,,2817.0
all,Evoker,Devastation,DPS,2026-08-21,782,775,429,201799,204990,254161,0.41,68.9,302.8,1,0.0,100.0,0.0,2921.0
all,Evoker,Devastation,DPS,2026-08-22,1163,1142,665,196633,203689,255543,0.43,69.0,301.9,3,33.3,33.3,33.3,2851.0
all,Evoker,Devastation,DPS,2026-08-23,886,868,548,199801,207720,257746,0.37,71.9,303.5,193,37.3,21.2,41.5,2841.0
all,Evoker,Devastation,DPS,2026-08-24,33,31,26,201140,215100,255593,0.18,84.8,305.2,28,32.1,17.9,50.0,2693.0
all,Evoker,Preservation,Healer,2026-08-18,412,412,183,30462,30593,42341,1.69,32.3,293.1,0,,,,2759.0
all,Evoker,Preservation,Healer,2026-08-19,1312,1312,622,34399,33592,48942,0.92,50.2,295.1,3,100.0,0.0,0.0,2798.0
all,Evoker,Preservation,Healer,2026-08-20,542,542,323,38727,37358,55656,0.53,62.0,298.0,3,100.0,0.0,0.0,2897.0
all,Evoker,Preservation,Healer,2026-08-21,832,832,472,43348,41872,63489,0.54,62.7,301.8,2,100.0,0.0,0.0,2905.0
all,Evoker,Preservation,Healer,2026-08-22,1517,1517,794,43240,42024,64846,0.54,63.5,302.0,10,20.0,40.0,40.0,2904.0
all,Evoker,Preservation,Healer,2026-08-23,1045,1045,647,42475,41690,64835,0.51,65.0,302.6,196,32.1,33.7,34.2,2865.0
all,Evoker,Preservation,Healer,2026-08-24,53,53,42,41286,42293,56016,0.58,60.4,304.3,48,31.2,29.2,39.6,3074.0
all,Hunter,BeastMastery,DPS,2026-08-18,816,778,382,153937,153976,186642,1.33,39.5,293.5,0,,,,2826.0
all,Hunter,BeastMastery,DPS,2026-08-19,3019,2948,1797,156057,155816,198686,0.77,56.5,295.0,0,,,,2825.0
all,Hunter,BeastMastery,DPS,2026-08-20,1040,1024,760,165803,166196,217068,0.44,68.7,298.3,2,100.0,0.0,0.0,2964.0
all,Hunter,BeastMastery,DPS,2026-08-21,1840,1817,1209,175737,177680,224010,0.45,66.6,301.5,5,100.0,0.0,0.0,2921.0
all,Hunter,BeastMastery,DPS,2026-08-22,3320,3254,2209,165957,166276,222627,0.4,71.0,300.2,17,58.8,23.5,17.6,2919.0
all,Hunter,BeastMastery,DPS,2026-08-23,2657,2588,1966,164776,166879,225472,0.37,72.2,300.2,532,47.7,27.8,24.4,3007.0
all,Hunter,BeastMastery,DPS,2026-08-24,126,123,110,173319,174143,242348,0.23,84.1,301.0,114,38.6,29.8,31.6,3187.0
all,Hunter,Marksmanship,DPS,2026-08-18,377,375,172,157694,156512,194571,1.33,35.3,293.6,0,,,,2861.0
all,Hunter,Marksmanship,DPS,2026-08-19,1499,1483,709,167713,169259,211693,0.74,57.2,295.7,3,100.0,0.0,0.0,2847.0
all,Hunter,Marksmanship,DPS,2026-08-20,739,728,444,185437,189230,236209,0.42,70.5,300.3,2,100.0,0.0,0.0,2891.0
all,Hunter,Marksmanship,DPS,2026-08-21,1198,1178,635,196923,200638,243766,0.41,69.4,303.7,1,100.0,0.0,0.0,2836.0
all,Hunter,Marksmanship,DPS,2026-08-22,1672,1638,921,189952,196920,243756,0.4,70.5,303.6,1,100.0,0.0,0.0,2889.0
all,Hunter,Marksmanship,DPS,2026-08-23,1261,1237,791,191911,200790,244314,0.38,70.3,304.5,281,25.6,15.3,59.1,2859.0
all,Hunter,Marksmanship,DPS,2026-08-24,55,54,48,179839,183795,241459,0.42,70.9,303.9,50,28.0,18.0,54.0,2896.0
all,Hunter,Survival,DPS,2026-08-18,118,118,71,147569,145269,188863,1.31,45.8,293.1,0,,,,2958.0
all,Hunter,Survival,DPS,2026-08-19,407,406,270,146581,148019,184047,0.76,55.5,294.4,3,100.0,0.0,0.0,2935.0
all,Hunter,Survival,DPS,2026-08-20,151,148,112,153988,151169,216467,0.43,72.8,297.7,0,,,,2956.0
all,Hunter,Survival,DPS,2026-08-21,211,210,144,172207,175575,217061,0.33,71.6,301.7,1,100.0,0.0,0.0,2989.0
all,Hunter,Survival,DPS,2026-08-22,331,331,227,157707,160982,216001,0.38,71.3,300.0,2,100.0,0.0,0.0,3037.0
all,Hunter,Survival,DPS,2026-08-23,249,249,177,162169,159481,224529,0.3,75.5,300.6,61,44.3,16.4,39.3,2836.0
all,Hunter,Survival,DPS,2026-08-24,33,29,23,175981,194681,225188,0.55,66.7,304.2,33,24.2,30.3,45.5,3340.0
