subset,class,spec,role,dungeon,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
timed,Mage,Fire,DPS,Temple of Sethraliss,67,67,58,179711,185748,240713,0.33,77.6,297.0,0,,,,2818.0
timed,Mage,Fire,DPS,The Blinding Vale,73,73,62,187008,201263,240551,0.44,76.7,295.2,2,0.0,50.0,50.0,2822.0
timed,Mage,Fire,DPS,Voidscar Arena,96,96,88,175184,188929,237626,0.41,72.9,295.7,4,100.0,0.0,0.0,2882.0
timed,Mage,Frost,DPS,Altar of Fangs,138,135,131,146587,141600,206477,0.39,71.7,294.6,10,80.0,20.0,0.0,2731.0
timed,Mage,Frost,DPS,Den of Nalorakk,127,126,125,123641,121109,169252,0.44,70.1,294.3,3,66.7,33.3,0.0,2828.0
timed,Mage,Frost,DPS,Kings' Rest,208,208,199,113625,113848,153520,0.56,60.6,294.4,7,85.7,0.0,14.3,2752.0
timed,Mage,Frost,DPS,Murder Row,201,200,191,135901,128775,190392,0.31,76.6,295.9,13,84.6,7.7,7.7,2735.0
timed,Mage,Frost,DPS,Ruby Life Pools,257,256,239,145144,140933,200579,0.25,80.2,293.9,12,58.3,41.7,0.0,2961.0
timed,Mage,Frost,DPS,Temple of Sethraliss,166,166,153,140073,139756,193094,0.65,58.4,295.1,10,70.0,10.0,20.0,2784.0
timed,Mage,Frost,DPS,The Blinding Vale,165,163,156,153352,148153,204950,0.51,66.7,294.6,6,66.7,33.3,0.0,2774.0
timed,Mage,Frost,DPS,Voidscar Arena,225,224,212,133276,129544,189682,0.57,60.4,295.1,15,73.3,26.7,0.0,2884.0
timed,Monk,Brewmaster,Tank,Altar of Fangs,448,448,338,106703,110265,137361,0.24,80.1,298.7,19,47.4,26.3,26.3,3065.0
timed,Monk,Brewmaster,Tank,Den of Nalorakk,559,559,423,88927,89211,115521,0.11,90.0,299.3,29,51.7,24.1,24.1,3068.0
timed,Monk,Brewmaster,Tank,Kings' Rest,645,645,468,78644,80786,100112,0.19,83.7,298.8,24,62.5,29.2,8.3,3036.0
timed,Monk,Brewmaster,Tank,Murder Row,795,795,557,94540,96089,123846,0.16,85.5,299.1,43,39.5,32.6,27.9,3020.0
timed,Monk,Brewmaster,Tank,Ruby Life Pools,505,505,408,99776,100211,131012,0.25,81.2,298.0,26,65.4,15.4,19.2,3082.0
timed,Monk,Brewmaster,Tank,Temple of Sethraliss,566,566,430,96481,98040,125571,0.15,87.6,299.0,19,42.1,21.1,36.8,2994.0
timed,Monk,Brewmaster,Tank,The Blinding Vale,529,529,398,104244,106711,134903,0.11,91.5,298.6,23,43.5,30.4,26.1,3053.0
timed,Monk,Brewmaster,Tank,Voidscar Arena,685,685,501,94018,95393,120985,0.26,79.1,299.4,41,58.5,17.1,24.4,3058.0
timed,Monk,Mistweaver,Healer,Altar of Fangs,1118,1118,855,48777,49720,62017,0.34,73.4,298.6,61,57.4,27.9,14.8,2901.0
timed,Monk,Mistweaver,Healer,Den of Nalorakk,1000,1000,791,39999,40478,52293,0.34,73.5,298.2,43,62.8,23.3,14.0,2905.0
timed,Monk,Mistweaver,Healer,Kings' Rest,1039,1039,825,34968,35936,45588,0.37,71.9,298.0,51,60.8,23.5,15.7,2916.0
timed,Monk,Mistweaver,Healer,Murder Row,1215,1215,948,41669,42516,53779,0.31,75.1,298.6,61,55.7,31.1,13.1,2913.0
timed,Monk,Mistweaver,Healer,Ruby Life Pools,946,946,800,44374,45316,59068,0.37,71.7,296.6,52,65.4,25.0,9.6,2911.0
timed,Monk,Mistweaver,Healer,Temple of Sethraliss,739,739,589,42095,42688,55215,0.47,67.1,298.0,32,68.8,21.9,9.4,2888.0
timed,Monk,Mistweaver,Healer,The Blinding Vale,858,858,703,45654,46710,58384,0.4,70.3,297.3,46,56.5,23.9,19.6,2899.0
timed,Monk,Mistweaver,Healer,Voidscar Arena,1105,1105,874,41836,42589,54077,0.33,72.7,297.8,80,58.8,23.8,17.5,2924.0
timed,Monk,Windwalker,DPS,Altar of Fangs,906,901,701,209285,213472,274032,0.51,62.4,301.2,67,28.4,23.9,47.8,2895.0
timed,Monk,Windwalker,DPS,Den of Nalorakk,882,877,693,165495,167080,215114,0.45,65.8,300.9,38,23.7,28.9,47.4,2877.0
timed,Monk,Windwalker,DPS,Kings' Rest,863,859,682,137159,139182,178739,0.46,67.6,300.1,45,48.9,20.0,31.1,2919.0
timed,Monk,Windwalker,DPS,Murder Row,994,990,731,182598,184216,243508,0.47,66.4,301.7,76,31.6,28.9,39.5,2918.0
timed,Monk,Windwalker,DPS,Ruby Life Pools,785,780,668,182332,185054,245925,0.58,60.8,298.7,51,43.1,23.5,33.3,2940.0
timed,Monk,Windwalker,DPS,Temple of Sethraliss,871,865,668,187293,191568,245590,0.58,59.1,300.7,44,36.4,27.3,36.4,2918.0
timed,Monk,Windwalker,DPS,The Blinding Vale,855,854,660,193648,197110,255033,0.51,63.2,300.7,37,40.5,27.0,32.4,2913.0
timed,Monk,Windwalker,DPS,Voidscar Arena,905,900,730,175652,180217,229875,0.54,64.1,300.4,64,40.6,23.4,35.9,2926.0
timed,Paladin,Holy,Healer,Altar of Fangs,3424,3423,2547,29804,25074,55146,0.4,69.1,300.7,152,40.1,36.8,23.0,2963.0
timed,Paladin,Holy,Healer,Den of Nalorakk,2946,2946,2247,25992,22478,47122,0.41,67.9,300.0,128,32.8,49.2,18.0,2955.0
timed,Paladin,Holy,Healer,Kings' Rest,3302,3300,2434,24897,21859,45161,0.35,71.9,300.2,160,33.1,48.8,18.1,2974.0
timed,Paladin,Holy,Healer,Murder Row,3991,3991,2912,25779,21350,49063,0.35,72.9,300.3,239,40.2,40.2,19.7,2971.0
timed,Paladin,Holy,Healer,Ruby Life Pools,3132,3131,2481,25661,22104,46205,0.48,65.6,298.9,152,39.5,40.8,19.7,2968.0
timed,Paladin,Holy,Healer,Temple of Sethraliss,3773,3772,2815,23196,19804,42955,0.59,58.7,300.2,161,39.8,44.7,15.5,2943.0
timed,Paladin,Holy,Healer,The Blinding Vale,3249,3249,2517,25413,21679,46844,0.43,67.2,299.8,134,41.0,36.6,22.4,2951.0
timed,Paladin,Holy,Healer,Voidscar Arena,3240,3239,2518,23741,20341,42771,0.41,68.8,299.3,172,47.7,34.9,17.4,2948.0
timed,Paladin,Protection,Tank,Altar of Fangs,2358,2358,1728,113587,115300,144496,0.1,91.1,299.8,117,53.8,30.8,15.4,2953.0
timed,Paladin,Protection,Tank,Den of Nalorakk,1938,1938,1512,88436,90162,111483,0.09,91.7,299.1,66,45.5,42.4,12.1,2979.0
timed,Paladin,Protection,Tank,Kings' Rest,1818,1818,1457,74044,76088,93468,0.14,87.8,298.7,93,46.2,31.2,22.6,2966.0
timed,Paladin,Protection,Tank,Murder Row,2533,2533,1883,95437,97468,122943,0.12,89.4,299.0,142,58.5,28.2,13.4,2954.0
timed,Paladin,Protection,Tank,Ruby Life Pools,2047,2047,1673,101516,103053,131813,0.19,83.6,297.5,106,56.6,32.1,11.3,2979.0
timed,Paladin,Protection,Tank,Temple of Sethraliss,2094,2094,1557,99915,101918,126075,0.11,89.6,299.3,87,48.3,31.0,20.7,2938.0
timed,Paladin,Protection,Tank,The Blinding Vale,1996,1996,1583,105017,107056,132869,0.08,93.2,298.6,75,56.0,24.0,20.0,2961.0
timed,Paladin,Protection,Tank,Voidscar Arena,2296,2296,1786,94017,95761,121176,0.16,86.4,298.5,120,57.5,30.8,11.7,2957.0
timed,Paladin,Retribution,DPS,Altar of Fangs,2032,1993,1596,218362,226489,279667,0.43,66.7,300.9,111,41.4,26.1,32.4,2966.0
timed,Paladin,Retribution,DPS,Den of Nalorakk,1762,1727,1436,167986,173189,217110,0.42,67.7,300.0,84,35.7,34.5,29.8,2980.0
timed,Paladin,Retribution,DPS,Kings' Rest,1922,1889,1568,140221,144403,179588,0.38,71.1,300.0,99,46.5,28.3,25.3,2976.0
timed,Paladin,Retribution,DPS,Murder Row,2034,2000,1614,181891,189632,234969,0.43,67.9,300.4,125,36.8,32.8,30.4,2962.0
timed,Paladin,Retribution,DPS,Ruby Life Pools,2157,2097,1831,189230,194945,250076,0.41,69.6,298.7,134,52.2,26.9,20.9,2984.0
timed,Paladin,Retribution,DPS,Temple of Sethraliss,1743,1706,1411,185048,192615,236142,0.62,58.9,300.0,91,39.6,30.8,29.7,2971.0
timed,Paladin,Retribution,DPS,The Blinding Vale,2002,1958,1627,198267,204558,252957,0.5,64.2,300.2,111,30.6,34.2,35.1,2977.0
timed,Paladin,Retribution,DPS,Voidscar Arena,1982,1934,1627,178378,184344,233806,0.47,66.5,299.7,125,38.4,25.6,36.0,2979.0
timed,Priest,Discipline,Healer,Altar of Fangs,655,655,534,20425,18091,34380,0.41,71.1,297.5,29,69.0,20.7,10.3,2821.0
timed,Priest,Discipline,Healer,Den of Nalorakk,548,548,450,17574,16077,25367,0.49,65.9,297.0,16,56.2,31.2,12.5,2874.0
timed,Priest,Discipline,Healer,Kings' Rest,643,643,548,17696,16310,27395,0.47,65.3,297.0,21,61.9,28.6,9.5,2865.0
timed,Priest,Discipline,Healer,Murder Row,890,890,698,19142,17415,30268,0.28,78.0,297.9,41,61.0,14.6,24.4,2830.0
timed,Priest,Discipline,Healer,Ruby Life Pools,613,613,544,18934,17434,27312,0.52,65.4,295.5,29,58.6,31.0,10.3,2876.0
timed,Priest,Discipline,Healer,Temple of Sethraliss,493,493,419,17470,15416,28645,0.6,60.6,297.5,17,35.3,47.1,17.6,2855.0
timed,Priest,Discipline,Healer,The Blinding Vale,596,596,518,20497,18722,31068,0.42,68.1,296.9,27,70.4,22.2,7.4,2863.0
timed,Priest,Discipline,Healer,Voidscar Arena,810,810,673,20152,18248,33032,0.42,69.0,297.6,43,51.2,34.9,14.0,2831.0
timed,Priest,Holy,Healer,Altar of Fangs,979,979,770,27845,27631,43479,0.1,91.6,299.7,57,57.9,24.6,17.5,2870.0
timed,Priest,Holy,Healer,Den of Nalorakk,713,713,603,23068,22730,36180,0.15,87.5,299.8,31,45.2,35.5,19.4,2930.0
timed,Priest,Holy,Healer,Kings' Rest,886,886,739,20896,20870,32566,0.12,89.2,298.5,32,62.5,15.6,21.9,2899.0
timed,Priest,Holy,Healer,Murder Row,1249,1249,967,23872,22938,38267,0.11,91.4,300.4,78,56.4,28.2,15.4,2884.0
timed,Priest,Holy,Healer,Ruby Life Pools,853,853,744,22549,22180,36594,0.1,91.2,297.8,46,60.9,23.9,15.2,2988.0
timed,Priest,Holy,Healer,Temple of Sethraliss,1093,1093,835,23620,23129,37520,0.21,83.6,300.4,73,56.2,27.4,16.4,2907.0
timed,Priest,Holy,Healer,The Blinding Vale,863,863,718,25538,25527,40315,0.15,88.1,299.4,53,43.4,39.6,17.0,2892.0
timed,Priest,Holy,Healer,Voidscar Arena,1121,1121,932,23997,23633,37288,0.12,88.9,298.8,76,53.9,32.9,13.2,2875.0
timed,Priest,Shadow,DPS,Altar of Fangs,1015,1009,777,211567,220018,264047,0.39,70.7,300.0,59,30.5,20.3,49.2,2866.0
timed,Priest,Shadow,DPS,Den of Nalorakk,727,724,613,158966,166464,200987,0.54,61.1,298.9,26,50.0,7.7,42.3,2892.0
timed,Priest,Shadow,DPS,Kings' Rest,950,945,765,137407,143212,170246,0.4,70.6,298.8,47,38.3,23.4,38.3,2884.0
timed,Priest,Shadow,DPS,Murder Row,1365,1348,976,191146,197822,238524,0.32,75.2,300.5,88,36.4,30.7,33.0,2862.0
timed,Priest,Shadow,DPS,Ruby Life Pools,944,939,802,179223,183917,230066,0.4,70.2,297.6,41,61.0,14.6,24.4,2908.0
timed,Priest,Shadow,DPS,Temple of Sethraliss,854,843,687,177315,182912,226928,0.61,60.2,299.3,46,39.1,17.4,43.5,2898.0
timed,Priest,Shadow,DPS,The Blinding Vale,852,844,709,189978,195601,241681,0.46,68.1,298.3,28,35.7,14.3,50.0,2888.0
timed,Priest,Shadow,DPS,Voidscar Arena,1056,1044,825,180816,186634,230364,0.55,63.4,299.2,62,38.7,12.9,48.4,2881.0
timed,Rogue,Assassination,DPS,Altar of Fangs,1120,1114,797,246865,254136,300932,0.38,71.2,301.3,67,31.3,22.4,46.3,3069.0
timed,Rogue,Assassination,DPS,Den of Nalorakk,817,816,623,188219,194732,233236,0.38,71.8,300.4,36,33.3,25.0,41.7,3139.0
timed,Rogue,Assassination,DPS,Kings' Rest,738,738,563,152809,158200,186298,0.56,61.9,300.0,30,50.0,13.3,36.7,3101.0
timed,Rogue,Assassination,DPS,Murder Row,994,990,703,207172,216448,260566,0.51,64.7,301.0,56,28.6,23.2,48.2,3113.0
timed,Rogue,Assassination,DPS,Ruby Life Pools,831,826,650,215700,219989,274818,0.48,68.1,299.2,46,37.0,30.4,32.6,3122.0
timed,Rogue,Assassination,DPS,Temple of Sethraliss,718,716,532,210199,216185,259170,0.75,53.5,300.9,37,45.9,21.6,32.4,3120.0
timed,Rogue,Assassination,DPS,The Blinding Vale,905,901,662,225551,233402,279478,0.63,58.2,300.3,37,37.8,21.6,40.5,3047.0
timed,Rogue,Assassination,DPS,Voidscar Arena,827,827,654,204059,210938,258532,0.64,58.6,299.9,48,39.6,25.0,35.4,3065.0
timed,Rogue,Outlaw,DPS,Altar of Fangs,727,720,476,236586,244684,292318,0.32,75.9,299.8,36,47.2,27.8,25.0,3187.0
timed,Rogue,Outlaw,DPS,Den of Nalorakk,549,549,413,181168,185557,230869,0.4,70.9,298.6,23,26.1,13.0,60.9,3177.0
timed,Rogue,Outlaw,DPS,Kings' Rest,544,540,391,145316,149638,186110,0.61,60.5,298.3,23,56.5,13.0,30.4,3158.0
timed,Rogue,Outlaw,DPS,Murder Row,511,509,375,189263,196953,239660,0.54,63.4,298.8,21,57.1,14.3,28.6,3179.0
timed,Rogue,Outlaw,DPS,Ruby Life Pools,600,598,439,212402,219888,275604,0.4,71.2,297.9,34,47.1,14.7,38.2,3194.0
timed,Rogue,Outlaw,DPS,Temple of Sethraliss,458,457,353,203668,211288,257786,0.67,57.4,298.4,18,44.4,5.6,50.0,3163.0
timed,Rogue,Outlaw,DPS,The Blinding Vale,546,544,409,216705,220255,271554,0.6,60.4,298.8,25,48.0,24.0,28.0,3128.0
timed,Rogue,Outlaw,DPS,Voidscar Arena,505,502,378,194990,200708,248358,0.59,61.6,298.6,19,47.4,15.8,36.8,3118.0
timed,Rogue,Subtlety,DPS,Altar of Fangs,1208,1192,881,236997,241700,293804,0.32,76.5,301.0,58,37.9,17.2,44.8,2940.0
timed,Rogue,Subtlety,DPS,Den of Nalorakk,1026,1011,775,183804,187276,227043,0.33,75.4,300.4,53,32.1,11.3,56.6,2975.0
timed,Rogue,Subtlety,DPS,Kings' Rest,1029,1017,786,148783,152082,181559,0.38,72.0,300.6,62,41.9,12.9,45.2,2959.0
timed,Rogue,Subtlety,DPS,Murder Row,1455,1439,989,200386,205586,249150,0.4,71.6,301.2,88,28.4,11.4,60.2,2919.0
timed,Rogue,Subtlety,DPS,Ruby Life Pools,969,959,767,204106,207305,257402,0.34,75.2,299.4,48,37.5,14.6,47.9,2934.0
timed,Rogue,Subtlety,DPS,Temple of Sethraliss,1089,1066,806,206534,210508,254899,0.49,67.4,300.6,55,30.9,25.5,43.6,2968.0
timed,Rogue,Subtlety,DPS,The Blinding Vale,1223,1203,873,221894,224365,271708,0.41,69.5,300.9,51,23.5,17.6,58.8,2927.0
timed,Rogue,Subtlety,DPS,Voidscar Arena,1130,1120,828,197458,202222,245030,0.48,67.5,300.7,59,39.0,13.6,47.5,2947.0
timed,Shaman,Elemental,DPS,Altar of Fangs,3670,3601,2481,239050,245472,293548,0.44,67.7,301.6,185,35.7,31.4,33.0,2934.0
timed,Shaman,Elemental,DPS,Den of Nalorakk,2530,2499,1911,181062,185299,227881,0.58,60.7,300.7,104,34.6,30.8,34.6,2981.0
timed,Shaman,Elemental,DPS,Kings' Rest,2532,2495,1929,150128,154876,186938,0.5,64.3,300.7,98,38.8,25.5,35.7,2964.0
timed,Shaman,Elemental,DPS,Murder Row,3162,3111,2239,202644,209721,254069,0.42,70.0,301.5,164,35.4,28.0,36.6,2956.0
timed,Shaman,Elemental,DPS,Ruby Life Pools,2541,2509,2041,202131,209236,263390,0.4,71.0,299.4,118,39.0,27.1,33.9,2979.0
timed,Shaman,Elemental,DPS,Temple of Sethraliss,3142,3094,2237,207487,213896,258025,0.61,58.9,301.4,155,29.0,27.1,43.9,2957.0
timed,Shaman,Elemental,DPS,The Blinding Vale,2618,2584,2014,219602,224678,276452,0.56,62.9,300.5,117,43.6,23.1,33.3,2939.0
timed,Shaman,Elemental,DPS,Voidscar Arena,2934,2883,2230,195996,202257,246836,0.61,59.1,300.4,158,43.0,22.2,34.8,2958.0
timed,Shaman,Enhancement,DPS,Altar of Fangs,687,683,518,219671,226960,281048,0.56,62.2,300.2,42,31.0,23.8,45.2,2944.0
timed,Shaman,Enhancement,DPS,Den of Nalorakk,542,540,457,171426,177588,216461,0.56,62.9,299.2,29,48.3,17.2,34.5,2954.0
timed,Shaman,Enhancement,DPS,Kings' Rest,709,705,539,142550,147051,181629,0.6,60.4,299.0,39,17.9,38.5,43.6,2917.0
timed,Shaman,Enhancement,DPS,Murder Row,661,659,491,184197,191669,235869,0.56,60.5,299.8,51,27.5,35.3,37.3,2956.0
timed,Shaman,Enhancement,DPS,Ruby Life Pools,677,676,545,194659,201179,250728,0.54,63.5,298.0,41,39.0,36.6,24.4,2931.0
timed,Shaman,Enhancement,DPS,Temple of Sethraliss,695,689,523,196121,204186,247940,0.56,60.4,299.8,46,32.6,28.3,39.1,2971.0
timed,Shaman,Enhancement,DPS,The Blinding Vale,603,603,492,204481,209169,257814,0.66,54.7,299.1,40,35.0,32.5,32.5,2943.0
timed,Shaman,Enhancement,DPS,Voidscar Arena,958,953,662,190768,196506,243459,0.55,62.1,299.7,62,37.1,29.0,33.9,2938.0
timed,Shaman,Restoration,Healer,Altar of Fangs,3931,3931,2921,30694,30497,43660,0.3,76.0,299.6,196,42.3,37.8,19.9,2993.0
timed,Shaman,Restoration,Healer,Den of Nalorakk,3230,3230,2495,26285,26040,37069,0.39,70.9,299.1,141,35.5,37.6,27.0,3041.0
timed,Shaman,Restoration,Healer,Kings' Rest,3204,3204,2486,25442,25250,35569,0.37,71.6,298.9,147,42.2,35.4,22.4,3017.0
timed,Shaman,Restoration,Healer,Murder Row,3999,3999,2945,25685,25543,36739,0.26,80.0,299.1,225,48.4,29.3,22.2,2982.0
timed,Shaman,Restoration,Healer,Ruby Life Pools,3471,3471,2753,27823,27568,40115,0.3,76.4,298.0,181,42.5,40.9,16.6,3040.0
timed,Shaman,Restoration,Healer,Temple of Sethraliss,2989,2989,2237,25349,25095,36186,0.43,68.4,299.4,129,38.0,39.5,22.5,2975.0
timed,Shaman,Restoration,Healer,The Blinding Vale,3096,3096,2451,29306,29218,41332,0.37,72.5,298.5,126,46.8,36.5,16.7,3008.0
timed,Shaman,Restoration,Healer,Voidscar Arena,3291,3291,2627,25946,25704,36761,0.42,67.9,298.4,178,43.8,34.3,21.9,3032.0
timed,Warlock,Affliction,DPS,Altar of Fangs,157,157,135,198610,199247,279043,0.29,76.4,299.4,9,22.2,33.3,44.4,2764.0
timed,Warlock,Affliction,DPS,Den of Nalorakk,120,120,113,139142,135878,190492,0.48,65.0,297.6,4,0.0,25.0,75.0,2808.0
timed,Warlock,Affliction,DPS,Kings' Rest,115,114,106,117196,113804,161813,0.37,75.7,297.5,10,60.0,0.0,40.0,2841.0
timed,Warlock,Affliction,DPS,Murder Row,194,194,170,172451,168551,244250,0.24,82.0,299.0,17,29.4,23.5,47.1,2881.0
timed,Warlock,Affliction,DPS,Ruby Life Pools,155,155,148,155985,149728,220249,0.35,76.8,295.2,10,60.0,20.0,20.0,2805.0
timed,Warlock,Affliction,DPS,Temple of Sethraliss,116,116,105,174419,170387,234662,0.41,71.6,299.0,7,14.3,71.4,14.3,2801.0
timed,Warlock,Affliction,DPS,The Blinding Vale,166,166,160,167987,163416,237338,0.33,76.5,295.7,8,50.0,25.0,25.0,2836.0
timed,Warlock,Affliction,DPS,Voidscar Arena,180,180,161,165694,164696,229308,0.42,67.2,298.5,13,30.8,38.5,30.8,2774.0
timed,Warlock,Demonology,DPS,Altar of Fangs,1081,1073,873,230825,236497,294779,0.44,69.1,300.8,63,34.9,22.2,42.9,2820.0
timed,Warlock,Demonology,DPS,Den of Nalorakk,882,874,757,174358,179374,223022,0.43,67.0,299.5,46,43.5,23.9,32.6,2815.0
timed,Warlock,Demonology,DPS,Kings' Rest,1031,1024,869,145223,150211,185608,0.5,65.1,299.4,44,47.7,20.5,31.8,2845.0
timed,Warlock,Demonology,DPS,Murder Row,1663,1636,1208,203850,211322,255143,0.28,78.4,301.6,131,38.9,20.6,40.5,2836.0
timed,Warlock,Demonology,DPS,Ruby Life Pools,1018,1003,892,196239,201830,258420,0.39,71.3,297.9,56,53.6,23.2,23.2,2866.0
timed,Warlock,Demonology,DPS,Temple of Sethraliss,1165,1152,939,206813,213829,259570,0.51,63.7,300.4,53,39.6,20.8,39.6,2848.0
timed,Warlock,Demonology,DPS,The Blinding Vale,925,917,786,208864,216167,263626,0.47,69.2,299.5,43,55.8,14.0,30.2,2836.0
timed,Warlock,Demonology,DPS,Voidscar Arena,1161,1152,951,191070,197484,244157,0.6,57.8,300.0,95,43.2,17.9,38.9,2844.0
timed,Warlock,Destruction,DPS,Altar of Fangs,413,410,356,201115,206965,271780,0.43,68.0,298.6,17,35.3,17.6,47.1,2866.0
timed,Warlock,Destruction,DPS,Den of Nalorakk,310,307,277,147953,153642,193075,0.5,64.2,297.9,9,77.8,22.2,0.0,2870.0
timed,Warlock,Destruction,DPS,Kings' Rest,399,395,357,126603,131113,166982,0.49,63.2,297.9,15,53.3,26.7,20.0,2857.0
timed,Warlock,Destruction,DPS,Murder Row,589,583,478,175310,184783,234515,0.34,74.2,300.4,45,28.9,24.4,46.7,2844.0
timed,Warlock,Destruction,DPS,Ruby Life Pools,437,436,414,170087,175033,231973,0.41,70.9,296.1,19,47.4,36.8,15.8,2849.0
timed,Warlock,Destruction,DPS,Temple of Sethraliss,393,389,335,178950,185107,241197,0.53,63.9,298.9,20,35.0,10.0,55.0,2890.0
timed,Warlock,Destruction,DPS,The Blinding Vale,376,376,349,178825,184568,240755,0.47,65.7,297.6,8,50.0,12.5,37.5,2852.0
timed,Warlock,Destruction,DPS,Voidscar Arena,487,486,422,168243,173618,229296,0.56,58.9,298.1,31,48.4,19.4,32.3,2831.0
timed,Warrior,Arms,DPS,Altar of Fangs,5799,5613,3812,225932,232168,274083,0.52,62.1,302.3,292,36.6,26.7,36.6,2972.0
timed,Warrior,Arms,DPS,Den of Nalorakk,4473,4347,3237,179993,183615,220589,0.58,59.0,301.7,185,29.7,32.4,37.8,2987.0
timed,Warrior,Arms,DPS,Kings' Rest,4504,4387,3229,153996,157774,187787,0.64,55.2,301.4,205,39.0,25.4,35.6,2993.0
timed,Warrior,Arms,DPS,Murder Row,4675,4586,3261,188506,194430,231541,0.75,52.9,302.0,258,42.2,24.8,32.9,2975.0
timed,Warrior,Arms,DPS,Ruby Life Pools,4644,4513,3474,211086,216194,264830,0.64,56.4,300.5,208,40.9,25.5,33.7,2995.0
timed,Warrior,Arms,DPS,Temple of Sethraliss,3989,3904,2924,198078,203613,243689,0.89,45.3,301.7,190,30.0,31.6,38.4,2984.0
timed,Warrior,Arms,DPS,The Blinding Vale,4108,4015,3043,212798,219300,259958,0.84,48.3,301.2,174,39.7,26.4,33.9,2986.0
timed,Warrior,Arms,DPS,Voidscar Arena,4200,4102,3081,192256,197913,238372,0.77,51.7,301.3,214,40.7,20.6,38.8,2990.0
timed,Warrior,Fury,DPS,Altar of Fangs,390,389,317,216026,226195,279356,0.4,69.5,300.3,27,29.6,40.7,29.6,3030.0
timed,Warrior,Fury,DPS,Den of Nalorakk,292,291,244,172137,179827,218937,0.4,68.2,299.7,10,50.0,20.0,30.0,3070.0
timed,Warrior,Fury,DPS,Kings' Rest,324,323,272,140692,147159,182399,0.41,66.0,299.9,15,13.3,40.0,46.7,3134.0
timed,Warrior,Fury,DPS,Murder Row,340,338,287,178139,186202,231013,0.43,67.6,300.2,26,53.8,19.2,26.9,3098.0
timed,Warrior,Fury,DPS,Ruby Life Pools,392,391,343,192641,200669,254222,0.42,66.8,298.0,23,52.2,30.4,17.4,3071.0
timed,Warrior,Fury,DPS,Temple of Sethraliss,351,351,293,194033,200048,248381,0.54,59.5,299.9,26,38.5,30.8,30.8,3100.0
timed,Warrior,Fury,DPS,The Blinding Vale,335,335,281,209054,213489,265267,0.71,55.8,300.0,28,32.1,46.4,21.4,3004.0
timed,Warrior,Fury,DPS,Voidscar Arena,379,376,322,184131,191866,245772,0.46,64.6,299.6,28,28.6,42.9,28.6,3041.0
timed,Warrior,Protection,Tank,Altar of Fangs,951,951,713,130872,131972,169081,0.1,91.9,298.5,43,60.5,16.3,23.3,2887.0
timed,Warrior,Protection,Tank,Den of Nalorakk,797,797,635,99303,101180,127369,0.09,93.0,297.5,31,64.5,9.7,25.8,2900.0
timed,Warrior,Protection,Tank,Kings' Rest,806,806,667,83950,85136,107044,0.14,87.6,296.8,36,72.2,19.4,8.3,2885.0
timed,Warrior,Protection,Tank,Murder Row,1060,1060,794,111993,115336,143687,0.27,78.2,297.9,54,55.6,24.1,20.4,2898.0
timed,Warrior,Protection,Tank,Ruby Life Pools,766,766,652,114105,114992,151783,0.24,80.9,295.5,44,72.7,15.9,11.4,2947.0
timed,Warrior,Protection,Tank,Temple of Sethraliss,849,849,661,117281,119099,148027,0.13,88.2,297.6,41,75.6,9.8,14.6,2904.0
timed,Warrior,Protection,Tank,The Blinding Vale,749,749,623,121185,123989,155127,0.1,90.5,296.9,25,52.0,16.0,32.0,2881.0
timed,Warrior,Protection,Tank,Voidscar Arena,978,978,789,111756,115165,144931,0.13,89.4,297.5,46,65.2,13.0,21.7,2907.0
