dungeon,runs,parses,characters,timer_s,timed_run_pct,avg_duration_s,avg_key,min_key,max_key,avg_deaths_per_player
Altar of Fangs,909,4544,2991,1800,45.1,1836.0,14.7,5,20,2.48
Den of Nalorakk,422,2109,1644,1920,59.4,1883.0,15.8,10,20,2.08
Kings' Rest,548,2738,2047,1980,65.9,1897.0,15.7,10,20,1.88
Murder Row,496,2479,1896,2040,56.0,1966.0,15.6,10,20,1.81
Ruby Life Pools,841,4204,2927,1680,66.2,1525.0,15.8,2,21,1.44
Temple of Sethraliss,450,2249,1722,1950,63.7,1908.0,15.7,10,20,2.09
The Blinding Vale,519,2594,1911,1860,66.0,1746.0,15.7,10,21,2.17
Voidscar Arena,464,2318,1767,1800,69.0,1655.0,15.5,2,20,2.04
