subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
timed,Paladin,Retribution,Templar,DPS,9286,9136,4819,169237,170904,227896,0.41,69.0,298.0,464,50.9,25.2,23.9,2977.0
timed,Paladin,Retribution,Unknown,DPS,498,487,395,180154,182572,251795,0.45,66.3,299.3,0,,,,2963.0
timed,Priest,Discipline,Oracle,Healer,4153,4153,2205,16302,16151,21513,0.42,69.5,296.7,184,63.6,23.4,13.0,2868.0
timed,Priest,Discipline,Unknown,Healer,164,164,116,20698,17890,40498,0.4,68.9,297.4,0,,,,2835.0
timed,Priest,Discipline,Voidweaver,Healer,931,931,447,31241,30847,43571,0.52,65.3,299.4,39,35.9,46.2,17.9,2806.0
timed,Priest,Holy,Archon,Healer,794,794,521,15978,14594,27292,0.11,90.1,294.9,51,84.3,7.8,7.8,2788.0
timed,Priest,Holy,Oracle,Healer,6706,6706,2968,24908,24451,38884,0.14,88.8,300.0,395,50.9,31.6,17.5,2910.0
timed,Priest,Holy,Unknown,Healer,257,257,190,24560,23974,40566,0.13,88.7,298.7,0,,,,2807.0
timed,Priest,Shadow,Archon,DPS,4451,4432,2042,179157,182470,236936,0.45,67.8,298.9,233,38.6,22.7,38.6,2869.0
timed,Priest,Shadow,Unknown,DPS,233,230,169,172357,171704,232371,0.42,70.4,297.3,0,,,,2776.0
timed,Priest,Shadow,Voidweaver,DPS,3079,3056,1363,181095,183994,239193,0.44,68.4,299.7,164,41.5,15.2,43.3,2921.0
timed,Rogue,Assassination,Deathstalker,DPS,6282,6260,2266,210611,215454,272623,0.54,63.4,300.7,340,36.2,23.8,40.0,3102.0
timed,Rogue,Assassination,Fatebound,DPS,448,448,231,186580,189356,259506,0.38,72.5,296.9,17,47.1,11.8,41.2,2955.0
timed,Rogue,Assassination,Unknown,DPS,220,220,162,206221,209934,272541,0.57,63.6,300.3,0,,,,3098.0
timed,Rogue,Outlaw,Fatebound,DPS,15,15,13,119863,95306,189294,0.4,66.7,293.3,1,100.0,0.0,0.0,
timed,Rogue,Outlaw,Trickster,DPS,4287,4267,1490,199641,203756,265371,0.5,65.9,298.7,198,46.5,17.2,36.4,3165.0
timed,Rogue,Outlaw,Unknown,DPS,138,137,111,196225,202951,267945,0.46,65.2,298.3,0,,,,2987.0
timed,Rogue,Subtlety,Deathstalker,DPS,7652,7547,2553,202681,205362,261008,0.4,71.5,301.1,413,29.8,13.6,56.7,2923.0
timed,Rogue,Subtlety,Trickster,DPS,1210,1207,568,191269,195769,249730,0.37,73.1,298.1,61,60.7,26.2,13.1,3084.0
timed,Rogue,Subtlety,Unknown,DPS,267,265,193,203671,205946,267636,0.4,74.5,299.7,0,,,,2862.0
timed,Shaman,Elemental,Farseer,DPS,22075,21746,7886,202807,207100,265407,0.51,64.4,301.0,1080,36.1,27.5,36.4,2961.0
timed,Shaman,Elemental,Stormbringer,DPS,202,202,164,116244,112036,166964,0.37,69.8,290.4,19,94.7,0.0,5.3,2782.0
timed,Shaman,Elemental,Unknown,DPS,852,834,585,201123,204848,270185,0.55,63.8,300.8,0,,,,2876.0
timed,Shaman,Enhancement,Stormbringer,DPS,5277,5256,2053,189528,192995,249048,0.58,60.7,299.5,344,32.3,31.1,36.6,2939.0
timed,Shaman,Enhancement,Totemic,DPS,98,98,77,138148,131922,200034,0.35,70.4,292.7,6,83.3,0.0,16.7,2734.0
timed,Shaman,Enhancement,Unknown,DPS,157,157,121,172739,177369,231481,0.5,63.1,298.0,0,,,,3151.0
timed,Shaman,Restoration,Farseer,Healer,781,781,373,24916,23402,44897,0.36,73.2,296.5,39,56.4,30.8,12.8,3054.0
timed,Shaman,Restoration,Totemic,Healer,25606,25606,9893,27223,26881,38730,0.35,73.4,299.0,1284,42.4,36.2,21.3,3008.0
timed,Shaman,Restoration,Unknown,Healer,824,824,635,26352,26669,37959,0.4,71.6,298.2,0,,,,2965.0
timed,Warlock,Affliction,Hellcaller,DPS,23,23,18,142640,152534,197303,0.22,78.3,292.4,3,66.7,33.3,0.0,
timed,Warlock,Affliction,Soul Harvester,DPS,1131,1131,756,164684,158405,239951,0.35,74.8,297.9,75,34.7,28.0,37.3,2818.0
timed,Warlock,Affliction,Unknown,DPS,49,49,46,150912,143706,217695,0.49,61.2,296.7,0,,,,2797.0
timed,Warlock,Demonology,Diabolist,DPS,8647,8556,3973,196042,200180,259222,0.45,68.1,300.1,531,43.3,20.3,36.3,2842.0
timed,Warlock,Demonology,Soul Harvester,DPS,11,11,11,95335,90620,125950,0.27,72.7,291.9,0,,,,
timed,Warlock,Demonology,Unknown,DPS,268,264,207,192358,196646,253704,0.4,72.0,299.2,0,,,,2750.0
timed,Warlock,Destruction,Diabolist,DPS,2840,2823,1589,172838,174614,237399,0.47,66.1,298.6,141,41.8,20.6,37.6,2851.0
timed,Warlock,Destruction,Hellcaller,DPS,473,472,325,152055,151995,218501,0.43,68.5,297.1,23,43.5,30.4,26.1,2875.0
timed,Warlock,Destruction,Unknown,DPS,91,90,80,151040,141076,221206,0.41,70.3,294.5,0,,,,2895.0
timed,Warrior,Arms,Colossus,DPS,100,100,83,131759,118605,218089,0.48,69.0,290.7,5,60.0,0.0,40.0,3036.0
timed,Warrior,Arms,Slayer,DPS,35029,34154,11332,196402,199218,251850,0.69,54.2,301.6,1721,37.5,26.6,35.9,2985.0
timed,Warrior,Arms,Unknown,DPS,1263,1220,866,197365,200793,254173,0.7,55.7,301.6,0,,,,2975.0
timed,Warrior,Fury,Mountain Thane,DPS,850,848,536,173496,175414,241024,0.47,66.6,298.4,41,65.9,19.5,14.6,2927.0
timed,Warrior,Fury,Slayer,DPS,1859,1855,902,193598,198430,258618,0.48,64.0,300.3,142,28.9,39.4,31.7,3094.0
timed,Warrior,Fury,Unknown,DPS,94,93,83,178018,186618,238510,0.39,64.9,298.7,0,,,,3101.0
timed,Warrior,Protection,Colossus,Tank,279,279,144,111547,110053,154219,0.11,90.7,297.4,14,64.3,7.1,28.6,2915.0
timed,Warrior,Protection,Mountain Thane,Tank,6417,6417,2885,111720,112558,149484,0.16,87.2,297.4,306,65.0,16.3,18.6,2898.0
timed,Warrior,Protection,Slayer,Tank,1,1,1,97443,97443,97443,0.0,100.0,298.0,0,,,,
timed,Warrior,Protection,Unknown,Tank,259,259,175,111567,114378,149173,0.16,85.7,296.7,0,,,,2936.0
all,DeathKnight,Blood,(all merged),Tank,42313,42309,12719,118617,118446,157758,0.13,90.3,302.4,1818,41.1,36.5,22.4,2970.0
all,DeathKnight,Frost,(all merged),DPS,2662,2652,1259,171709,175181,230248,0.42,71.5,298.5,120,33.3,35.8,30.8,2935.0
all,DeathKnight,Unholy,(all merged),DPS,11629,11465,4339,192122,194265,253443,0.39,71.8,299.7,529,34.2,25.9,39.9,2956.0
all,DemonHunter,Devourer,(all merged),DPS,15383,15172,4749,192804,196666,247321,0.7,55.4,300.8,653,35.8,27.1,37.1,2971.0
all,DemonHunter,Havoc,(all merged),DPS,4793,4762,2189,174919,179156,232494,0.5,65.9,298.4,234,50.0,28.6,21.4,2909.0
all,DemonHunter,Vengeance,(all merged),Tank,6159,6159,2572,105535,105844,143269,0.14,90.3,299.3,388,49.0,25.3,25.8,2921.0
all,Druid,Balance,(all merged),DPS,13443,13346,5029,179717,182580,236383,0.6,62.7,299.9,628,35.2,26.6,38.2,2902.0
all,Druid,Feral,(all merged),DPS,3522,3511,1269,190827,194190,256841,0.62,60.0,299.5,227,53.3,28.2,18.5,3112.0
all,Druid,Guardian,(all merged),Tank,9792,9792,3863,96059,95462,131245,0.16,87.8,299.5,515,51.1,25.4,23.5,2941.0
all,Druid,Restoration,(all merged),Healer,4306,4306,2217,14519,10909,26385,0.55,63.8,296.5,201,61.2,23.4,15.4,2857.0
all,Evoker,Augmentation,(all merged),DPS,1122,1122,559,148873,150788,199518,0.45,73.9,296.6,27,66.7,14.8,18.5,2840.0
all,Evoker,Devastation,(all merged),DPS,5300,5202,1891,192429,194176,248026,0.63,61.1,299.6,227,37.0,21.1,41.9,2817.0
all,Evoker,Preservation,(all merged),Healer,5713,5713,2164,40028,38499,60375,0.7,58.2,299.5,262,33.6,32.1,34.4,2829.0
all,Hunter,BeastMastery,(all merged),DPS,12818,12532,6459,164817,164680,219055,0.55,65.1,298.6,670,47.0,27.8,25.2,2857.0
all,Hunter,Marksmanship,(all merged),DPS,6801,6693,2514,185325,189618,238498,0.52,65.4,301.1,338,27.5,15.4,57.1,2858.0
all,Hunter,Survival,(all merged),DPS,1500,1491,785,157601,156904,213914,0.54,65.8,298.1,100,41.0,20.0,39.0,2961.0
all,Mage,Arcane,(all merged),DPS,45712,43772,14456,202153,205968,262224,0.55,63.0,302.1,2266,25.8,32.7,41.5,2975.0
all,Mage,Fire,(all merged),DPS,709,709,369,179614,185632,247245,0.37,77.0,296.4,25,64.0,8.0,28.0,2856.0
all,Mage,Frost,(all merged),DPS,1531,1522,1111,136705,132645,191943,0.53,66.6,294.7,76,73.7,21.1,5.3,2792.0
all,Monk,Brewmaster,(all merged),Tank,4889,4889,1873,94574,94960,125743,0.24,82.6,298.8,225,51.1,24.9,24.0,3046.0
all,Monk,Mistweaver,(all merged),Healer,8252,8252,3404,42323,42800,56230,0.42,70.4,297.9,426,60.1,25.4,14.6,2911.0
all,Monk,Windwalker,(all merged),DPS,7342,7306,2895,178440,179232,243869,0.61,61.4,300.5,428,35.7,25.2,39.0,2915.0
all,Paladin,Holy,(all merged),Healer,28099,28093,10014,25402,21621,46756,0.5,65.7,300.0,1320,39.2,41.4,19.4,2961.0
all,Paladin,Protection,(all merged),Tank,17690,17690,7096,96830,97288,128083,0.17,87.0,298.8,811,53.8,30.8,15.4,2964.0
all,Paladin,Retribution,(all merged),DPS,16208,15867,7259,182665,185302,245483,0.53,64.7,299.9,892,40.1,29.8,30.0,2979.0
all,Priest,Discipline,(all merged),Healer,5455,5455,2647,18994,17159,29576,0.53,66.5,297.1,223,58.7,27.4,13.9,2852.0
all,Priest,Holy,(all merged),Healer,7963,7963,3560,23873,23202,38097,0.17,87.6,299.4,446,54.7,28.9,16.4,2904.0
all,Priest,Shadow,(all merged),DPS,8100,8030,3266,179067,181708,237041,0.55,65.6,299.1,401,39.7,20.2,40.1,2887.0
all,Rogue,Assassination,(all merged),DPS,7184,7160,2511,208597,213270,271818,0.6,62.2,300.4,364,36.3,23.1,40.7,3096.0
all,Rogue,Outlaw,(all merged),DPS,4603,4580,1556,198782,202754,265146,0.58,63.9,298.7,203,45.8,16.7,37.4,3165.0
all,Rogue,Subtlety,(all merged),DPS,9404,9279,3127,200514,203268,259679,0.46,70.1,300.6,479,33.6,15.0,51.4,2948.0
all,Shaman,Elemental,(all merged),DPS,24001,23640,8311,201715,205895,265038,0.6,62.4,300.9,1118,36.9,27.2,35.9,2962.0
all,Shaman,Enhancement,(all merged),DPS,5691,5667,2191,187615,191104,247738,0.65,59.3,299.3,352,33.0,31.0,36.1,2945.0
all,Shaman,Restoration,(all merged),Healer,28202,28202,10500,27044,26729,38762,0.42,71.3,298.9,1340,42.7,36.3,21.0,3013.0
all,Warlock,Affliction,(all merged),DPS,1254,1253,817,163320,156458,237544,0.43,71.8,297.7,78,35.9,28.2,35.9,2817.0
all,Warlock,Demonology,(all merged),DPS,9225,9127,4127,195187,198990,258620,0.53,66.2,300.0,534,43.3,20.2,36.5,2841.0
all,Warlock,Destruction,(all merged),DPS,3554,3531,1935,168833,169963,234779,0.58,63.9,298.2,165,41.8,22.4,35.8,2863.0
all,Warrior,Arms,(all merged),DPS,37593,36636,11704,195890,198702,251645,0.77,52.8,301.5,1747,37.6,26.4,36.0,2987.0
all,Warrior,Fury,(all merged),DPS,2899,2890,1443,186742,190582,252827,0.55,63.0,299.7,184,37.0,34.8,28.3,3068.0
all,Warrior,Protection,(all merged),Tank,7147,7147,3108,111409,112149,149289,0.21,85.4,297.3,322,65.2,15.8,18.9,2903.0
timed,DeathKnight,Blood,(all merged),Tank,40739,40735,12554,118778,118708,157807,0.09,92.4,302.4,1790,41.5,36.2,22.3,2967.0
timed,DeathKnight,Frost,(all merged),DPS,2530,2520,1223,172436,177000,230717,0.33,74.5,298.6,118,33.9,36.4,29.7,2934.0
timed,DeathKnight,Unholy,(all merged),DPS,11080,10923,4238,192931,195464,254209,0.31,74.6,299.8,524,34.2,25.8,40.1,2953.0
timed,DemonHunter,Devourer,(all merged),DPS,14800,14594,4690,193573,197787,247746,0.61,57.4,300.8,648,36.0,27.2,36.9,2968.0
timed,DemonHunter,Havoc,(all merged),DPS,4640,4610,2160,175201,179978,232991,0.43,67.7,298.4,233,50.2,28.8,21.0,2906.0
timed,DemonHunter,Vengeance,(all merged),Tank,5981,5981,2540,105719,106126,143328,0.1,92.1,299.4,386,49.2,24.9,25.9,2917.0
timed,Druid,Balance,(all merged),DPS,12978,12885,4962,180349,183365,236751,0.5,64.7,300.0,622,35.4,26.7,37.9,2901.0
timed,Druid,Feral,(all merged),DPS,3405,3395,1255,191010,194588,257082,0.55,61.7,299.5,225,53.8,28.0,18.2,3109.0
timed,Druid,Guardian,(all merged),Tank,9472,9472,3808,96237,95698,131495,0.11,89.9,299.5,511,51.1,25.6,23.3,2937.0
timed,Druid,Restoration,(all merged),Healer,4177,4177,2189,14692,11030,26762,0.48,65.6,296.5,201,61.2,23.4,15.4,2858.0
timed,Evoker,Augmentation,(all merged),DPS,1056,1056,532,149910,152438,200141,0.29,78.0,296.7,27,66.7,14.8,18.5,2835.0
timed,Evoker,Devastation,(all merged),DPS,5114,5017,1847,193503,195701,248897,0.53,63.2,299.7,226,37.2,21.2,41.6,2815.0
timed,Evoker,Preservation,(all merged),Healer,5490,5490,2133,40237,38780,60480,0.59,60.4,299.6,256,33.6,32.0,34.4,2827.0
timed,Hunter,BeastMastery,(all merged),DPS,12439,12165,6381,165149,165388,219328,0.46,67.0,298.6,669,47.1,27.8,25.1,2857.0
timed,Hunter,Marksmanship,(all merged),DPS,6635,6527,2487,185915,190463,238866,0.46,66.7,301.2,333,27.6,15.6,56.8,2856.0
timed,Hunter,Survival,(all merged),DPS,1434,1426,762,158317,157855,215077,0.42,68.7,298.2,97,42.3,19.6,38.1,2958.0
timed,Mage,Arcane,(all merged),DPS,44238,42351,14323,202583,206592,262462,0.48,64.8,302.1,2246,26.0,32.6,41.4,2972.0
timed,Mage,Fire,(all merged),DPS,691,691,362,179886,185933,248659,0.31,78.4,296.4,25,64.0,8.0,28.0,2854.0
timed,Mage,Frost,(all merged),DPS,1487,1478,1091,136332,132010,192476,0.45,68.4,294.7,76,73.7,21.1,5.3,2788.0
timed,Monk,Brewmaster,(all merged),Tank,4732,4732,1846,94662,95194,125784,0.18,84.8,298.9,224,51.3,24.6,24.1,3045.0
timed,Monk,Mistweaver,(all merged),Healer,8020,8020,3370,42391,42936,56326,0.36,72.3,297.9,426,60.1,25.4,14.6,2908.0
timed,Monk,Windwalker,(all merged),DPS,7061,7026,2835,179330,180386,244698,0.51,63.7,300.6,422,36.3,25.4,38.4,2913.0
timed,Paladin,Holy,(all merged),Healer,27057,27051,9908,25542,21755,46943,0.43,67.7,299.9,1298,39.5,41.3,19.2,2959.0
timed,Paladin,Protection,(all merged),Tank,17080,17080,6992,97078,97594,128304,0.12,89.1,298.8,806,53.6,30.9,15.5,2960.0
timed,Paladin,Retribution,(all merged),DPS,15634,15304,7139,182958,185954,245697,0.45,66.7,300.0,880,40.5,29.7,29.9,2974.0
timed,Priest,Discipline,(all merged),Healer,5248,5248,2587,19090,17249,30046,0.44,68.7,297.2,223,58.7,27.4,13.9,2850.0
timed,Priest,Holy,(all merged),Healer,7757,7757,3528,23982,23318,38229,0.13,89.0,299.4,446,54.7,28.9,16.4,2900.0
timed,Priest,Shadow,(all merged),DPS,7763,7696,3199,179721,182936,237606,0.45,68.1,299.2,397,39.8,19.6,40.6,2883.0
timed,Rogue,Assassination,(all merged),DPS,6950,6928,2491,208923,213900,272155,0.53,64.0,300.4,357,36.7,23.2,40.1,3094.0
timed,Rogue,Outlaw,(all merged),DPS,4440,4419,1532,199265,203411,265363,0.5,65.9,298.7,199,46.7,17.1,36.2,3164.0
timed,Rogue,Subtlety,(all merged),DPS,9129,9007,3094,201198,204241,260030,0.4,71.8,300.7,474,33.8,15.2,51.1,2944.0
timed,Shaman,Elemental,(all merged),DPS,23129,22776,8209,201989,206462,265381,0.51,64.4,300.9,1099,37.1,27.0,35.9,2957.0
timed,Shaman,Enhancement,(all merged),DPS,5532,5508,2164,188141,191910,248374,0.57,60.9,299.4,350,33.1,30.6,36.3,2944.0
timed,Shaman,Restoration,(all merged),Healer,27211,27211,10375,27131,26827,38842,0.35,73.3,298.9,1323,42.9,36.1,21.1,3009.0
timed,Warlock,Affliction,(all merged),DPS,1203,1202,797,163701,157468,238749,0.35,74.3,297.7,78,35.9,28.2,35.9,2818.0
timed,Warlock,Demonology,(all merged),DPS,8926,8831,4061,195807,200061,259078,0.44,68.3,300.0,531,43.3,20.3,36.3,2838.0
timed,Warlock,Destruction,(all merged),DPS,3404,3382,1892,169367,171258,235250,0.46,66.5,298.3,164,42.1,22.0,36.0,2855.0
timed,Warrior,Arms,(all merged),DPS,36392,35467,11607,196258,199160,251887,0.69,54.3,301.5,1726,37.6,26.5,35.9,2984.0
timed,Warrior,Fury,(all merged),DPS,2803,2794,1427,186980,191011,253599,0.47,64.8,299.7,183,37.2,35.0,27.9,3068.0
timed,Warrior,Protection,(all merged),Tank,6956,6956,3066,111705,112559,149660,0.15,87.3,297.3,320,65.0,15.9,19.1,2900.0
