subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,Evoker,Preservation,Flameshaper,Healer,5136,5136,1969,40206,38748,60012,0.69,58.1,299.7,253,33.2,31.6,35.2,2831.0
all,Evoker,Preservation,Unknown,Healer,194,194,140,38922,37963,59842,0.79,63.9,298.9,0,,,,2854.0
all,Hunter,BeastMastery,Dark Ranger,DPS,246,246,195,135959,132144,187260,0.49,71.5,293.7,11,81.8,18.2,0.0,
all,Hunter,BeastMastery,Pack Leader,DPS,12165,11905,6135,165490,165499,219307,0.55,65.1,298.7,659,46.4,27.9,25.6,2859.0
all,Hunter,BeastMastery,Sentinel,DPS,2,2,2,168420,168420,169994,0.0,100.0,311.0,0,,,,
all,Hunter,BeastMastery,Unknown,DPS,405,395,324,162113,160921,217474,0.61,62.0,298.3,0,,,,2811.0
all,Hunter,Marksmanship,Dark Ranger,DPS,102,102,51,154387,152883,223975,0.61,62.7,297.2,2,50.0,0.0,50.0,2935.0
all,Hunter,Marksmanship,Sentinel,DPS,6470,6367,2424,185956,190184,238641,0.52,65.3,301.2,336,27.4,15.5,57.1,2857.0
all,Hunter,Marksmanship,Unknown,DPS,229,224,155,181294,184671,238851,0.49,68.6,300.1,0,,,,2864.0
all,Hunter,Survival,Pack Leader,DPS,459,457,271,161024,159083,220883,0.57,65.4,297.4,36,50.0,19.4,30.6,2968.0
all,Hunter,Survival,Sentinel,DPS,982,977,540,156459,156523,211357,0.53,65.5,298.7,64,35.9,20.3,43.8,2963.0
all,Hunter,Survival,Unknown,DPS,59,58,48,149966,143140,211890,0.58,74.6,294.9,0,,,,2869.0
all,Mage,Arcane,Spellslinger,DPS,312,312,195,168218,170718,239133,0.63,60.6,297.4,11,72.7,18.2,9.1,3143.0
all,Mage,Arcane,Sunfury,DPS,43913,42065,14061,202467,206232,262283,0.55,63.1,302.1,2255,25.6,32.7,41.7,2975.0
all,Mage,Arcane,Unknown,DPS,1487,1411,989,199989,204537,264756,0.62,59.5,301.5,0,,,,2954.0
all,Mage,Fire,Frostfire,DPS,22,22,16,94034,77810,144949,0.23,81.8,290.0,2,50.0,0.0,50.0,
all,Mage,Fire,Sunfury,DPS,659,659,346,181542,186409,247245,0.38,76.9,296.6,23,65.2,8.7,26.1,2856.0
all,Mage,Fire,Unknown,DPS,28,28,20,201471,216454,262606,0.36,75.0,298.0,0,,,,
all,Mage,Frost,Frostfire,DPS,215,215,159,130651,117829,211069,0.4,68.4,296.4,10,80.0,0.0,20.0,2812.0
all,Mage,Frost,Spellslinger,DPS,1260,1251,928,137666,134726,188884,0.56,66.3,294.4,66,72.7,24.2,3.0,2780.0
