character,server,region,class,spec,hero_talent,role,dungeon,key_level,duration_s,damage_done,dps,deaths,item_level,score,medal,affixes,report_code,fight_id,started_at
Olafr,Nobundo,US,Warrior,Protection,Colossus,Tank,Ruby Life Pools,12,1164.4,160528302,137869.0,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Monkify,Nobundo,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Ruby Life Pools,12,1164.4,89103410,76526.0,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Xaniac,Anasterian,US,Warlock,Demonology,Diabolist,DPS,Ruby Life Pools,12,1164.4,271571489,233237.9,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Sammiiee,Nobundo,US,Shaman,Enhancement,Stormbringer,DPS,Ruby Life Pools,12,1164.4,238120357,204508.6,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Aliendh,Anasterian,US,DemonHunter,Devourer,Annihilator,DPS,Ruby Life Pools,12,1164.4,235774677,202494.0,1,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
旦夕来啦,Anasterian,US,Warrior,Protection,Unknown,Tank,Den of Nalorakk,18,1721.1,202020308,117381.9,0,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Gegweg,Anasterian,US,Evoker,Preservation,Unknown,Healer,Den of Nalorakk,18,1721.1,120087181,69775.5,4,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Alicedkk,Nobundo,US,DeathKnight,Frost,Unknown,DPS,Den of Nalorakk,18,1721.1,469450214,272769.5,1,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Mycsdk,Broxigar,US,DeathKnight,Frost,Unknown,DPS,Den of Nalorakk,18,1721.1,512162336,297587.0,1,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Ercmage,Anasterian,US,Mage,Arcane,Unknown,DPS,Den of Nalorakk,18,1721.1,388135266,225522.2,2,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Jmonk,Nobundo,EU,Monk,Brewmaster,Master of Harmony,Tank,Kings' Rest,15,1805.2,141682818,78483.8,0,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Ooba,Benedictus,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Kings' Rest,15,1805.2,85159261,47173.1,1,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Boonpo,Benedictus,EU,Hunter,Marksmanship,Dark Ranger,DPS,Kings' Rest,15,1805.2,315375665,174699.3,0,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Sus,Benedictus,EU,Druid,Balance,Elune's Chosen,DPS,Kings' Rest,15,1805.2,283694925,157150.0,2,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Flaxyua,Vargoth,EU,Warrior,Arms,Colossus,DPS,Kings' Rest,15,1805.2,366853220,203214.7,2,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Willmonk,Anasterian,EU,Monk,Brewmaster,Master of Harmony,Tank,Altar of Fangs,12,1633.2,199479154,122143.3,2,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Dungeon,Anasterian,EU,Shaman,Restoration,Totemic,Healer,Altar of Fangs,12,1633.2,20141250,12332.7,4,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Accelerant,Lycanthoth,EU,Hunter,Survival,Pack Leader,DPS,Altar of Fangs,12,1633.2,366158369,224202.8,3,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Castan,Benedictus,EU,Warrior,Arms,Colossus,DPS,Altar of Fangs,12,1633.2,388301719,237761.4,3,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Offhealer,Zekhan,EU,Paladin,Retribution,Templar,DPS,Altar of Fangs,12,1633.2,280204432,171572.3,5,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Dayanaae,Lycanthoth,US,DemonHunter,Vengeance,Annihilator,Tank,Den of Nalorakk,15,2940.6,281873177,95854.8,5,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Hollymuffins,Anasterian,US,Paladin,Holy,Herald of the Sun,Healer,Den of Nalorakk,15,2940.6,76894502,26149.0,5,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Arthenséus,Anasterian,US,Mage,Arcane,Spellslinger,DPS,Den of Nalorakk,15,2940.6,426206119,144937.1,7,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Deathflows,Anasterian,US,DeathKnight,Frost,Deathbringer,DPS,Den of Nalorakk,15,2940.6,420949446,143149.5,6,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Augtoberfest,Benedictus,US,Evoker,Augmentation,Chronowarden,DPS,Den of Nalorakk,15,2940.6,388512008,132118.7,6,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Kandypal,Benedictus,EU,Paladin,Protection,Lightsmith,Tank,Kings' Rest,12,1665.2,157131032,94362.1,0,321,369.99,timed,9|10|147,zayjk4KqQ72vPYRh,7,1784406858970
Renokopter,Broxigar,EU,Druid,Restoration,Wildstalker,Healer,Kings' Rest,12,1665.2,6491462,3898.3,1,321,369.99,timed,9|10|147,zayjk4KqQ72vPYRh,7,1784406858970
Shadowhúntr,Benedictus,EU,DemonHunter,Devourer,Annihilator,DPS,Kings' Rest,12,1665.2,247276068,148497.0,2,321,369.99,timed,9|10|147,zayjk4KqQ72vPYRh,7,1784406858970
Wuuschsnipe,Zekhan,EU,Hunter,Survival,Sentinel,DPS,Kings' Rest,12,1665.2,283878524,170478.0,0,321,369.99,timed,9|10|147,zayjk4KqQ72vPYRh,7,1784406858970
Mäuselicht,Broxigar,EU,Paladin,Retribution,Herald of the Sun,DPS,Kings' Rest,12,1665.2,254463831,152813.5,1,321,369.99,timed,9|10|147,zayjk4KqQ72vPYRh,7,1784406858970
Dartøne,Zekhan,EU,Paladin,Protection,Lightsmith,Tank,Altar of Fangs,17,2021.2,417959710,206792.4,2,334,311.19,none,10|9|147,BrAa6w9DKjTvXM4n,1,1784325722011
Лфгэнджойер,Benedictus,EU,Priest,Discipline,Voidweaver,Healer,Altar of Fangs,17,2021.2,162504682,80401.9,2,334,311.19,none,10|9|147,BrAa6w9DKjTvXM4n,1,1784325722011
Sellentis,Anasterian,EU,Warrior,Arms,Slayer,DPS,Altar of Fangs,17,2021.2,431517244,213500.2,3,334,311.19,none,10|9|147,BrAa6w9DKjTvXM4n,1,1784325722011
Vaelluv,Benedictus,EU,Mage,Arcane,Spellslinger,DPS,Altar of Fangs,17,2021.2,539277813,266816.5,3,334,311.19,none,10|9|147,BrAa6w9DKjTvXM4n,1,1784325722011
Sorenbricked,Anasterian,EU,Hunter,Marksmanship,Sentinel,DPS,Altar of Fangs,17,2021.2,690266640,341520.7,5,334,311.19,none,10|9|147,BrAa6w9DKjTvXM4n,1,1784325722011
Haumichwarri,Benedictus,EU,Warrior,Protection,Mountain Thane,Tank,Murder Row,15,2092.5,244251534,116725.6,4,334,315.33,none,9|10|147,N6aQ32KdXW4nMgRH,4,1784324113799
Aureliê,Nobundo,EU,Paladin,Holy,Herald of the Sun,Healer,Murder Row,15,2092.5,31076978,14851.4,4,334,315.33,none,9|10|147,N6aQ32KdXW4nMgRH,4,1784324113799
Voltiura,Benedictus,EU,Shaman,Enhancement,Stormbringer,DPS,Murder Row,15,2092.5,326925992,156235.0,11,326,315.33,none,9|10|147,N6aQ32KdXW4nMgRH,4,1784324113799
Neezúko,Anasterian,EU,DemonHunter,Devourer,Annihilator,DPS,Murder Row,15,2092.5,580036561,277194.3,12,334,315.33,none,9|10|147,N6aQ32KdXW4nMgRH,4,1784324113799
Leftyz,Anasterian,EU,Mage,Arcane,Spellslinger,DPS,Murder Row,15,2092.5,502445078,240114.0,10,334,315.33,none,9|10|147,N6aQ32KdXW4nMgRH,4,1784324113799
Теидон,Anasterian,US,Druid,Guardian,Elune's Chosen,Tank,Ruby Life Pools,12,1240.6,143110342,115358.9,0,321,375.9,timed,10|9|147,CD8FB6v3h4TfVRJM,6,1783933256452
Powerpegging,Lycanthoth,US,Evoker,Preservation,Flameshaper,Healer,Ruby Life Pools,12,1240.6,36597011,29500.3,0,321,375.9,timed,10|9|147,CD8FB6v3h4TfVRJM,6,1783933256452
Kaypers,Anasterian,US,Hunter,Marksmanship,Sentinel,DPS,Ruby Life Pools,12,1240.6,283055356,228166.3,2,321,375.9,timed,10|9|147,CD8FB6v3h4TfVRJM,6,1783933256452
Giofiveseven,Lycanthoth,US,Warrior,Arms,Colossus,DPS,Ruby Life Pools,12,1240.6,321988399,259549.6,0,321,375.9,timed,10|9|147,CD8FB6v3h4TfVRJM,6,1783933256452
Fein,Anasterian,US,Mage,Arcane,Sunfury,DPS,Ruby Life Pools,12,1240.6,194074693,156440.4,1,321,375.9,timed,10|9|147,CD8FB6v3h4TfVRJM,6,1783933256452
Kawayowar,Anasterian,EU,Warrior,Protection,Mountain Thane,Tank,Murder Row,16,2060.3,205768793,99875.1,3,328,314.0,none,10|9|147,wZfV4mCYPrTt8KLB,5,1783076193911
Medizinmann,Benedictus,EU,Priest,Discipline,Voidweaver,Healer,Murder Row,16,2060.3,116433323,56513.8,5,328,314.0,none,10|9|147,wZfV4mCYPrTt8KLB,5,1783076193911
Zzmage,Anasterian,EU,Mage,Arcane,Spellslinger,DPS,Murder Row,16,2060.3,460027291,223285.8,4,328,314.0,none,10|9|147,wZfV4mCYPrTt8KLB,5,1783076193911
Srtqqe,Benedictus,EU,Shaman,Elemental,Farseer,DPS,Murder Row,16,2060.3,430446700,208928.1,7,328,314.0,none,10|9|147,wZfV4mCYPrTt8KLB,5,1783076193911
Alicedkk,Nobundo,EU,DeathKnight,Frost,Rider of the Apocalypse,DPS,Murder Row,16,2060.3,509112650,247110.6,3,328,314.0,none,10|9|147,wZfV4mCYPrTt8KLB,5,1783076193911
Deutzfr,Zekhan,EU,DemonHunter,Vengeance,Annihilator,Tank,Voidscar Arena,12,1319.8,85199148,64556.5,0,315,374.57,timed,9|10|147,bzVnKg2pYLaPw3Ft,13,1783109690452
Mogus,Anasterian,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Voidscar Arena,12,1319.8,61879551,46887.0,0,315,374.57,timed,9|10|147,bzVnKg2pYLaPw3Ft,13,1783109690452
Trindecay,Zekhan,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Voidscar Arena,12,1319.8,207889955,157521.0,0,315,374.57,timed,9|10|147,bzVnKg2pYLaPw3Ft,13,1783109690452
Nightscalie,Lycanthoth,EU,Evoker,Devastation,Scalecommander,DPS,Voidscar Arena,12,1319.8,227736194,172558.8,0,315,374.57,timed,9|10|147,bzVnKg2pYLaPw3Ft,13,1783109690452
Braumritter,Lycanthoth,EU,Evoker,Devastation,Flameshaper,DPS,Voidscar Arena,12,1319.8,209536798,158768.9,2,315,374.57,timed,9|10|147,bzVnKg2pYLaPw3Ft,13,1783109690452
Sharaha,Lycanthoth,US,Monk,Brewmaster,Master of Harmony,Tank,Voidscar Arena,12,2522.1,241562095,95778.6,3,315,,,10|9|147,wg3LZjrQ9C8t7qW1,2,1783046635975
Tradyth,Anasterian,US,Paladin,Holy,Herald of the Sun,Healer,Voidscar Arena,12,2522.1,43803282,17367.9,4,315,,,10|9|147,wg3LZjrQ9C8t7qW1,2,1783046635975
Morkavian,Broxigar,US,Mage,Arcane,Sunfury,DPS,Voidscar Arena,12,2522.1,305668375,121196.5,5,315,,,10|9|147,wg3LZjrQ9C8t7qW1,2,1783046635975
Chrimadile,Benedictus,US,Warrior,Fury,Mountain Thane,DPS,Voidscar Arena,12,2522.1,344902244,136752.6,9,315,,,10|9|147,wg3LZjrQ9C8t7qW1,2,1783046635975
Lijingzhou,Benedictus,US,Paladin,Protection,Lightsmith,Tank,Ruby Life Pools,14,1349.1,180048941,133456.3,0,321,402.27,timed,9|10|147,LdrKVAbFaCk1xDjv,7,1784523140036
Cynpai,Vargoth,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Ruby Life Pools,14,1349.1,116012226,85990.8,0,321,402.27,timed,9|10|147,LdrKVAbFaCk1xDjv,7,1784523140036
隨便溜溜,Anasterian,US,DemonHunter,Devourer,Annihilator,DPS,Ruby Life Pools,14,1349.1,280176421,207673.0,1,321,402.27,timed,9|10|147,LdrKVAbFaCk1xDjv,7,1784523140036
Qingfeng,Lycanthoth,US,Mage,Arcane,Spellslinger,DPS,Ruby Life Pools,14,1349.1,311575198,230946.5,2,321,402.27,timed,9|10|147,LdrKVAbFaCk1xDjv,7,1784523140036
穿名堂,Nobundo,US,Warrior,Arms,Slayer,DPS,Ruby Life Pools,14,1349.1,311197450,230666.5,1,321,402.27,timed,9|10|147,LdrKVAbFaCk1xDjv,7,1784523140036
Samalia,Lycanthoth,US,Paladin,Protection,Lightsmith,Tank,Altar of Fangs,15,1299.8,279149238,214765.4,0,328,,,9|10|147,ndT1WjhAxcKzGwtr,15,1782587559743
Zorthasx,Anasterian,US,Paladin,Holy,Lightsmith,Healer,Altar of Fangs,15,1299.8,181401438,139562.4,2,328,,,9|10|147,ndT1WjhAxcKzGwtr,15,1782587559743
Froststrike,Anasterian,US,DeathKnight,Frost,Deathbringer,DPS,Altar of Fangs,15,1299.8,506635500,389783.5,1,328,,,9|10|147,ndT1WjhAxcKzGwtr,15,1782587559743
Koep,Benedictus,US,Paladin,Retribution,Templar,DPS,Altar of Fangs,15,1299.8,435589487,335123.7,0,328,,,9|10|147,ndT1WjhAxcKzGwtr,15,1782587559743
Monkey,Zekhan,US,Shaman,Enhancement,Stormbringer,DPS,Altar of Fangs,15,1299.8,341925996,263063.1,0,328,,,9|10|147,ndT1WjhAxcKzGwtr,15,1782587559743
Narbington,Broxigar,US,Druid,Guardian,Elune's Chosen,Tank,Altar of Fangs,11,1726.6,140381921,81305.2,3,315,304.41,none,158|10|9,mHPz8CYnah4XKW3R,4,1782696745854
Dìyinglight,Anasterian,US,Paladin,Holy,Herald of the Sun,Healer,Altar of Fangs,11,1726.6,15799539,9150.6,4,315,304.41,none,158|10|9,mHPz8CYnah4XKW3R,4,1782696745854
Babybrain,Broxigar,US,Warlock,Affliction,Soul Harvester,DPS,Altar of Fangs,11,1726.6,448037364,259490.4,4,315,304.41,none,158|10|9,mHPz8CYnah4XKW3R,4,1782696745854
Bingglesmage,Broxigar,US,Mage,Arcane,Sunfury,DPS,Altar of Fangs,11,1726.6,339836432,196823.5,7,315,304.41,none,158|10|9,mHPz8CYnah4XKW3R,4,1782696745854
Isaymomoo,Anasterian,US,Shaman,Enhancement,Stormbringer,DPS,Altar of Fangs,11,1726.6,248704430,144042.5,5,315,304.41,none,158|10|9,mHPz8CYnah4XKW3R,4,1782696745854
Treescort,Broxigar,US,Druid,Guardian,Elune's Chosen,Tank,Voidscar Arena,15,1574.6,202359603,128517.9,1,334,412.06,timed,9|10|147,WJtycHYr7anxAFjT,1,1784151733012
Skyeweaver,Vargoth,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Voidscar Arena,15,1574.6,106187473,67439.3,1,334,412.06,timed,9|10|147,WJtycHYr7anxAFjT,1,1784151733012
Kraig,Anasterian,US,DeathKnight,Frost,Deathbringer,DPS,Voidscar Arena,15,1574.6,334554538,212474.5,2,334,412.06,timed,9|10|147,WJtycHYr7anxAFjT,1,1784151733012
Bestwarrior,Anasterian,US,Warrior,Arms,Colossus,DPS,Voidscar Arena,15,1574.6,340737969,216401.6,2,334,412.06,timed,9|10|147,WJtycHYr7anxAFjT,1,1784151733012
Koldekevin,Nobundo,US,Mage,Arcane,Spellslinger,DPS,Voidscar Arena,15,1574.6,410610372,260777.4,3,334,412.06,timed,9|10|147,WJtycHYr7anxAFjT,1,1784151733012
Rotheia,Lycanthoth,US,DeathKnight,Blood,San'layn,Tank,Murder Row,18,1850.0,291810725,157738.3,0,334,457.27,timed,9|10|147,F8P6frnW42jBktyw,5,1784857766279
Zorthyr,Anasterian,US,Evoker,Preservation,Flameshaper,Healer,Murder Row,18,1850.0,174836200,94507.7,1,334,457.27,timed,9|10|147,F8P6frnW42jBktyw,5,1784857766279
Eroka,Vargoth,US,Warrior,Arms,Slayer,DPS,Murder Row,18,1850.0,544107886,294117.6,0,334,457.27,timed,9|10|147,F8P6frnW42jBktyw,5,1784857766279
Grrahtahtah,Nobundo,US,Hunter,Marksmanship,Dark Ranger,DPS,Murder Row,18,1850.0,605501857,327304.1,0,334,457.27,timed,9|10|147,F8P6frnW42jBktyw,5,1784857766279
Rendordx,Lycanthoth,US,Warlock,Affliction,Soul Harvester,DPS,Murder Row,18,1850.0,466599718,252220.6,4,334,457.27,timed,9|10|147,F8P6frnW42jBktyw,5,1784857766279
Braidynhunt,Benedictus,US,DemonHunter,Vengeance,Annihilator,Tank,Altar of Fangs,12,2030.7,213659107,105215.7,7,321,305.07,none,9|10|147,F6KwtvZ91TVzdALN,7,1784504523553
Мишадыши,Lycanthoth,US,Evoker,Preservation,Flameshaper,Healer,Altar of Fangs,12,2030.7,67603501,33291.1,8,321,305.07,none,9|10|147,F6KwtvZ91TVzdALN,7,1784504523553
Ruinn,Vargoth,US,Shaman,Enhancement,Stormbringer,DPS,Altar of Fangs,12,2030.7,358868173,176723.3,11,321,305.07,none,9|10|147,F6KwtvZ91TVzdALN,7,1784504523553
Trillithia,Broxigar,US,Mage,Frost,Spellslinger,DPS,Altar of Fangs,12,2030.7,321574028,158358.0,8,321,305.07,none,9|10|147,F6KwtvZ91TVzdALN,7,1784504523553
Murtag,Nobundo,US,Warrior,Arms,Colossus,DPS,Altar of Fangs,12,2030.7,335569029,165249.7,9,321,305.07,none,9|10|147,F6KwtvZ91TVzdALN,7,1784504523553
Gyndir,Lycanthoth,EU,DeathKnight,Blood,San'layn,Tank,Murder Row,10,2336.8,306490871,131157.4,1,315,299.06,none,148|10|9,RbmLq3Thkf4JayYZ,2,1783030430621
Phasmaa,Anasterian,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Murder Row,10,2336.8,87668972,37516.4,2,315,299.06,none,148|10|9,RbmLq3Thkf4JayYZ,2,1783030430621
Sowsow,Anasterian,EU,Hunter,BeastMastery,Pack Leader,DPS,Murder Row,10,2336.8,336003543,143786.8,3,315,299.06,none,148|10|9,RbmLq3Thkf4JayYZ,2,1783030430621
Argétlam,Benedictus,EU,DemonHunter,Havoc,Aldrachi Reaver,DPS,Murder Row,10,2336.8,277823305,118889.6,2,315,299.06,none,148|10|9,RbmLq3Thkf4JayYZ,2,1783030430621
Touchingface,Anasterian,US,Paladin,Protection,Unknown,Tank,Kings' Rest,17,2223.1,286726953,128973.4,4,334,311.58,none,10|9|147,X2KJQC9qW4mT1M8v,10,1783565266791
夏诗龙,Anasterian,US,Evoker,Preservation,Unknown,Healer,Kings' Rest,17,2223.1,90981490,40924.6,4,334,311.58,none,10|9|147,X2KJQC9qW4mT1M8v,10,1783565266791
Xfmage,Lycanthoth,US,Mage,Arcane,Unknown,DPS,Kings' Rest,17,2223.1,474518514,213444.4,5,334,311.58,none,10|9|147,X2KJQC9qW4mT1M8v,10,1783565266791
Xululol,Lycanthoth,US,Druid,Balance,Unknown,DPS,Kings' Rest,17,2223.1,400862981,180313.2,6,334,311.58,none,10|9|147,X2KJQC9qW4mT1M8v,10,1783565266791
止戈流是咩,Anasterian,US,DemonHunter,Devourer,Unknown,DPS,Kings' Rest,17,2223.1,436447792,196319.7,6,334,311.58,none,10|9|147,X2KJQC9qW4mT1M8v,10,1783565266791
找个队打,Anasterian,CN,Paladin,Protection,Lightsmith,Tank,Ruby Life Pools,18,1534.8,263706747,171820.8,1,334,460.38,timed,9|10|147,B89yQZrYVz3HmncP,1,1783689705782
Etonice,Broxigar,CN,Paladin,Holy,Herald of the Sun,Healer,Ruby Life Pools,18,1534.8,34887919,22731.6,0,334,460.38,timed,9|10|147,B89yQZrYVz3HmncP,1,1783689705782
Meledi,Nobundo,CN,Mage,Arcane,Spellslinger,DPS,Ruby Life Pools,18,1534.8,446430263,290876.1,0,334,460.38,timed,9|10|147,B89yQZrYVz3HmncP,1,1783689705782
Mengquan,Broxigar,CN,Warlock,Demonology,Diabolist,DPS,Ruby Life Pools,18,1534.8,471965772,307514.0,0,334,460.38,timed,9|10|147,B89yQZrYVz3HmncP,1,1783689705782
网友术顺士,Broxigar,CN,Warlock,Affliction,Soul Harvester,DPS,Ruby Life Pools,18,1534.8,489662452,319044.5,0,334,460.38,timed,9|10|147,B89yQZrYVz3HmncP,1,1783689705782
露易斯,Anasterian,US,Paladin,Protection,Lightsmith,Tank,Altar of Fangs,15,1767.3,242207441,137045.6,1,328,319.6,none,10|9|147,ZrtLqG4m3hXjvVka,3,1782885959413
光猪,Broxigar,US,Priest,Discipline,Oracle,Healer,Altar of Fangs,15,1767.3,56581337,32014.8,2,328,319.6,none,10|9|147,ZrtLqG4m3hXjvVka,3,1782885959413
Tonyzh,Benedictus,US,Evoker,Augmentation,Scalecommander,DPS,Altar of Fangs,15,1767.3,455223033,257573.9,2,328,319.6,none,10|9|147,ZrtLqG4m3hXjvVka,3,1782885959413
Starbig,Anasterian,US,Druid,Balance,Elune's Chosen,DPS,Altar of Fangs,15,1767.3,472949706,267604.0,1,328,319.6,none,10|9|147,ZrtLqG4m3hXjvVka,3,1782885959413
Imworst,Lycanthoth,US,DeathKnight,Frost,Deathbringer,DPS,Altar of Fangs,15,1767.3,459425813,259951.9,0,328,319.6,none,10|9|147,ZrtLqG4m3hXjvVka,3,1782885959413
Tactyks,Benedictus,US,Druid,Guardian,Druid of the Claw,Tank,Altar of Fangs,15,1723.9,185784836,107769.4,1,334,319.27,none,9|10|147,wBGCpNRh7aPW9vtX,6,1784141214953
Wør,Anasterian,US,Shaman,Restoration,Totemic,Healer,Altar of Fangs,15,1723.9,39920144,23156.7,2,334,319.27,none,9|10|147,wBGCpNRh7aPW9vtX,6,1784141214953
Babybrain,Broxigar,US,Warlock,Affliction,Soul Harvester,DPS,Altar of Fangs,15,1723.9,596239027,345864.2,1,334,319.27,none,9|10|147,wBGCpNRh7aPW9vtX,6,1784141214953
Bilbowagons,Broxigar,US,Mage,Fire,Sunfury,DPS,Altar of Fangs,15,1723.9,464142811,269238.3,3,334,319.27,none,9|10|147,wBGCpNRh7aPW9vtX,6,1784141214953
Banshers,Benedictus,US,Hunter,Survival,Sentinel,DPS,Altar of Fangs,15,1723.9,446180292,258818.6,2,334,319.27,none,9|10|147,wBGCpNRh7aPW9vtX,6,1784141214953
Yodafotm,Anasterian,US,Paladin,Protection,Lightsmith,Tank,Ruby Life Pools,18,1372.1,379363290,276478.3,0,334,464.09,timed,9|10|147,NCRxGwz1pTHvmqYy,4,1783817106181
Pookiexo,Broxigar,US,Shaman,Restoration,Totemic,Healer,Ruby Life Pools,18,1372.1,70926604,51691.0,0,334,464.09,timed,9|10|147,NCRxGwz1pTHvmqYy,4,1783817106181
Cocoa,Nobundo,US,DeathKnight,Frost,Deathbringer,DPS,Ruby Life Pools,18,1372.1,496410430,361781.7,0,334,464.09,timed,9|10|147,NCRxGwz1pTHvmqYy,4,1783817106181
Therealjhazy,Anasterian,US,DemonHunter,Devourer,Annihilator,DPS,Ruby Life Pools,18,1372.1,474631592,345909.4,0,334,464.09,timed,9|10|147,NCRxGwz1pTHvmqYy,4,1783817106181
Arandora,Lycanthoth,US,Priest,Shadow,Archon,DPS,Ruby Life Pools,18,1372.1,408082278,297408.5,0,334,464.09,timed,9|10|147,NCRxGwz1pTHvmqYy,4,1783817106181
Ausert,Anasterian,CN,Paladin,Protection,Lightsmith,Tank,Voidscar Arena,16,1435.3,205422678,143126.6,0,328,429.35,timed,10|9|147,fYZ3LBK7mjcxRCr8,12,1783079092575
Medizinmann,Benedictus,CN,Priest,Discipline,Voidweaver,Healer,Voidscar Arena,16,1435.3,84147426,58629.0,2,328,429.35,timed,10|9|147,fYZ3LBK7mjcxRCr8,12,1783079092575
Messdk,Broxigar,CN,DeathKnight,Frost,Deathbringer,DPS,Voidscar Arena,16,1435.3,359816528,250699.2,2,328,429.35,timed,10|9|147,fYZ3LBK7mjcxRCr8,12,1783079092575
Srtqqe,Broxigar,CN,Shaman,Enhancement,Stormbringer,DPS,Voidscar Arena,16,1435.3,321851125,224247.1,3,328,429.35,timed,10|9|147,fYZ3LBK7mjcxRCr8,12,1783079092575
Tonyzh,Benedictus,CN,Evoker,Augmentation,Scalecommander,DPS,Voidscar Arena,16,1435.3,334230449,232872.3,4,328,429.35,timed,10|9|147,fYZ3LBK7mjcxRCr8,12,1783079092575
Gebht,Zekhan,US,Paladin,Protection,Lightsmith,Tank,Ruby Life Pools,12,1480.6,214472440,144858.4,0,321,371.51,timed,9|10|147,PKcxfbDFCvj947yg,7,1783798345728
Flamingdisc,Benedictus,US,Priest,Discipline,Oracle,Healer,Ruby Life Pools,12,1480.6,40866938,27602.2,0,321,371.51,timed,9|10|147,PKcxfbDFCvj947yg,7,1783798345728
Csakbetûk,Lycanthoth,US,Druid,Balance,Elune's Chosen,DPS,Ruby Life Pools,12,1480.6,263547457,178004.5,1,321,371.51,timed,9|10|147,PKcxfbDFCvj947yg,7,1783798345728
Jhunter,Nobundo,US,Hunter,Marksmanship,Dark Ranger,DPS,Ruby Life Pools,12,1480.6,267590850,180735.5,0,321,371.51,timed,9|10|147,PKcxfbDFCvj947yg,7,1783798345728
Aúra,Zekhan,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Ruby Life Pools,12,1480.6,180998485,122249.5,0,321,371.51,timed,9|10|147,PKcxfbDFCvj947yg,7,1783798345728
小知恩,Anasterian,EU,Paladin,Protection,Lightsmith,Tank,Kings' Rest,16,2447.2,311603672,127333.1,3,334,311.03,none,10|9|147,KNgp3vFjnqtxz4w2,5,1783602040672
白饭防骑,Anasterian,EU,Paladin,Holy,Herald of the Sun,Healer,Kings' Rest,16,2447.2,42739348,17464.9,3,334,311.03,none,10|9|147,KNgp3vFjnqtxz4w2,5,1783602040672
阿丶飞,Anasterian,EU,DemonHunter,Devourer,Annihilator,DPS,Kings' Rest,16,2447.2,430092047,175751.9,2,334,311.03,none,10|9|147,KNgp3vFjnqtxz4w2,5,1783602040672
宿命本找我,Benedictus,EU,DeathKnight,Frost,Deathbringer,DPS,Kings' Rest,16,2447.2,296844556,121302.0,5,334,311.03,none,10|9|147,KNgp3vFjnqtxz4w2,5,1783602040672
Sorensonhall,Anasterian,EU,Hunter,BeastMastery,Pack Leader,DPS,Kings' Rest,16,2447.2,418385097,170968.0,2,334,311.03,none,10|9|147,KNgp3vFjnqtxz4w2,5,1783602040672
Shachi,Nobundo,US,Monk,Brewmaster,Master of Harmony,Tank,Altar of Fangs,16,1797.9,236434961,131508.5,0,328,,,9|10|147,ApkatMTm2rwVJbZz,6,1782430408835
Toixic,Nobundo,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Altar of Fangs,16,1797.9,109861769,61106.7,0,328,,,9|10|147,ApkatMTm2rwVJbZz,6,1782430408835
Namswoam,Anasterian,US,DemonHunter,Havoc,Aldrachi Reaver,DPS,Altar of Fangs,16,1797.9,364898150,202961.6,0,328,,,9|10|147,ApkatMTm2rwVJbZz,6,1782430408835
Froststrike,Anasterian,US,DeathKnight,Frost,Deathbringer,DPS,Altar of Fangs,16,1797.9,596766801,331930.3,1,328,,,9|10|147,ApkatMTm2rwVJbZz,6,1782430408835
