dungeon,runs,parses,characters,timer_s,timed_run_pct,avg_duration_s,avg_key,min_key,max_key,avg_deaths_per_player
Altar of Fangs,2952,14760,12189,1800,91.2,1384.0,9.3,2,14,0.71
Den of Nalorakk,2920,14600,12806,1920,91.0,1474.0,9.4,2,14,0.68
Kings' Rest,2892,14460,12544,1980,93.8,1465.0,9.5,2,15,0.7
Murder Row,3188,15940,12892,2040,92.5,1494.0,9.5,2,15,0.66
Ruby Life Pools,2914,14570,12918,1680,93.9,1220.0,9.3,2,16,0.62
Temple of Sethraliss,2989,14945,12864,1920,93.7,1419.0,9.5,2,15,0.68
The Blinding Vale,2897,14485,12443,1800,92.4,1339.0,9.4,2,14,0.71
Voidscar Arena,2940,14700,12565,1800,91.5,1311.0,9.4,2,14,0.92
