subset,class,spec,role,key_level,parses,runs,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
timed,Warlock,Destruction,DPS,15,39,39,246074,232694,307492,1.38,23.1,333.5
timed,Warlock,Destruction,DPS,16,18,18,246269,245828,282284,0.83,55.6,334.0
timed,Warlock,Destruction,DPS,17,11,11,286425,271144,357361,0.91,36.4,334.0
timed,Warlock,Destruction,DPS,18,10,10,299994,304974,366004,1.4,20.0,334.0
timed,Warlock,Destruction,DPS,19,5,5,343407,343254,374189,1.0,20.0,334.0
timed,Warrior,Arms,DPS,10,17,17,186038,176882,251894,2.0,11.8,321.0
timed,Warrior,Arms,DPS,12,91,91,200032,199256,251304,1.15,39.6,320.7
timed,Warrior,Arms,DPS,13,3,3,198341,219887,235434,0.33,66.7,321.0
timed,Warrior,Arms,DPS,14,9,9,234358,232784,260021,1.67,0.0,321.0
timed,Warrior,Arms,DPS,15,258,256,257652,255753,319866,1.31,31.0,333.1
timed,Warrior,Arms,DPS,16,95,93,277663,286460,339821,1.35,29.5,333.6
timed,Warrior,Arms,DPS,17,70,70,278152,280878,341516,1.41,28.6,333.4
timed,Warrior,Arms,DPS,18,177,177,316543,318391,381831,1.2,33.9,333.5
timed,Warrior,Arms,DPS,19,92,92,351026,348522,411194,1.18,25.0,334.0
timed,Warrior,Arms,DPS,20,62,62,360313,365556,420948,1.15,35.5,333.7
timed,Warrior,Arms,DPS,21,3,3,416105,394818,445924,0.0,100.0,334.0
timed,Warrior,Fury,DPS,10,1,1,176685,176685,176685,2.0,0.0,321.0
timed,Warrior,Fury,DPS,12,24,24,185190,192752,221338,2.62,4.2,318.8
timed,Warrior,Fury,DPS,14,1,1,171488,171488,171488,0.0,100.0,321.0
timed,Warrior,Fury,DPS,15,25,25,222054,221739,271700,1.88,28.0,331.1
timed,Warrior,Fury,DPS,16,7,7,249948,252693,279425,0.0,100.0,334.0
timed,Warrior,Fury,DPS,17,8,8,221420,231730,233860,2.0,0.0,331.8
timed,Warrior,Fury,DPS,18,3,3,314346,312048,317570,0.33,66.7,334.0
timed,Warrior,Protection,Tank,10,4,4,108915,115404,120892,0.0,100.0,319.5
timed,Warrior,Protection,Tank,12,27,27,109064,111247,145583,0.48,66.7,319.0
timed,Warrior,Protection,Tank,13,1,1,123904,123904,123904,0.0,100.0,321.0
timed,Warrior,Protection,Tank,15,44,44,120690,118599,153700,0.41,65.9,331.4
timed,Warrior,Protection,Tank,16,25,25,145364,136601,189118,0.12,92.0,330.9
timed,Warrior,Protection,Tank,17,14,14,131480,130885,142589,0.36,64.3,332.7
timed,Warrior,Protection,Tank,18,35,35,157348,158621,191172,0.09,91.4,331.1
timed,Warrior,Protection,Tank,19,26,26,177796,184190,228926,0.42,65.4,332.8
