run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
21600,48017,Paladin,Protection,Lightsmith,Tank,EU,Voidscar Arena,4,1,1006.6,79136,1,289,2026-08-20,0,-1,998.0,44.6
21600,48018,Priest,Discipline,Oracle,Healer,EU,Voidscar Arena,4,1,1006.6,10076,1,284,2026-08-20,0,-1,998.0,44.6
21600,48019,Hunter,BeastMastery,Pack Leader,DPS,EU,Voidscar Arena,4,1,1006.6,126960,3,295,2026-08-20,0,-1,998.0,44.6
21600,48020,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,4,1,1006.6,127969,2,300,2026-08-20,0,-1,998.0,44.6
21600,48021,Warrior,Arms,Slayer,DPS,EU,Voidscar Arena,4,1,1006.6,114905,4,286,2026-08-20,0,-1,998.0,44.6
21601,48010,DeathKnight,Blood,Unknown,Tank,CN,Kings' Rest,2,1,1046.7,60356,0,292,2026-08-20,0,-1,1038.0,47.6
21601,48011,Paladin,Holy,Unknown,Healer,CN,Kings' Rest,2,1,1046.7,16600,0,284,2026-08-20,0,-1,1038.0,47.6
21601,48012,Mage,Arcane,Unknown,DPS,CN,Kings' Rest,2,1,1046.7,100151,0,286,2026-08-20,0,-1,1038.0,47.6
21601,48022,Warrior,Arms,Unknown,DPS,CN,Kings' Rest,2,1,1046.7,84630,0,285,2026-08-20,0,-1,1038.0,47.6
21601,48013,Priest,Shadow,Unknown,DPS,CN,Kings' Rest,2,1,1046.7,88372,0,284,2026-08-20,0,-1,1038.0,47.6
21602,19175,DeathKnight,Blood,Deathbringer,Tank,EU,Voidscar Arena,13,1,1590.9,106089,2,306,2026-08-19,0,-1,1702.0,5.4
21602,23437,Priest,Holy,Archon,Healer,EU,Voidscar Arena,13,1,1590.9,22110,0,294,2026-08-19,0,-1,1702.0,5.4
21602,19210,Shaman,Elemental,Farseer,DPS,EU,Voidscar Arena,13,1,1590.9,186426,1,302,2026-08-19,0,-1,1702.0,5.4
21602,18224,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,13,1,1590.9,207684,1,300,2026-08-19,0,-1,1702.0,5.4
21602,19379,Druid,Balance,Elune's Chosen,DPS,EU,Voidscar Arena,13,1,1590.9,199822,4,301,2026-08-19,0,-1,1702.0,5.4
21603,47127,DeathKnight,Blood,Deathbringer,Tank,US,Kings' Rest,5,1,1115.4,66562,1,301,2026-08-20,0,-1,1107.0,44.1
21603,47128,Paladin,Holy,Herald of the Sun,Healer,US,Kings' Rest,5,1,1115.4,29561,0,298,2026-08-20,0,-1,1107.0,44.1
