subset,class,spec,role,dungeon,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
timed,DemonHunter,Devourer,DPS,Temple of Sethraliss,3183,3131,2341,160790,162944,208686,1.14,36.4,294.9
timed,DemonHunter,Devourer,DPS,The Blinding Vale,2991,2939,2255,174933,175509,222749,1.21,37.3,294.8
timed,DemonHunter,Devourer,DPS,Voidscar Arena,3328,3283,2397,157596,157840,202568,1.4,33.0,295.2
timed,DemonHunter,Havoc,DPS,Altar of Fangs,1122,1118,906,162797,166000,217106,0.98,42.7,293.2
timed,DemonHunter,Havoc,DPS,Den of Nalorakk,1096,1082,911,127902,131039,169876,0.89,45.4,292.7
timed,DemonHunter,Havoc,DPS,Kings' Rest,1342,1325,1051,108256,110080,140910,1.12,40.1,293.1
timed,DemonHunter,Havoc,DPS,Murder Row,1440,1430,1090,145709,147521,195188,0.9,46.8,293.4
timed,DemonHunter,Havoc,DPS,Ruby Life Pools,1298,1286,1065,151741,152836,198169,0.71,55.2,292.6
timed,DemonHunter,Havoc,DPS,Temple of Sethraliss,1378,1365,1085,148397,150428,199501,0.82,49.3,293.2
timed,DemonHunter,Havoc,DPS,The Blinding Vale,1282,1272,1013,159377,162175,207991,0.96,44.6,293.3
timed,DemonHunter,Havoc,DPS,Voidscar Arena,1250,1242,1001,143438,143787,190360,1.05,44.2,293.2
timed,DemonHunter,Vengeance,Tank,Altar of Fangs,1518,1518,1099,99682,99942,132324,0.52,66.0,294.4
timed,DemonHunter,Vengeance,Tank,Den of Nalorakk,1439,1439,1129,78366,77737,104648,0.31,76.4,293.5
timed,DemonHunter,Vengeance,Tank,Kings' Rest,1519,1519,1195,69032,68829,90714,0.45,70.7,293.3
timed,DemonHunter,Vengeance,Tank,Murder Row,2070,2070,1390,87041,87334,117309,0.44,72.6,294.7
timed,DemonHunter,Vengeance,Tank,Ruby Life Pools,1499,1499,1219,93803,93203,123041,0.5,68.4,292.9
timed,DemonHunter,Vengeance,Tank,Temple of Sethraliss,1552,1552,1220,88050,88032,116745,0.31,76.7,293.6
timed,DemonHunter,Vengeance,Tank,The Blinding Vale,1468,1468,1144,95747,95116,126880,0.26,82.0,293.5
timed,DemonHunter,Vengeance,Tank,Voidscar Arena,1619,1619,1222,86897,86732,116795,0.61,61.5,293.9
timed,Druid,Balance,DPS,Altar of Fangs,3748,3715,2563,168093,171040,221364,1.05,42.5,294.6
timed,Druid,Balance,DPS,Den of Nalorakk,3125,3094,2485,128719,129111,168296,0.89,46.5,293.3
timed,Druid,Balance,DPS,Kings' Rest,3376,3335,2652,113303,114946,144025,1.0,43.6,293.3
timed,Druid,Balance,DPS,Murder Row,3993,3956,2782,144309,145263,192542,0.7,58.1,293.9
timed,Druid,Balance,DPS,Ruby Life Pools,3314,3283,2673,148106,148204,190985,0.93,49.1,292.9
timed,Druid,Balance,DPS,Temple of Sethraliss,3442,3403,2667,142488,144446,186635,1.0,43.3,293.6
timed,Druid,Balance,DPS,The Blinding Vale,3228,3190,2546,156340,157588,200789,0.96,48.7,293.4
timed,Druid,Balance,DPS,Voidscar Arena,3362,3329,2578,145596,146576,191510,1.43,33.0,293.5
timed,Druid,Feral,DPS,Altar of Fangs,627,625,469,179492,180260,238701,0.98,43.1,294.2
timed,Druid,Feral,DPS,Den of Nalorakk,672,668,542,137645,138078,184229,0.84,49.9,293.9
timed,Druid,Feral,DPS,Kings' Rest,726,717,579,112187,113264,144958,1.09,41.2,293.6
timed,Druid,Feral,DPS,Murder Row,756,752,583,144657,144746,194924,0.8,53.2,293.5
timed,Druid,Feral,DPS,Ruby Life Pools,669,668,561,159589,159088,209750,0.8,53.8,293.1
timed,Druid,Feral,DPS,Temple of Sethraliss,695,691,564,147862,149482,201793,1.01,41.7,293.2
timed,Druid,Feral,DPS,The Blinding Vale,672,668,536,165963,165588,218404,1.03,42.0,294.1
timed,Druid,Feral,DPS,Voidscar Arena,684,681,552,150380,150906,197438,1.24,37.9,293.3
timed,Druid,Guardian,Tank,Altar of Fangs,2394,2394,1763,88673,88042,119505,0.47,66.7,294.6
timed,Druid,Guardian,Tank,Den of Nalorakk,2267,2267,1839,69112,68619,91061,0.23,81.3,293.9
timed,Druid,Guardian,Tank,Kings' Rest,2390,2390,1876,60554,60134,77953,0.47,65.7,294.0
timed,Druid,Guardian,Tank,Murder Row,2807,2807,2037,75614,74637,102539,0.49,66.6,294.2
timed,Druid,Guardian,Tank,Ruby Life Pools,2321,2321,1846,83567,82395,111224,0.42,71.7,293.6
timed,Druid,Guardian,Tank,Temple of Sethraliss,2297,2297,1814,77415,77275,103555,0.39,69.7,293.9
timed,Druid,Guardian,Tank,The Blinding Vale,2249,2249,1800,85192,83818,111427,0.27,79.4,293.8
timed,Druid,Guardian,Tank,Voidscar Arena,2369,2369,1848,77920,76795,104850,0.42,68.9,294.1
timed,Druid,Restoration,Healer,Altar of Fangs,1322,1322,1019,10766,8284,20722,1.1,39.2,293.1
timed,Druid,Restoration,Healer,Den of Nalorakk,1313,1313,1091,9750,7773,18208,1.05,41.7,292.2
timed,Druid,Restoration,Healer,Kings' Rest,1353,1353,1084,10100,8373,19339,1.23,38.2,292.6
timed,Druid,Restoration,Healer,Murder Row,1713,1713,1299,10263,8115,18848,0.7,56.7,293.0
timed,Druid,Restoration,Healer,Ruby Life Pools,1367,1367,1131,10821,8254,20827,0.9,51.0,292.3
timed,Druid,Restoration,Healer,Temple of Sethraliss,1507,1507,1188,9248,7163,17531,1.12,39.9,292.8
timed,Druid,Restoration,Healer,The Blinding Vale,1391,1391,1124,10638,8113,20915,0.95,47.9,292.4
timed,Druid,Restoration,Healer,Voidscar Arena,1442,1442,1127,10892,8598,20606,1.19,37.6,293.0
timed,Evoker,Augmentation,DPS,Altar of Fangs,535,535,412,135248,137678,182972,0.86,47.3,293.6
timed,Evoker,Augmentation,DPS,Den of Nalorakk,533,533,429,106698,109283,142131,0.61,61.7,292.9
timed,Evoker,Augmentation,DPS,Kings' Rest,615,615,489,92639,93370,123160,0.7,58.5,292.2
timed,Evoker,Augmentation,DPS,Murder Row,706,706,506,120991,122330,164256,0.49,67.1,293.0
timed,Evoker,Augmentation,DPS,Ruby Life Pools,608,608,483,126506,126266,170304,0.66,62.5,292.1
timed,Evoker,Augmentation,DPS,Temple of Sethraliss,680,680,525,117347,119887,154963,0.52,66.0,293.6
timed,Evoker,Augmentation,DPS,The Blinding Vale,566,566,458,132173,133399,172172,0.57,64.3,292.5
timed,Evoker,Augmentation,DPS,Voidscar Arena,644,644,488,119278,118927,157454,1.11,44.4,293.1
timed,Evoker,Devastation,DPS,Altar of Fangs,1653,1611,1006,188547,191128,238790,1.16,37.9,295.6
timed,Evoker,Devastation,DPS,Den of Nalorakk,1347,1332,1055,139662,141202,177713,1.07,39.0,294.2
timed,Evoker,Devastation,DPS,Kings' Rest,1334,1313,1019,125128,126578,154634,1.14,39.4,294.4
timed,Evoker,Devastation,DPS,Murder Row,1720,1691,1133,160417,162704,203773,0.83,50.3,295.1
timed,Evoker,Devastation,DPS,Ruby Life Pools,1427,1405,1085,171018,171741,215371,1.05,43.4,294.5
timed,Evoker,Devastation,DPS,Temple of Sethraliss,1546,1510,1119,163444,164850,208120,1.06,39.5,295.1
timed,Evoker,Devastation,DPS,The Blinding Vale,1384,1367,1043,178171,178824,223322,1.06,44.5,294.7
timed,Evoker,Devastation,DPS,Voidscar Arena,1522,1490,1061,160775,162874,203883,1.41,31.9,295.1
timed,Evoker,Preservation,Healer,Altar of Fangs,1584,1584,1068,34082,33224,49566,1.33,33.5,294.5
timed,Evoker,Preservation,Healer,Den of Nalorakk,1273,1273,1026,27715,27258,40765,1.18,36.6,293.5
timed,Evoker,Preservation,Healer,Kings' Rest,1481,1481,1136,25716,25031,37496,1.35,34.2,293.3
timed,Evoker,Preservation,Healer,Murder Row,1919,1919,1262,29803,29291,43729,0.91,49.0,294.0
timed,Evoker,Preservation,Healer,Ruby Life Pools,1532,1532,1185,30837,30417,44839,1.17,41.3,293.0
timed,Evoker,Preservation,Healer,Temple of Sethraliss,1582,1582,1126,27979,27101,41356,1.34,34.5,294.2
timed,Evoker,Preservation,Healer,The Blinding Vale,1522,1522,1131,32020,31358,47261,1.25,38.6,293.7
timed,Evoker,Preservation,Healer,Voidscar Arena,1405,1405,1046,29470,28874,43432,1.49,31.0,293.8
timed,Hunter,BeastMastery,DPS,Altar of Fangs,3518,3419,2783,158349,160220,201850,1.18,39.0,294.2
timed,Hunter,BeastMastery,DPS,Den of Nalorakk,3497,3385,2894,125387,126336,158552,0.98,43.5,293.9
timed,Hunter,BeastMastery,DPS,Kings' Rest,4291,4172,3402,115882,117522,143461,1.09,41.0,294.2
timed,Hunter,BeastMastery,DPS,Murder Row,4203,4077,3236,136653,139185,173636,0.68,57.3,294.2
timed,Hunter,BeastMastery,DPS,Ruby Life Pools,3952,3837,3261,152088,153300,189077,0.95,49.3,293.7
timed,Hunter,BeastMastery,DPS,Temple of Sethraliss,4184,4066,3254,146695,148117,189045,0.98,43.6,294.5
timed,Hunter,BeastMastery,DPS,The Blinding Vale,3858,3757,3125,160565,161532,199064,0.93,49.5,294.1
timed,Hunter,BeastMastery,DPS,Voidscar Arena,3754,3648,3017,143458,144450,181265,1.65,28.7,294.1
timed,Hunter,Marksmanship,DPS,Altar of Fangs,1465,1439,1075,169315,171458,219997,1.12,40.3,294.8
timed,Hunter,Marksmanship,DPS,Den of Nalorakk,1311,1303,1082,130590,132557,169597,0.89,46.8,294.2
timed,Hunter,Marksmanship,DPS,Kings' Rest,1554,1542,1182,115685,117379,144966,0.97,43.4,294.6
timed,Hunter,Marksmanship,DPS,Murder Row,2081,2049,1377,153329,154600,199929,0.71,55.2,295.2
timed,Hunter,Marksmanship,DPS,Ruby Life Pools,1480,1463,1190,157214,158561,198294,0.92,49.6,294.1
timed,Hunter,Marksmanship,DPS,Temple of Sethraliss,1769,1749,1249,153690,156348,198641,0.97,43.9,295.6
timed,Hunter,Marksmanship,DPS,The Blinding Vale,1445,1430,1104,165671,166771,207076,0.92,48.3,294.6
timed,Hunter,Marksmanship,DPS,Voidscar Arena,1530,1509,1168,147558,147932,191020,1.36,35.0,294.5
timed,Hunter,Survival,DPS,Altar of Fangs,591,591,462,152718,154507,194686,1.03,42.1,294.3
timed,Hunter,Survival,DPS,Den of Nalorakk,537,535,460,119924,120135,151865,0.78,50.1,293.6
timed,Hunter,Survival,DPS,Kings' Rest,591,590,484,108335,108381,134333,1.0,43.8,294.3
timed,Hunter,Survival,DPS,Murder Row,662,661,518,131228,131180,169946,0.77,54.7,294.2
timed,Hunter,Survival,DPS,Ruby Life Pools,547,547,461,143828,144316,180365,0.96,47.3,293.3
timed,Hunter,Survival,DPS,Temple of Sethraliss,609,605,481,138716,139860,177026,0.92,47.5,294.2
timed,Hunter,Survival,DPS,The Blinding Vale,609,606,513,152248,152760,190546,0.86,48.4,293.8
timed,Hunter,Survival,DPS,Voidscar Arena,550,549,458,134075,134502,168078,1.08,41.6,293.9
timed,Mage,Arcane,DPS,Altar of Fangs,8119,7845,5847,173492,174708,225977,1.12,37.7,294.2
timed,Mage,Arcane,DPS,Den of Nalorakk,7943,7642,6169,139736,140570,180077,0.98,41.9,293.8
timed,Mage,Arcane,DPS,Kings' Rest,8633,8322,6560,122691,123101,157310,1.04,41.0,293.6
timed,Mage,Arcane,DPS,Murder Row,12091,11565,7616,156637,157913,204870,0.79,52.2,294.8
timed,Mage,Arcane,DPS,Ruby Life Pools,8453,8151,6558,164487,163667,210949,0.86,50.4,293.1
timed,Mage,Arcane,DPS,Temple of Sethraliss,8328,8040,6414,152191,152868,200537,1.01,41.8,293.6
timed,Mage,Arcane,DPS,The Blinding Vale,8278,7978,6337,173163,173150,221171,1.03,43.3,293.6
timed,Mage,Arcane,DPS,Voidscar Arena,8408,8138,6288,153831,153523,198838,1.4,33.3,294.0
timed,Mage,Fire,DPS,Altar of Fangs,219,219,164,175566,177794,249814,1.03,46.6,293.2
timed,Mage,Fire,DPS,Den of Nalorakk,195,195,164,135222,131601,189053,0.79,54.4,292.5
timed,Mage,Fire,DPS,Kings' Rest,215,215,177,114174,114943,153590,0.66,59.1,291.9
timed,Mage,Fire,DPS,Murder Row,239,238,186,146404,148815,200786,0.59,65.7,293.0
timed,Mage,Fire,DPS,Ruby Life Pools,186,186,147,154752,153408,211122,0.58,65.1,291.3
timed,Mage,Fire,DPS,Temple of Sethraliss,182,182,158,143300,144264,197348,0.54,63.7,292.1
timed,Mage,Fire,DPS,The Blinding Vale,213,213,167,159295,155545,220935,0.65,65.7,292.2
timed,Mage,Fire,DPS,Voidscar Arena,227,227,180,147762,142045,211704,1.19,46.3,291.4
timed,Mage,Frost,DPS,Altar of Fangs,705,697,620,132479,132452,180238,1.08,40.3,292.1
timed,Mage,Frost,DPS,Den of Nalorakk,711,704,649,112091,114832,147307,1.18,37.1,292.0
timed,Mage,Frost,DPS,Kings' Rest,770,762,670,106450,108222,138080,1.12,39.6,292.2
timed,Mage,Frost,DPS,Murder Row,865,858,735,121758,123049,163023,0.79,52.7,292.3
timed,Mage,Frost,DPS,Ruby Life Pools,819,815,725,138504,139877,178816,0.83,51.6,292.2
timed,Mage,Frost,DPS,Temple of Sethraliss,823,821,721,123237,124137,165492,1.1,40.8,292.4
timed,Mage,Frost,DPS,The Blinding Vale,801,795,710,142805,145700,184787,1.04,45.8,291.9
timed,Mage,Frost,DPS,Voidscar Arena,775,763,664,126275,126434,168420,1.4,33.8,292.6
timed,Monk,Brewmaster,Tank,Altar of Fangs,1136,1136,864,84826,84264,112088,0.83,50.8,293.5
timed,Monk,Brewmaster,Tank,Den of Nalorakk,1116,1116,888,70864,70380,92118,0.43,68.4,293.3
timed,Monk,Brewmaster,Tank,Kings' Rest,1255,1255,995,65113,65894,82760,0.71,56.5,293.2
timed,Monk,Brewmaster,Tank,Murder Row,1499,1499,1089,76748,76712,99648,0.55,64.6,293.6
timed,Monk,Brewmaster,Tank,Ruby Life Pools,1158,1158,948,84109,83415,109342,0.81,55.7,293.2
timed,Monk,Brewmaster,Tank,Temple of Sethraliss,1210,1210,933,78552,77926,103660,0.49,64.3,293.3
timed,Monk,Brewmaster,Tank,The Blinding Vale,1168,1168,908,85386,84722,111380,0.45,69.1,293.5
timed,Monk,Brewmaster,Tank,Voidscar Arena,1200,1200,927,78303,78111,101665,0.82,50.7,293.8
timed,Monk,Mistweaver,Healer,Altar of Fangs,1966,1966,1463,39967,40812,53348,0.88,47.6,293.1
timed,Monk,Mistweaver,Healer,Den of Nalorakk,1902,1902,1481,33648,34380,44129,0.7,54.2,293.0
timed,Monk,Mistweaver,Healer,Kings' Rest,1978,1978,1577,29500,29908,39071,1.0,43.7,293.0
timed,Monk,Mistweaver,Healer,Murder Row,2199,2199,1639,35046,35704,46575,0.72,56.4,293.3
timed,Monk,Mistweaver,Healer,Ruby Life Pools,1908,1908,1542,38901,39544,51107,0.8,53.4,292.5
timed,Monk,Mistweaver,Healer,Temple of Sethraliss,1787,1787,1436,34846,35481,46475,0.78,49.7,293.3
timed,Monk,Mistweaver,Healer,The Blinding Vale,1842,1842,1476,40250,40796,52329,0.74,55.8,293.0
timed,Monk,Mistweaver,Healer,Voidscar Arena,1950,1950,1552,36363,36886,47713,0.82,50.4,293.2
timed,Monk,Windwalker,DPS,Altar of Fangs,1948,1937,1477,159533,160334,209160,1.01,42.6,294.3
timed,Monk,Windwalker,DPS,Den of Nalorakk,1928,1912,1553,127440,128584,162808,0.81,49.2,293.9
timed,Monk,Windwalker,DPS,Kings' Rest,2011,1998,1581,108948,108872,139877,1.06,43.1,293.7
timed,Monk,Windwalker,DPS,Murder Row,2273,2260,1675,137838,138146,180309,0.9,47.9,294.3
timed,Monk,Windwalker,DPS,Ruby Life Pools,1912,1897,1519,150399,149592,192824,1.1,43.0,293.6
timed,Monk,Windwalker,DPS,Temple of Sethraliss,2043,2029,1623,143080,143903,188627,0.93,45.7,293.9
timed,Monk,Windwalker,DPS,The Blinding Vale,2051,2043,1577,152907,153427,197131,0.98,44.2,294.0
timed,Monk,Windwalker,DPS,Voidscar Arena,1925,1914,1520,139469,138067,183210,1.18,39.1,294.3
timed,Paladin,Holy,Healer,Altar of Fangs,5692,5692,4312,18193,16704,29494,0.88,46.7,292.8
timed,Paladin,Holy,Healer,Den of Nalorakk,5259,5258,4240,16666,15486,27002,0.72,54.7,292.3
timed,Paladin,Holy,Healer,Kings' Rest,5919,5917,4634,15680,14588,25813,0.75,52.7,292.1
timed,Paladin,Holy,Healer,Murder Row,6841,6840,4979,16699,14870,28192,0.61,60.6,292.7
timed,Paladin,Holy,Healer,Ruby Life Pools,5736,5736,4554,18147,16824,29623,0.76,54.9,291.9
timed,Paladin,Holy,Healer,Temple of Sethraliss,5790,5790,4512,15849,14518,26384,0.81,50.5,292.5
timed,Paladin,Holy,Healer,The Blinding Vale,5789,5789,4485,17379,15931,28767,0.67,57.6,292.6
timed,Paladin,Holy,Healer,Voidscar Arena,5768,5768,4493,16524,15036,27492,0.86,49.9,292.3
timed,Paladin,Protection,Tank,Altar of Fangs,4722,4722,3479,91946,91948,120987,0.54,62.0,293.5
timed,Paladin,Protection,Tank,Den of Nalorakk,4210,4210,3347,73421,73536,94325,0.3,76.2,293.0
timed,Paladin,Protection,Tank,Kings' Rest,4546,4545,3564,63409,63120,81722,0.45,66.7,292.8
timed,Paladin,Protection,Tank,Murder Row,5582,5582,4098,78791,78258,103154,0.36,73.4,293.2
timed,Paladin,Protection,Tank,Ruby Life Pools,4916,4916,3858,87536,87076,113126,0.56,62.1,292.6
timed,Paladin,Protection,Tank,Temple of Sethraliss,4716,4716,3601,82454,82307,108065,0.36,71.7,293.1
timed,Paladin,Protection,Tank,The Blinding Vale,4617,4617,3579,89267,89121,114695,0.28,78.8,293.1
timed,Paladin,Protection,Tank,Voidscar Arena,4751,4751,3681,79900,79473,104384,0.5,64.5,293.2
timed,Paladin,Retribution,DPS,Altar of Fangs,3954,3855,3162,166311,167462,221738,1.04,41.9,294.0
timed,Paladin,Retribution,DPS,Den of Nalorakk,3888,3794,3246,132384,134016,171229,0.78,50.9,293.8
timed,Paladin,Retribution,DPS,Kings' Rest,4157,4068,3433,113799,114476,146071,0.84,49.0,293.6
timed,Paladin,Retribution,DPS,Murder Row,4563,4442,3567,141107,142191,185144,0.76,53.7,293.8
timed,Paladin,Retribution,DPS,Ruby Life Pools,4517,4366,3726,157381,157575,201842,0.86,51.7,293.5
timed,Paladin,Retribution,DPS,Temple of Sethraliss,4157,4046,3424,145177,146638,190630,0.87,48.0,293.6
timed,Paladin,Retribution,DPS,The Blinding Vale,4300,4177,3465,162281,163244,207049,0.83,51.4,294.0
timed,Paladin,Retribution,DPS,Voidscar Arena,4090,3966,3366,145893,147200,187980,1.01,45.0,293.9
timed,Priest,Discipline,Healer,Altar of Fangs,2065,2065,1542,17226,16242,24093,1.0,43.7,293.9
timed,Priest,Discipline,Healer,Den of Nalorakk,1875,1875,1524,14623,14123,19581,0.91,47.6,293.4
timed,Priest,Discipline,Healer,Kings' Rest,2106,2106,1692,14770,14251,19612,0.96,44.9,293.3
timed,Priest,Discipline,Healer,Murder Row,2656,2656,1879,16303,15556,22542,0.66,58.1,294.0
timed,Priest,Discipline,Healer,Ruby Life Pools,2015,2015,1608,16595,15662,22118,0.93,51.1,293.0
timed,Priest,Discipline,Healer,Temple of Sethraliss,2017,2017,1586,14012,13347,18962,1.13,38.9,293.5
timed,Priest,Discipline,Healer,The Blinding Vale,1956,1956,1571,17435,16532,23600,0.8,53.6,293.4
timed,Priest,Discipline,Healer,Voidscar Arena,2159,2159,1673,16824,15999,23285,1.08,42.2,293.7
timed,Priest,Holy,Healer,Altar of Fangs,1499,1499,1124,21915,21305,36030,0.39,73.0,293.9
timed,Priest,Holy,Healer,Den of Nalorakk,1311,1311,1083,18278,18021,30047,0.45,69.6,293.3
timed,Priest,Holy,Healer,Kings' Rest,1482,1482,1187,17123,16987,27422,0.38,73.8,293.3
timed,Priest,Holy,Healer,Murder Row,1824,1824,1355,19063,18260,31548,0.29,79.5,293.7
timed,Priest,Holy,Healer,Ruby Life Pools,1433,1433,1172,18808,17783,32201,0.34,76.2,293.0
timed,Priest,Holy,Healer,Temple of Sethraliss,1627,1627,1293,17941,17088,30375,0.42,71.9,293.7
timed,Priest,Holy,Healer,The Blinding Vale,1472,1472,1204,20994,20275,34941,0.27,81.3,293.3
timed,Priest,Holy,Healer,Voidscar Arena,1585,1585,1290,19403,19021,31806,0.48,69.3,293.7
timed,Priest,Shadow,DPS,Altar of Fangs,2388,2356,1704,169939,174113,222441,0.98,44.3,294.1
timed,Priest,Shadow,DPS,Den of Nalorakk,1953,1937,1576,129242,130924,167842,0.99,44.8,293.3
timed,Priest,Shadow,DPS,Kings' Rest,2349,2320,1798,115209,116698,146846,0.99,44.5,293.4
timed,Priest,Shadow,DPS,Murder Row,2854,2816,1954,150253,153211,197472,0.68,58.1,294.1
timed,Priest,Shadow,DPS,Ruby Life Pools,2237,2221,1761,152928,154393,194715,0.82,52.8,293.0
timed,Priest,Shadow,DPS,Temple of Sethraliss,2121,2100,1656,141536,144700,185978,0.91,45.4,293.5
timed,Priest,Shadow,DPS,The Blinding Vale,2165,2139,1719,161726,163344,205662,0.87,51.1,293.5
timed,Priest,Shadow,DPS,Voidscar Arena,2288,2270,1710,151311,152371,195927,1.36,36.0,293.8
timed,Rogue,Assassination,DPS,Altar of Fangs,1235,1233,885,191318,195987,254351,0.91,48.2,294.4
timed,Rogue,Assassination,DPS,Den of Nalorakk,1028,1026,826,147491,149640,193920,0.7,57.0,293.8
timed,Rogue,Assassination,DPS,Kings' Rest,1041,1038,823,126154,127438,162896,1.0,47.1,293.5
timed,Rogue,Assassination,DPS,Murder Row,1197,1196,881,158754,161271,215414,0.82,55.6,293.7
timed,Rogue,Assassination,DPS,Ruby Life Pools,1112,1110,879,175351,177924,227952,0.76,56.9,293.2
timed,Rogue,Assassination,DPS,Temple of Sethraliss,1041,1037,818,161563,162909,213779,0.98,48.1,293.7
timed,Rogue,Assassination,DPS,The Blinding Vale,1097,1093,873,185045,186291,241360,0.93,50.6,293.9
timed,Rogue,Assassination,DPS,Voidscar Arena,1080,1077,825,167157,167860,221740,1.24,41.9,293.9
timed,Rogue,Outlaw,DPS,Altar of Fangs,1231,1226,840,178840,181452,241879,0.87,50.6,293.3
timed,Rogue,Outlaw,DPS,Den of Nalorakk,962,957,751,138851,139353,189278,0.66,59.6,291.9
timed,Rogue,Outlaw,DPS,Kings' Rest,1095,1093,821,113128,113381,150320,1.03,44.4,292.6
timed,Rogue,Outlaw,DPS,Murder Row,1093,1086,803,145125,144685,196962,0.79,53.7,292.3
timed,Rogue,Outlaw,DPS,Ruby Life Pools,1094,1089,830,166292,166129,225666,0.71,60.4,292.0
timed,Rogue,Outlaw,DPS,Temple of Sethraliss,977,970,764,158179,157103,212539,0.83,52.6,292.6
timed,Rogue,Outlaw,DPS,The Blinding Vale,1031,1027,775,170415,172732,228447,0.9,53.6,292.8
timed,Rogue,Outlaw,DPS,Voidscar Arena,995,991,760,152295,151569,205785,1.17,42.9,292.6
timed,Rogue,Subtlety,DPS,Altar of Fangs,1844,1817,1300,187861,189234,241353,0.83,54.0,294.8
timed,Rogue,Subtlety,DPS,Den of Nalorakk,1598,1580,1280,145562,145548,185107,0.67,58.4,293.9
timed,Rogue,Subtlety,DPS,Kings' Rest,1795,1779,1403,120771,120921,153905,0.87,51.1,293.9
timed,Rogue,Subtlety,DPS,Murder Row,2174,2153,1496,159078,159912,205927,0.74,57.7,294.7
timed,Rogue,Subtlety,DPS,Ruby Life Pools,1714,1705,1356,168588,170173,212942,0.66,60.4,293.7
timed,Rogue,Subtlety,DPS,Temple of Sethraliss,1760,1745,1329,162608,164112,210136,0.78,54.8,294.3
timed,Rogue,Subtlety,DPS,The Blinding Vale,2082,2062,1476,180501,182792,228066,0.79,56.3,295.0
timed,Rogue,Subtlety,DPS,Voidscar Arena,1773,1760,1345,160555,161410,204809,1.07,47.2,294.4
timed,Shaman,Elemental,DPS,Altar of Fangs,5150,5057,3533,186508,189175,243317,1.08,42.0,294.0
timed,Shaman,Elemental,DPS,Den of Nalorakk,4183,4127,3353,141863,143567,184183,1.03,43.7,292.8
timed,Shaman,Elemental,DPS,Kings' Rest,4318,4246,3420,119412,120284,153513,1.05,43.9,292.8
timed,Shaman,Elemental,DPS,Murder Row,4979,4893,3606,155464,156677,205159,0.72,56.8,293.2
timed,Shaman,Elemental,DPS,Ruby Life Pools,4476,4400,3583,162979,163562,209500,0.82,53.0,292.6
timed,Shaman,Elemental,DPS,Temple of Sethraliss,4579,4502,3542,158290,160453,208893,0.92,46.1,293.0
timed,Shaman,Elemental,DPS,The Blinding Vale,4333,4262,3412,175242,177097,224966,0.98,48.7,293.0
timed,Shaman,Elemental,DPS,Voidscar Arena,4511,4436,3522,158586,159266,204656,1.38,34.2,293.2
timed,Shaman,Enhancement,DPS,Altar of Fangs,1253,1249,940,175074,179232,226535,1.31,37.0,293.7
timed,Shaman,Enhancement,DPS,Den of Nalorakk,1172,1167,955,139571,141639,179796,0.98,45.6,293.3
timed,Shaman,Enhancement,DPS,Kings' Rest,1320,1316,1020,120035,122559,152915,1.23,37.3,293.5
timed,Shaman,Enhancement,DPS,Murder Row,1340,1333,1001,149670,151392,193831,0.99,46.3,293.2
timed,Shaman,Enhancement,DPS,Ruby Life Pools,1334,1330,1053,164583,165516,210490,0.99,47.8,293.1
timed,Shaman,Enhancement,DPS,Temple of Sethraliss,1306,1301,1022,156599,159550,206014,1.06,42.6,293.5
timed,Shaman,Enhancement,DPS,The Blinding Vale,1331,1326,1048,171010,172368,217942,1.14,43.1,293.3
timed,Shaman,Enhancement,DPS,Voidscar Arena,1766,1758,1203,157876,159344,205698,1.23,38.7,294.4
timed,Shaman,Restoration,Healer,Altar of Fangs,6097,6097,4564,23609,23202,34107,0.77,52.9,293.5
timed,Shaman,Restoration,Healer,Den of Nalorakk,5431,5431,4318,20293,19999,29166,0.72,55.0,293.1
timed,Shaman,Restoration,Healer,Kings' Rest,5762,5762,4541,20122,20094,28661,0.83,51.8,293.0
timed,Shaman,Restoration,Healer,Murder Row,6802,6802,4976,20499,20132,29612,0.51,68.1,293.3
timed,Shaman,Restoration,Healer,Ruby Life Pools,5999,5999,4807,21953,21868,31321,0.55,64.0,292.7
timed,Shaman,Restoration,Healer,Temple of Sethraliss,5843,5843,4610,19203,18988,28100,0.69,55.5,293.2
timed,Shaman,Restoration,Healer,The Blinding Vale,5598,5598,4427,23427,23469,33360,0.62,62.1,293.0
timed,Shaman,Restoration,Healer,Voidscar Arena,5618,5618,4467,21091,20953,30171,1.01,44.6,293.1
timed,Unknown,Blood,Tank,Ruby Life Pools,1,1,1,20,20,20,0.0,100.0,295.0
timed,Warlock,Affliction,DPS,Altar of Fangs,526,525,443,150209,151804,196530,1.03,42.6,293.5
timed,Warlock,Affliction,DPS,Den of Nalorakk,575,572,501,117235,119511,150018,0.94,44.7,292.8
timed,Warlock,Affliction,DPS,Kings' Rest,599,599,493,102167,102573,127550,1.03,40.7,292.9
timed,Warlock,Affliction,DPS,Murder Row,649,646,537,130391,128530,171894,0.58,61.2,293.2
timed,Warlock,Affliction,DPS,Ruby Life Pools,598,597,525,142445,144378,178231,0.76,57.5,292.7
timed,Warlock,Affliction,DPS,Temple of Sethraliss,586,584,502,134752,136942,173485,0.83,52.0,293.2
timed,Warlock,Affliction,DPS,The Blinding Vale,579,576,506,146936,148017,185270,0.79,54.7,292.6
timed,Warlock,Affliction,DPS,Voidscar Arena,605,603,510,135441,135307,172465,1.36,33.4,293.6
