run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
155287,21922,Evoker,Preservation,Flameshaper,Healer,EU,Den of Nalorakk,10,1,1443.9,30176,0,293.0,2026-08-19,0,-1,1435.0,25.2
155287,24502,Mage,Arcane,Sunfury,DPS,EU,Den of Nalorakk,10,1,1443.9,154909,0,290.0,2026-08-19,0,-1,1435.0,25.2
155287,16600,Hunter,BeastMastery,Pack Leader,DPS,EU,Den of Nalorakk,10,1,1443.9,165319,0,294.0,2026-08-19,0,-1,1435.0,25.2
155287,213356,DeathKnight,Frost,Deathbringer,DPS,EU,Den of Nalorakk,10,1,1443.9,158327,0,291.0,2026-08-19,0,-1,1435.0,25.2
155303,24288,DeathKnight,Blood,San'layn,Tank,EU,Ruby Life Pools,4,1,1119.0,96880,0,287.0,2026-08-19,0,-1,1111.0,33.9
155303,154136,Priest,Discipline,Voidweaver,Healer,EU,Ruby Life Pools,4,1,1119.0,20294,0,281.0,2026-08-19,0,-1,1111.0,33.9
155303,213370,Warlock,Affliction,Soul Harvester,DPS,EU,Ruby Life Pools,4,1,1119.0,113613,0,283.0,2026-08-19,0,-1,1111.0,33.9
155303,213371,DeathKnight,Unholy,Rider of the Apocalypse,DPS,EU,Ruby Life Pools,4,1,1119.0,105110,0,290.0,2026-08-19,0,-1,1111.0,33.9
155303,213372,Hunter,BeastMastery,Dark Ranger,DPS,EU,Ruby Life Pools,4,1,1119.0,85324,0,295.0,2026-08-19,0,-1,1111.0,33.9
155323,51103,Paladin,Protection,Lightsmith,Tank,EU,Murder Row,12,0,2165.7,75108,1,299.0,2026-08-20,0,-1,2293.0,-12.4
155323,105998,Priest,Discipline,Oracle,Healer,EU,Murder Row,12,0,2165.7,21579,2,304.0,2026-08-20,0,-1,2293.0,-12.4
155323,167597,Druid,Balance,Elune's Chosen,DPS,EU,Murder Row,12,0,2165.7,136369,2,296.0,2026-08-20,0,-1,2293.0,-12.4
155323,80380,Paladin,Retribution,Templar,DPS,EU,Murder Row,12,0,2165.7,155441,4,300.0,2026-08-20,0,-1,2293.0,-12.4
155323,51102,DemonHunter,Havoc,Fel-Scarred,DPS,EU,Murder Row,12,0,2165.7,180782,1,298.0,2026-08-20,0,-1,2293.0,-12.4
155330,173454,DeathKnight,Blood,San'layn,Tank,EU,Kings' Rest,10,1,1621.0,62084,1,294.0,2026-08-20,0,-1,1642.0,17.1
155330,173455,Priest,Holy,Oracle,Healer,EU,Kings' Rest,10,1,1621.0,1424,1,284.0,2026-08-20,0,-1,1642.0,17.1
155330,42801,Paladin,Retribution,Templar,DPS,EU,Kings' Rest,10,1,1621.0,147746,1,301.0,2026-08-20,0,-1,1642.0,17.1
155330,18388,Hunter,BeastMastery,Pack Leader,DPS,EU,Kings' Rest,10,1,1621.0,136544,1,302.0,2026-08-20,0,-1,1642.0,17.1
155330,38850,Warlock,Demonology,Diabolist,DPS,EU,Kings' Rest,10,1,1621.0,150703,1,304.0,2026-08-20,0,-1,1642.0,17.1
155331,134005,Druid,Guardian,Elune's Chosen,Tank,US,Altar of Fangs,10,0,2146.8,65324,2,299.0,2026-08-20,0,-1,2213.0,-23.0
155331,19881,Paladin,Holy,Lightsmith,Healer,US,Altar of Fangs,10,0,2146.8,17535,3,296.0,2026-08-20,0,-1,2213.0,-23.0
155331,55582,Monk,Windwalker,Conduit of the Celestials,DPS,US,Altar of Fangs,10,0,2146.8,133628,5,301.0,2026-08-20,0,-1,2213.0,-23.0
155331,9361,Mage,Arcane,Sunfury,DPS,US,Altar of Fangs,10,0,2146.8,195894,7,303.0,2026-08-20,0,-1,2213.0,-23.0
155331,77205,Evoker,Augmentation,Chronowarden,DPS,US,Altar of Fangs,10,0,2146.8,81803,4,295.0,2026-08-20,0,-1,2213.0,-23.0
155347,213393,DemonHunter,Vengeance,Annihilator,Tank,US,Altar of Fangs,9,1,1661.9,94142,1,297.0,2026-08-19,0,-1,1709.0,5.1
155347,12829,Shaman,Restoration,Totemic,Healer,US,Altar of Fangs,9,1,1661.9,30783,2,293.0,2026-08-19,0,-1,1709.0,5.1
155347,761,Hunter,BeastMastery,Pack Leader,DPS,US,Altar of Fangs,9,1,1661.9,158866,2,292.0,2026-08-19,0,-1,1709.0,5.1
155347,762,Druid,Balance,Elune's Chosen,DPS,US,Altar of Fangs,9,1,1661.9,150702,2,284.0,2026-08-19,0,-1,1709.0,5.1
155347,763,Mage,Arcane,Sunfury,DPS,US,Altar of Fangs,9,1,1661.9,192941,4,289.0,2026-08-19,0,-1,1709.0,5.1
155351,19227,Paladin,Protection,Lightsmith,Tank,EU,Murder Row,10,1,1604.4,84747,0,290.0,2026-08-19,0,-1,1595.0,21.8
155351,61289,Shaman,Restoration,Totemic,Healer,EU,Murder Row,10,1,1604.4,27387,0,294.0,2026-08-19,0,-1,1595.0,21.8
155351,185724,DeathKnight,Unholy,Rider of the Apocalypse,DPS,EU,Murder Row,10,1,1604.4,151100,0,296.0,2026-08-19,0,-1,1595.0,21.8
155351,19229,DemonHunter,Havoc,Fel-Scarred,DPS,EU,Murder Row,10,1,1604.4,151051,0,296.0,2026-08-19,0,-1,1595.0,21.8
155351,83549,Mage,Arcane,Sunfury,DPS,EU,Murder Row,10,1,1604.4,220069,0,296.0,2026-08-19,0,-1,1595.0,21.8
