subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,Shaman,Enhancement,(all merged),DPS,516,516,155,232108,227836,310804,2.67,19.8,328.1
all,Shaman,Restoration,(all merged),Healer,1043,1043,330,37576,37930,55322,1.72,31.3,329.5
all,Warlock,Affliction,(all merged),DPS,575,571,205,250403,249018,338668,2.36,22.1,327.5
all,Warlock,Demonology,(all merged),DPS,235,234,94,231116,234114,309634,2.6,22.6,328.0
all,Warlock,Destruction,(all merged),DPS,195,195,96,249924,239969,335531,2.15,19.5,331.8
all,Warrior,Arms,(all merged),DPS,1514,1491,454,273098,271252,369293,2.29,20.8,331.5
all,Warrior,Fury,(all merged),DPS,158,157,69,207770,205326,262401,2.8,13.3,328.0
all,Warrior,Protection,(all merged),Tank,360,360,113,132815,123826,186279,1.02,53.9,328.8
timed,DeathKnight,Blood,(all merged),Tank,710,710,264,168538,162162,236732,0.24,79.9,330.9
timed,DeathKnight,Frost,(all merged),DPS,347,342,160,260460,253345,353459,0.85,46.1,330.8
timed,DeathKnight,Unholy,(all merged),DPS,233,231,122,243326,248601,340567,0.8,48.9,329.9
timed,DemonHunter,Devourer,(all merged),DPS,718,695,246,277263,277140,371248,1.41,27.6,331.6
timed,DemonHunter,Havoc,(all merged),DPS,105,104,58,222462,216582,286716,1.28,32.4,328.4
timed,DemonHunter,Vengeance,(all merged),Tank,186,186,94,136013,130054,193300,0.39,71.0,329.6
timed,Druid,Balance,(all merged),DPS,674,672,285,263432,258249,347660,1.24,31.2,331.5
timed,Druid,Feral,(all merged),DPS,57,57,27,235153,240444,319889,1.35,36.8,330.2
timed,Druid,Guardian,(all merged),Tank,109,109,57,123973,115359,178035,0.39,67.9,328.9
timed,Druid,Restoration,(all merged),Healer,86,86,34,12473,9257,24994,1.2,25.6,328.7
timed,Evoker,Augmentation,(all merged),DPS,163,163,53,200433,194660,269752,0.98,43.6,326.7
timed,Evoker,Devastation,(all merged),DPS,61,55,24,222345,226169,287502,1.23,34.4,326.8
timed,Evoker,Preservation,(all merged),Healer,193,193,76,66744,70078,94374,1.45,28.5,331.4
timed,Hunter,BeastMastery,(all merged),DPS,111,111,47,230568,228007,332370,1.53,31.5,328.9
timed,Hunter,Marksmanship,(all merged),DPS,523,518,171,289206,289228,384601,1.34,32.3,332.1
timed,Hunter,Survival,(all merged),DPS,138,138,46,233239,232201,316269,1.21,31.2,329.7
timed,Mage,Arcane,(all merged),DPS,1388,1353,517,266709,262043,361412,1.2,33.1,330.8
timed,Mage,Fire,(all merged),DPS,88,88,35,257109,265454,341437,0.44,72.7,331.2
timed,Mage,Frost,(all merged),DPS,53,52,28,222018,207384,301251,1.19,35.8,327.2
timed,Monk,Brewmaster,(all merged),Tank,90,90,41,124742,116284,178819,0.44,66.7,327.9
timed,Monk,Mistweaver,(all merged),Healer,813,813,260,68370,67312,88168,0.83,46.6,331.5
timed,Monk,Windwalker,(all merged),DPS,151,151,51,277810,268418,388588,1.23,32.5,331.5
timed,Paladin,Holy,(all merged),Healer,594,594,216,40303,37456,65622,0.91,42.3,331.4
timed,Paladin,Protection,(all merged),Tank,1414,1414,463,165329,159399,234346,0.37,71.1,331.2
timed,Paladin,Retribution,(all merged),DPS,261,260,140,233739,226570,327828,1.38,29.5,329.8
timed,Priest,Discipline,(all merged),Healer,385,385,157,42712,33412,80127,1.13,37.9,329.4
timed,Priest,Holy,(all merged),Healer,71,71,36,24701,22242,43756,0.79,59.2,328.6
timed,Priest,Shadow,(all merged),DPS,289,289,117,266913,268825,348532,1.36,29.4,331.3
timed,Rogue,Assassination,(all merged),DPS,61,61,37,250962,249270,344066,1.21,37.7,330.1
timed,Rogue,Outlaw,(all merged),DPS,173,170,52,265321,259767,361331,1.09,38.7,331.0
timed,Rogue,Subtlety,(all merged),DPS,25,25,17,207347,205890,259793,2.0,24.0,329.7
timed,Shaman,Elemental,(all merged),DPS,619,616,243,283414,281763,372067,1.33,31.0,331.6
timed,Shaman,Enhancement,(all merged),DPS,278,278,99,244148,233758,342947,1.37,29.9,329.7
timed,Shaman,Restoration,(all merged),Healer,516,516,198,41832,43261,57720,0.76,49.6,330.7
timed,Warlock,Affliction,(all merged),DPS,265,263,101,270901,268448,346043,1.14,37.0,329.9
timed,Warlock,Demonology,(all merged),DPS,114,113,49,253560,251502,314386,1.01,40.4,331.0
timed,Warlock,Destruction,(all merged),DPS,105,105,53,253922,238339,343472,1.25,29.5,331.9
timed,Warrior,Arms,(all merged),DPS,911,903,333,283922,286417,374719,1.32,29.2,331.8
timed,Warrior,Fury,(all merged),DPS,57,57,31,214678,209683,253242,1.72,28.1,328.2
timed,Warrior,Protection,(all merged),Tank,148,148,65,142993,137850,189118,0.38,70.3,330.4
