subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,Mage,Fire,Sunfury,DPS,141,141,46,244238,238701,335105,1.6,45.4,330.8
all,Mage,Fire,Unknown,DPS,4,4,2,197294,165658,254239,3.0,25.0,329.5
all,Mage,Frost,Frostfire,DPS,57,57,24,216068,200168,299678,2.0,26.3,326.6
all,Mage,Frost,Spellslinger,DPS,67,66,43,184715,173655,238444,3.61,11.9,322.6
all,Mage,Frost,Unknown,DPS,8,8,5,240830,255232,315235,2.75,12.5,329.1
all,Monk,Brewmaster,Master of Harmony,Tank,178,178,71,125009,124636,164676,1.38,38.2,326.4
all,Monk,Brewmaster,Shado-Pan,Tank,86,86,39,111717,102962,160429,1.42,41.9,324.2
all,Monk,Brewmaster,Unknown,Tank,19,19,11,120381,98267,178819,0.95,47.4,333.9
all,Monk,Mistweaver,Conduit of the Celestials,Healer,1353,1353,356,64211,62565,85114,1.66,32.5,329.8
all,Monk,Mistweaver,Master of Harmony,Healer,44,44,21,55458,51905,77463,1.75,20.5,326.4
all,Monk,Mistweaver,Unknown,Healer,110,110,57,66922,64369,86776,1.35,35.5,330.2
all,Monk,Windwalker,Conduit of the Celestials,DPS,170,170,45,286918,282270,380659,2.43,15.3,332.3
all,Monk,Windwalker,Shado-Pan,DPS,128,128,58,224666,217870,311663,2.77,14.8,327.9
all,Monk,Windwalker,Unknown,DPS,31,31,11,305776,295285,397432,2.1,22.6,333.4
all,Paladin,Holy,Herald of the Sun,Healer,572,572,202,26015,25566,38331,1.8,27.8,329.8
all,Paladin,Holy,Lightsmith,Healer,432,432,142,52069,51370,70413,1.65,28.9,331.6
all,Paladin,Holy,Unknown,Healer,78,78,47,39669,36204,63657,1.54,24.4,332.3
all,Paladin,Protection,Lightsmith,Tank,2365,2365,644,157226,152866,221274,0.91,54.5,330.0
all,Paladin,Protection,Templar,Tank,53,53,20,111423,113556,156674,1.53,35.8,326.2
all,Paladin,Protection,Unknown,Tank,192,192,84,157159,152202,207480,0.82,54.2,330.7
all,Paladin,Retribution,Herald of the Sun,DPS,365,364,154,238746,233208,326010,2.31,17.3,329.6
all,Paladin,Retribution,Templar,DPS,215,214,129,184684,182162,246756,2.82,19.1,324.1
all,Paladin,Retribution,Unknown,DPS,59,58,31,244944,229662,328308,1.98,16.9,334.7
all,Priest,Discipline,Oracle,Healer,462,462,186,29713,28498,39846,2.14,26.2,327.8
all,Priest,Discipline,Unknown,Healer,50,50,27,34351,32880,50917,2.56,12.0,329.0
all,Priest,Discipline,Voidweaver,Healer,245,245,64,63382,63988,85435,2.65,21.2,328.8
all,Priest,Holy,Archon,Healer,37,37,20,16370,17966,23798,2.41,35.1,328.3
all,Priest,Holy,Oracle,Healer,110,110,50,24801,24162,42653,1.42,39.1,328.2
all,Priest,Holy,Unknown,Healer,11,11,8,27060,19835,43756,1.09,54.5,331.1
all,Priest,Shadow,Archon,DPS,401,400,155,246162,241012,331643,2.33,21.2,329.9
all,Priest,Shadow,Unknown,DPS,31,31,15,250052,253405,329466,2.68,12.9,334.8
all,Priest,Shadow,Voidweaver,DPS,86,86,47,232835,228038,313165,2.57,16.3,329.8
all,Rogue,Assassination,Deathstalker,DPS,29,29,20,231151,209393,322716,3.17,10.3,330.3
all,Rogue,Assassination,Fatebound,DPS,119,119,58,229607,231801,325213,2.49,21.8,328.4
