run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
4802,8030,DeathKnight,Blood,San'layn,Tank,EU,Voidscar Arena,12,1,1444.3,56078,0,321,2026-08-04,1,1,1495.0,16.9
4802,1348,Shaman,Restoration,Totemic,Healer,EU,Voidscar Arena,12,1,1444.3,25739,0,321,2026-08-04,1,1,1495.0,16.9
4802,8031,Warlock,Demonology,Diabolist,DPS,EU,Voidscar Arena,12,1,1444.3,176799,1,321,2026-08-04,1,1,1495.0,16.9
4802,8032,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,12,1,1444.3,244615,2,321,2026-08-04,1,1,1495.0,16.9
4802,7020,Rogue,Assassination,Fatebound,DPS,EU,Voidscar Arena,12,1,1444.3,199577,1,321,2026-08-04,1,1,1495.0,16.9
4803,7959,Monk,Brewmaster,Master of Harmony,Tank,EU,Altar of Fangs,12,0,1817.4,84986,4,321,2026-08-03,1,1,2063.0,-14.6
4803,7960,Paladin,Holy,Herald of the Sun,Healer,EU,Altar of Fangs,12,0,1817.4,15397,4,321,2026-08-03,1,1,2063.0,-14.6
4803,6889,Mage,Arcane,Sunfury,DPS,EU,Altar of Fangs,12,0,1817.4,220473,4,321,2026-08-03,1,1,2063.0,-14.6
4803,7961,DemonHunter,Devourer,Annihilator,DPS,EU,Altar of Fangs,12,0,1817.4,226703,4,321,2026-08-03,1,1,2063.0,-14.6
4803,7962,Priest,Shadow,Archon,DPS,EU,Altar of Fangs,12,0,1817.4,197950,3,321,2026-08-03,1,1,2063.0,-14.6
4804,8033,Paladin,Protection,Lightsmith,Tank,US,Kings' Rest,12,0,1909.4,75406,1,321,2026-08-04,0,1,2111.0,-6.6
4804,8034,Priest,Discipline,Oracle,Healer,US,Kings' Rest,12,0,1909.4,28466,3,321,2026-08-04,0,1,2111.0,-6.6
4804,8035,Shaman,Elemental,Farseer,DPS,US,Kings' Rest,12,0,1909.4,130776,4,321,2026-08-04,0,1,2111.0,-6.6
4804,8036,Mage,Arcane,Spellslinger,DPS,US,Kings' Rest,12,0,1909.4,114960,4,321,2026-08-04,0,1,2111.0,-6.6
4804,8037,Evoker,Devastation,Scalecommander,DPS,US,Kings' Rest,12,0,1909.4,148809,3,321,2026-08-04,0,1,2111.0,-6.6
4805,8038,DeathKnight,Blood,San'layn,Tank,US,The Blinding Vale,12,1,1407.4,140825,0,321,2026-08-04,0,1,1458.0,21.6
4805,8039,Paladin,Holy,Herald of the Sun,Healer,US,The Blinding Vale,12,1,1407.4,17405,2,321,2026-08-04,0,1,1458.0,21.6
4805,8040,Warrior,Arms,Slayer,DPS,US,The Blinding Vale,12,1,1407.4,231716,0,321,2026-08-04,0,1,1458.0,21.6
4805,8041,Druid,Balance,Elune's Chosen,DPS,US,The Blinding Vale,12,1,1407.4,234397,2,321,2026-08-04,0,1,1458.0,21.6
4805,8042,Mage,Arcane,Spellslinger,DPS,US,The Blinding Vale,12,1,1407.4,220567,0,321,2026-08-04,0,1,1458.0,21.6
4806,8043,DeathKnight,Blood,San'layn,Tank,US,Kings' Rest,17,0,1974.5,102195,1,334,2026-08-04,0,1,2191.0,-10.7
4806,8044,Shaman,Restoration,Totemic,Healer,US,Kings' Rest,17,0,1974.5,27034,5,334,2026-08-04,0,1,2191.0,-10.7
4806,8045,Rogue,Outlaw,Trickster,DPS,US,Kings' Rest,17,0,1974.5,189574,5,326,2026-08-04,0,1,2191.0,-10.7
4806,8046,Warrior,Fury,Slayer,DPS,US,Kings' Rest,17,0,1974.5,244512,3,334,2026-08-04,0,1,2191.0,-10.7
4806,60,Evoker,Devastation,Scalecommander,DPS,US,Kings' Rest,17,0,1974.5,192048,1,334,2026-08-04,0,1,2191.0,-10.7
4807,8047,DeathKnight,Blood,San'layn,Tank,US,The Blinding Vale,16,1,1371.6,172621,0,334,2026-08-04,0,1,1423.0,23.5
4807,6985,Paladin,Holy,Herald of the Sun,Healer,US,The Blinding Vale,16,1,1371.6,22879,0,334,2026-08-04,0,1,1423.0,23.5
4807,2054,Shaman,Elemental,Farseer,DPS,US,The Blinding Vale,16,1,1371.6,309802,2,334,2026-08-04,0,1,1423.0,23.5
4807,52,Mage,Arcane,Sunfury,DPS,US,The Blinding Vale,16,1,1371.6,319994,1,334,2026-08-04,0,1,1423.0,23.5
4807,3349,Mage,Arcane,Sunfury,DPS,US,The Blinding Vale,16,1,1371.6,347144,1,334,2026-08-04,0,1,1423.0,23.5
4808,6386,DeathKnight,Blood,San'layn,Tank,US,The Blinding Vale,19,0,1852.3,238184,0,334,2026-08-04,0,1,2114.0,-13.7
4808,1460,Shaman,Restoration,Farseer,Healer,US,The Blinding Vale,19,0,1852.3,37639,4,334,2026-08-04,0,1,2114.0,-13.7
4808,6614,Warrior,Arms,Slayer,DPS,US,The Blinding Vale,19,0,1852.3,341593,6,334,2026-08-04,0,1,2114.0,-13.7
4808,135,Hunter,BeastMastery,Pack Leader,DPS,US,The Blinding Vale,19,0,1852.3,303406,6,334,2026-08-04,0,1,2114.0,-13.7
4808,6388,Monk,Windwalker,Conduit of the Celestials,DPS,US,The Blinding Vale,19,0,1852.3,341580,4,334,2026-08-04,0,1,2114.0,-13.7
4809,1955,DeathKnight,Blood,San'layn,Tank,US,The Blinding Vale,15,1,1477.8,171683,0,334,2026-08-04,0,1,1574.0,15.4
4809,1753,Monk,Mistweaver,Conduit of the Celestials,Healer,US,The Blinding Vale,15,1,1477.8,50871,0,334,2026-08-04,0,1,1574.0,15.4
4809,6401,Hunter,Marksmanship,Sentinel,DPS,US,The Blinding Vale,15,1,1477.8,263526,2,334,2026-08-04,0,1,1574.0,15.4
4809,7914,Druid,Balance,Elune's Chosen,DPS,US,The Blinding Vale,15,1,1477.8,226024,3,334,2026-08-04,0,1,1574.0,15.4
4809,1683,Warrior,Arms,Slayer,DPS,US,The Blinding Vale,15,1,1477.8,312959,2,334,2026-08-04,0,1,1574.0,15.4
4810,8048,DeathKnight,Blood,San'layn,Tank,US,Kings' Rest,12,1,1588.1,104485,1,321,2026-08-04,0,1,1730.0,12.6
4810,8049,Shaman,Restoration,Farseer,Healer,US,Kings' Rest,12,1,1588.1,20454,3,321,2026-08-04,0,1,1730.0,12.6
4810,8050,Rogue,Outlaw,Trickster,DPS,US,Kings' Rest,12,1,1588.1,130382,2,321,2026-08-04,0,1,1730.0,12.6
